caldt,b30ret,b30ind,b20ret,b20ind,b10ret,b10ind,b7ret,b7ind,b5ret,b5ind,b2ret,b2ind,b1ret,b1ind,t90ret,t90ind,t30ret,t30ind,cpiret,cpiind
19251231,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,,34.836930,,38.910820,,42.1
19260130,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.004042,34.977740,0.002951,39.025650,0.000000,42.1
19260227,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003237,35.090960,0.002768,39.133670,0.000000,42.1
19260331,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002778,35.188430,0.002778,39.242380,-0.005587,41.9
19260430,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003072,35.296530,0.003072,39.362930,0.005618,42.1
19260528,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.001965,35.365890,0.000342,39.376390,-0.005587,41.9
19260630,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003459,35.488240,0.003459,39.512620,-0.005618,41.6
19260731,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002243,35.567840,0.002243,39.601220,-0.011299,41.2
19260831,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002069,35.641420,0.002536,39.701650,-0.005714,40.9
19260930,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002273,35.722450,0.002273,39.791920,0.005747,41.2
19261030,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003195,35.836580,0.003195,39.919040,0.005714,41.4
19261130,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.004337,35.991980,0.003093,40.042510,0.005682,41.6
19261231,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002778,36.091970,0.002778,40.153750,0.000000,41.6
19270131,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.001413,36.142970,0.002463,40.252620,-0.011299,41.2
19270228,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002524,36.234200,0.002570,40.356090,-0.005714,40.9
19270331,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002959,36.341430,0.002959,40.475510,-0.005747,40.7
19270430,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002546,36.433960,0.002546,40.578540,0.000000,40.7
19270531,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003667,36.567560,0.003008,40.700600,0.005780,40.9
19270630,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002583,36.662000,0.002583,40.805740,0.011494,41.4
19270730,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002991,36.771670,0.002991,40.927810,-0.017045,40.7
19270831,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002963,36.880600,0.002757,41.040650,-0.005780,40.5
19270930,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002096,36.957910,0.002096,41.126640,0.005814,40.7
19271031,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002520,37.051060,0.002520,41.230300,0.005780,40.9
19271130,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.001997,37.125050,0.002086,41.316290,-0.005747,40.7
19271231,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002230,37.207830,0.002230,41.408430,0.000000,40.7
19280131,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002225,37.290600,0.002225,41.500570,0.000000,40.7
19280229,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002774,37.394070,0.003294,41.637270,-0.011561,40.2
19280331,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002936,37.503840,0.002936,41.759520,0.000000,40.2
19280430,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002224,37.587270,0.002224,41.852400,0.000000,40.2
19280531,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.001536,37.645000,0.002920,41.974580,0.005848,40.5
19280630,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003122,37.762500,0.003122,42.105640,-0.005814,40.2
19280731,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003226,37.884330,0.003226,42.241470,0.000000,40.2
