Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,20.99,20.94,21.01,20.94,-,0.33%
18-Jun-20,20.92,20.95,21.05,20.92,0.34K,0.82%
17-Jun-20,20.75,20.65,20.97,20.6,0.22K,0.53%
16-Jun-20,20.64,20.6,20.69,20.58,0.08K,0.19%
15-Jun-20,20.6,20.42,20.65,20.42,0.15K,0.88%
12-Jun-20,20.42,20.4,20.5,20.22,0.19K,-0.15%
11-Jun-20,20.45,20.4,20.48,20.17,0.40K,0.49%
10-Jun-20,20.35,20.67,20.75,20.15,0.38K,-1.02%
9-Jun-20,20.56,20.21,20.59,20.17,0.26K,2.09%
8-Jun-20,20.14,19.8,20.2,19.77,0.33K,1.31%
5-Jun-20,19.88,20.1,20.2,19.53,0.49K,-1.63%
4-Jun-20,20.21,19.89,20.27,19.83,0.49K,1.92%
3-Jun-20,19.83,19.57,20,19.45,0.45K,63.08%
2-Jun-20,12.16,12.16,12.18,12.16,0.03K,-0.16%
1-Jun-20,12.18,12.17,12.18,12.17,0.08K,0.00%
29-May-20,12.18,12.21,12.21,12.18,0.05K,-0.08%
28-May-20,12.19,12.18,12.25,12.18,0.10K,-0.33%
27-May-20,12.23,12.21,12.24,12.19,0.04K,0.33%
26-May-20,12.19,12.2,12.22,12.19,0.02K,0.08%
22-May-20,12.18,12.2,12.22,12.17,0.02K,-0.16%
21-May-20,12.2,12.22,12.22,12.18,0.16K,-0.73%
20-May-20,12.29,12.3,12.35,12.16,0.25K,0.16%
19-May-20,12.27,12.26,12.32,12.25,0.48K,0.25%
18-May-20,12.24,12.25,12.29,12.2,0.09K,0.00%
15-May-20,12.24,12.54,12.6,12.15,0.19K,-1.92%
14-May-20,12.48,11.91,12.58,11.9,0.47K,3.31%
13-May-20,12.08,11.77,12.15,11.76,0.29K,2.98%
12-May-20,11.73,11.73,11.77,11.64,0.09K,0.17%
11-May-20,11.71,11.58,11.84,11.58,0.20K,1.39%
8-May-20,11.55,11.49,11.56,11.49,0.05K,0.61%
7-May-20,11.48,11.51,11.59,11.48,0.17K,-0.17%
6-May-20,11.5,11.51,11.58,11.43,0.37K,-0.35%
5-May-20,11.54,11.59,11.69,11.49,0.54K,0.35%
4-May-20,11.5,11.26,11.58,11.21,0.45K,2.40%
1-May-20,11.23,11.37,11.45,11.22,0.25K,-1.23%
30-Apr-20,11.37,11.41,11.59,11.33,0.44K,-2.32%
29-Apr-20,11.64,11.25,11.75,11.25,0.49K,-11.62%
28-Apr-20,13.17,13.17,13.2,13.17,0.14K,-0.15%
27-Apr-20,13.19,13.18,13.2,13.17,0.06K,-0.08%
24-Apr-20,13.2,13.22,13.22,13.19,0.05K,0.08%
23-Apr-20,13.19,13.18,13.21,13.18,0.06K,-1.64%
22-Apr-20,13.41,13.36,13.43,13.18,0.21K,0.30%
21-Apr-20,13.37,13.39,13.41,13.37,0.05K,-0.30%
20-Apr-20,13.41,13.43,13.43,13.39,0.03K,0.00%
