"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2020","132.55","132.50","133.55","132.13","-","-0.32%"
"Jun 18, 2020","132.98","133.75","133.75","132.45","2.13K","-0.45%"
"Jun 17, 2020","133.57","132.30","133.85","131.70","3.06K","0.53%"
"Jun 16, 2020","132.88","132.18","133.00","131.43","3.19K","1.30%"
"Jun 15, 2020","131.18","130.48","131.75","128.68","4.90K","0.06%"
"Jun 12, 2020","131.10","132.35","133.50","130.65","3.36K","-0.81%"
"Jun 11, 2020","132.18","131.40","132.35","130.13","3.91K","-0.38%"
"Jun 10, 2020","132.68","134.23","134.75","131.57","3.53K","-1.17%"
"Jun 09, 2020","134.25","132.75","134.88","131.52","3.13K","0.88%"
"Jun 08, 2020","133.07","134.07","134.32","132.68","2.62K","-0.82%"
"Jun 05, 2020","134.18","135.25","135.50","133.35","3.36K","-0.41%"
"Jun 04, 2020","134.73","133.68","135.32","133.63","2.92K","0.37%"
"Jun 03, 2020","134.23","134.00","134.57","132.60","3.58K","0.60%"
"Jun 02, 2020","133.43","135.77","136.35","133.18","4.48K","-1.98%"
"Jun 01, 2020","136.13","134.40","136.73","132.52","4.88K","0.57%"
"May 29, 2020","135.35","135.48","135.75","132.60","5.96K","-0.11%"
"May 28, 2020","135.50","134.20","136.02","133.30","4.05K","1.10%"
"May 27, 2020","134.02","134.20","135.00","133.02","3.14K","0.54%"
"May 26, 2020","133.30","129.77","133.30","129.60","3.97K","3.49%"
"May 22, 2020","128.80","128.70","129.98","128.50","2.50K","2.20%"
"May 21, 2020","126.03","126.00","126.03","125.85","0.25K","0.02%"
"May 20, 2020","126.00","127.15","127.70","125.85","1.14K","-1.12%"
"May 19, 2020","127.43","127.15","127.50","126.90","0.59K","0.65%"
"May 18, 2020","126.60","126.18","127.00","125.50","0.65K","1.50%"
"May 15, 2020","124.72","124.35","125.43","123.80","0.78K","0.75%"
"May 14, 2020","123.80","125.00","125.55","123.53","0.60K","-1.20%"
"May 13, 2020","125.30","127.15","127.47","124.93","0.60K","-1.57%"
"May 12, 2020","127.30","123.90","127.60","123.78","0.73K","2.95%"
"May 11, 2020","123.65","128.02","128.25","123.47","0.90K","-3.32%"
"May 08, 2020","127.90","130.18","130.38","127.65","1.24K","-1.82%"
"May 07, 2020","130.27","125.13","130.85","125.13","2.53K","4.98%"
"May 06, 2020","124.10","119.10","124.10","118.80","1.53K","3.76%"
"May 05, 2020","119.60","119.57","119.70","116.10","1.15K","0.44%"
"May 04, 2020","119.07","118.70","119.50","118.07","0.87K","1.06%"
"May 01, 2020","117.82","117.72","120.80","117.00","1.50K","-1.13%"
"Apr 30, 2020","119.18","119.30","119.30","118.95","0.12K","-0.31%"
"Apr 29, 2020","119.55","119.70","119.90","119.35","0.11K","-0.06%"
"Apr 28, 2020","119.63","119.75","120.47","119.40","0.26K","-0.64%"
"Apr 27, 2020","120.40","120.25","121.88","119.50","0.24K","0.50%"
"Apr 24, 2020","119.80","119.40","120.13","118.32","0.27K","0.31%"
"Apr 23, 2020","119.43","118.25","121.20","118.05","0.50K","0.80%"
"Apr 22, 2020","118.47","119.00","119.60","117.50","0.25K","0.49%"
"Apr 21, 2020","117.90","116.85","118.25","115.00","0.40K","-0.36%"
"Apr 20, 2020","118.32","119.95","120.75","117.90","0.27K","-1.00%"
"Apr 17, 2020","119.53","120.15","121.10","118.20","0.46K","1.08%"
"Apr 16, 2020","118.25","116.85","120.30","116.75","0.54K","2.12%"
"Apr 15, 2020","115.80","116.00","117.05","114.07","0.81K","-0.52%"
"Apr 14, 2020","116.40","113.78","119.30","112.43","0.55K","1.20%"
"Apr 13, 2020","115.03","115.15","116.13","115.03","0.37K","-3.11%"
"Apr 10, 2020","118.72","118.72","118.72","118.72","-","-0.67%"
"Apr 09, 2020","119.53","118.00","120.20","116.57","0.82K","-0.29%"
"Apr 08, 2020","119.88","117.38","121.68","117.38","1.96K","4.31%"
"Apr 07, 2020","114.93","113.50","114.93","113.50","0.48K","4.08%"
