Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,48.45,49.95,50.35,48.33,-,-2.91%
18-Jun-20,49.9,49.38,50.28,48.97,8.22K,0.50%
17-Jun-20,49.65,48.5,49.85,48.17,11.48K,0.00%
16-Jun-20,49.65,51.78,51.8,48.92,19.31K,-5.02%
15-Jun-20,52.28,51.25,53.08,51.25,13.34K,8.79%
12-Jun-20,48.05,47.92,48.22,47.83,0.70K,0.16%
11-Jun-20,47.97,48.03,48.08,47.85,1.65K,0.26%
10-Jun-20,47.85,47.88,48.15,47.72,1.59K,-0.47%
9-Jun-20,48.08,48.08,48.58,47.78,2.17K,-1.03%
8-Jun-20,48.58,47,48.7,46.85,2.77K,2.37%
5-Jun-20,47.45,48.45,48.78,47.28,3.04K,-2.01%
4-Jun-20,48.42,48.53,48.9,46.45,7.65K,-0.46%
3-Jun-20,48.65,51.33,51.45,48.65,6.94K,-7.16%
2-Jun-20,52.4,54.03,54.4,52.08,6.91K,-4.03%
1-Jun-20,54.6,55.28,55.85,54.45,5.34K,-3.96%
29-May-20,56.85,56.45,56.92,55.92,5.70K,-0.13%
28-May-20,56.92,58.67,58.8,56.65,7.60K,-5.40%
27-May-20,60.17,60.1,62,60.05,6.53K,-0.54%
26-May-20,60.5,59.3,61.3,58.8,6.86K,2.93%
22-May-20,58.78,59.03,59.72,58.55,5.04K,-0.97%
21-May-20,59.35,57.03,59.42,56.95,8.18K,4.35%
20-May-20,56.88,56.05,57.05,55.75,5.81K,0.40%
19-May-20,56.65,57.6,58.65,56.55,6.19K,-1.73%
18-May-20,57.65,58.5,58.8,57.1,9.45K,-0.39%
15-May-20,57.88,58.22,59.4,57.75,11.61K,-15.73%
14-May-20,68.68,68.25,68.75,67.9,0.24K,0.99%
13-May-20,68,67.5,68.28,67.25,0.71K,-0.04%
12-May-20,68.03,67.57,68.07,67.32,0.46K,2.56%
11-May-20,66.32,67.1,67.75,66.22,1.16K,-1.45%
8-May-20,67.3,68.25,68.7,67.2,0.49K,-2.18%
7-May-20,68.8,67.93,68.95,65.55,0.80K,1.03%
6-May-20,68.1,66.97,68.2,66.5,0.77K,2.95%
5-May-20,66.15,66.5,67.4,65,1.30K,-2.33%
4-May-20,67.72,65.88,68.25,65.43,1.27K,7.71%
1-May-20,62.88,60.92,62.88,60.92,0.66K,6.34%
30-Apr-20,59.13,57.42,59.47,57.4,1.01K,5.06%
29-Apr-20,56.28,57.08,57.78,55.85,1.07K,2.23%
28-Apr-20,55.05,57.08,59,54,1.66K,-2.18%
27-Apr-20,56.28,54.3,56.28,53.8,1.36K,7.14%
24-Apr-20,52.53,52.13,53.72,51.7,1.29K,3.04%
23-Apr-20,50.97,47.97,50.97,47.97,2.06K,7.94%
22-Apr-20,47.22,44.97,47.63,44.97,1.76K,6.66%
21-Apr-20,44.28,40.6,44.35,40.58,1.08K,9.05%
20-Apr-20,40.6,38.5,41.38,38.42,1.35K,7.05%
17-Apr-20,37.92,38.2,39.5,37.22,0.47K,1.61%
16-Apr-20,37.33,39.3,39.78,37,0.32K,-18.15%
15-Apr-20,45.6,45.75,46.05,45.5,1.81K,-0.11%
14-Apr-20,45.65,44.78,45.8,44.5,2.77K,1.67%
13-Apr-20,44.9,41.9,45,41.9,4.05K,4.66%
10-Apr-20,42.9,42.9,42.9,42.9,-,0.23%
9-Apr-20,42.8,42,43,42,2.77K,-0.75%
8-Apr-20,43.13,44.1,44.3,40.85,6.54K,-2.27%
7-Apr-20,44.13,43.33,44.13,42.85,6.10K,7.29%
6-Apr-20,41.13,40.22,42.75,37.5,9.55K,2.24%
3-Apr-20,40.22,41.83,42.5,40.2,9.03K,-10.01%
2-Apr-20,44.7,48,48.2,44.7,8.51K,-9.15%
1-Apr-20,49.2,51.4,51.6,49.2,5.82K,-5.75%
31-Mar-20,52.2,53.95,54.8,52.1,7.49K,-3.24%
30-Mar-20,53.95,58.1,58.25,53.95,10.16K,-7.70%
27-Mar-20,58.45,62.22,62.22,58.4,7.70K,-7.07%
26-Mar-20,62.9,65.2,65.25,62.85,-,-4.48%
25-Mar-20,65.85,66.97,67.45,65.15,-,-0.87%
24-Mar-20,66.43,66.3,67.7,65.8,-,2.86%
23-Mar-20,64.57,64,64.57,63.17,-,4.87%
20-Mar-20,61.58,62.75,63.85,61.45,10.71K,0.70%
19-Mar-20,61.15,60.78,61.15,59.38,-,5.16%
18-Mar-20,58.15,59.62,62.8,56.27,29.54K,-0.56%
17-Mar-20,58.48,55.5,58.48,55.5,11.71K,8.34%
16-Mar-20,53.98,52.3,56.58,52.12,29.75K,-4.26%
13-Mar-20,56.38,62.83,62.85,56.38,22.41K,-7.39%
12-Mar-20,60.88,62.48,62.5,60.88,21.34K,-4.70%
11-Mar-20,63.88,65.55,66,63.8,25.78K,-1.72%
10-Mar-20,65,64.62,66,64.5,33.01K,3.17%
9-Mar-20,63,62.92,65.22,62.92,35.59K,-4.43%
6-Mar-20,65.92,65,66.38,65,28.16K,0.83%
5-Mar-20,65.38,64.12,65.47,63.65,19.02K,1.68%
4-Mar-20,64.3,64,64.78,63.3,20.32K,1.18%
3-Mar-20,63.55,63.7,64.83,63.23,24.15K,1.19%
2-Mar-20,62.8,62.55,63.17,62.12,19.14K,0.85%
28-Feb-20,62.27,62.12,63,61.52,25.83K,-0.45%
27-Feb-20,62.55,64.53,64.92,62.15,26.61K,-3.99%
26-Feb-20,65.15,64.67,65.95,64.22,18.47K,0.74%
25-Feb-20,64.67,65.2,65.88,64.5,17.02K,0.08%
24-Feb-20,64.62,65,65.35,64.08,20.13K,-3.60%
21-Feb-20,67.03,66.5,67.15,66.05,12.02K,0.22%
20-Feb-20,66.88,66.9,67.25,66.1,16.76K,-1.04%
19-Feb-20,67.58,66.1,68.25,65.78,25.10K,3.18%
18-Feb-20,65.5,64.47,65.85,63.1,22.22K,17.17%
14-Feb-20,55.9,55.88,56,55.65,1.16K,-0.18%
13-Feb-20,56,55.73,56.12,55.65,1.80K,0.59%
12-Feb-20,55.67,56,56.3,55.5,2.51K,-0.80%
11-Feb-20,56.12,56.17,56.33,55.6,2.94K,-0.14%
10-Feb-20,56.2,57,57,55.77,3.16K,-1.58%
7-Feb-20,57.1,57.7,57.8,57.02,5.24K,-1.04%
6-Feb-20,57.7,56.85,58.27,56.77,6.81K,1.05%
5-Feb-20,57.1,57.6,57.98,56.98,6.02K,0.62%
4-Feb-20,56.75,56.83,57.85,56.55,5.77K,0.80%
3-Feb-20,56.3,57.88,58,54.67,10.20K,-1.44%
31-Jan-20,57.12,60.5,60.5,56.85,14.64K,-6.82%
30-Jan-20,61.3,63.25,63.25,61.3,12.11K,-4.67%
29-Jan-20,64.3,66.5,66.6,64.12,12.12K,-2.90%
28-Jan-20,66.22,66.5,67.05,66.15,9.08K,0.41%
27-Jan-20,65.95,66.28,66.33,65.22,17.01K,-1.89%
24-Jan-20,67.22,68.4,68.4,66.75,13.16K,-1.87%
23-Jan-20,68.5,67.45,69,67.28,11.48K,1.41%
22-Jan-20,67.55,67.62,67.95,66.9,7.57K,0.30%
21-Jan-20,67.35,67.58,68,66.42,14.52K,-0.47%
17-Jan-20,67.67,67.15,67.8,66.5,18.70K,1.18%
16-Jan-20,66.88,67.67,68.17,66.33,15.66K,-1.47%
15-Jan-20,67.88,67.6,68.05,66.78,17.42K,0.31%
14-Jan-20,67.67,65.67,68.22,65.67,35.08K,2.69%
13-Jan-20,65.9,66.97,67.05,65.58,28.89K,-2.01%
10-Jan-20,67.25,67.33,68.22,66.88,31.73K,0.33%
9-Jan-20,67.03,68.9,69,66.47,36.76K,-2.90%
8-Jan-20,69.03,68.78,70.2,68.6,30.28K,-0.27%
7-Jan-20,69.22,68.62,69.35,68.03,23.54K,0.87%
6-Jan-20,68.62,68.95,69.22,67.55,20.02K,0.10%
3-Jan-20,68.55,70.6,70.9,68.55,25.40K,-4.19%
2-Jan-20,71.55,71.6,72.6,70.78,23.80K,0.42%
1-Jan-20,71.25,71.25,71.25,71.25,-,-0.24%
31-Dec-19,71.42,71.7,71.88,70.83,12.23K,-0.53%
30-Dec-19,71.8,71.25,71.9,70.6,18.76K,1.73%
27-Dec-19,70.58,70.75,71.03,69.83,12.70K,-0.45%
26-Dec-19,70.9,71.05,71.5,70.05,9.91K,0.14%
25-Dec-19,70.8,70.8,70.8,70.8,-,0.14%
24-Dec-19,70.7,70.12,70.92,69.62,8.95K,0.64%
23-Dec-19,70.25,70.67,71.3,69.47,17.34K,-0.59%
20-Dec-19,70.67,70.85,71.22,70.3,15.25K,-0.42%
19-Dec-19,70.97,69.9,71,69.53,18.53K,1.53%
18-Dec-19,69.9,69.67,70.4,69.33,16.05K,0.07%
17-Dec-19,69.85,70.2,71,69.4,22.57K,-0.92%
16-Dec-19,70.5,69.53,70.9,69.08,22.36K,16.57%
13-Dec-19,60.48,60.75,60.83,60.27,-,-0.85%
12-Dec-19,61,60.7,61.05,60.5,4.02K,0.49%
11-Dec-19,60.7,60.6,60.9,60.42,4.28K,0.36%
10-Dec-19,60.48,60.17,60.75,59.92,5.20K,0.80%
9-Dec-19,60,60.8,60.9,59.9,6.23K,-1.83%
6-Dec-19,61.12,62.2,62.52,61.05,6.41K,-0.75%
5-Dec-19,61.58,61.88,61.95,61.17,7.05K,-0.48%
4-Dec-19,61.88,62.25,62.75,61.75,7.47K,-0.99%
3-Dec-19,62.5,60.58,62.58,60.3,8.85K,3.56%
2-Dec-19,60.35,61.73,62.35,60.17,7.36K,-2.69%
29-Nov-19,62.02,60.75,62.4,60.15,9.71K,2.23%
27-Nov-19,60.67,60.75,61.52,60.5,6.96K,-0.26%
26-Nov-19,60.83,61.2,61.23,60.6,6.32K,-0.31%
25-Nov-19,61.02,61.3,61.65,60.73,6.71K,-0.34%
22-Nov-19,61.23,60.8,61.58,60.5,7.83K,0.96%
21-Nov-19,60.65,61.15,61.7,60.17,9.85K,0.33%
20-Nov-19,60.45,62,62.15,60.05,13.58K,-2.74%
19-Nov-19,62.15,62.85,62.92,61.92,14.08K,-0.96%
18-Nov-19,62.75,63,63.62,62.42,14.68K,-0.71%
15-Nov-19,63.2,63.02,63.3,62.48,16.70K,0.72%
14-Nov-19,62.75,63.12,64.08,62.67,18.26K,-0.59%
13-Nov-19,63.12,65,65.97,62.95,32.43K,-2.47%
12-Nov-19,64.72,63.75,65.67,63.75,29.80K,2.24%
11-Nov-19,63.3,64,64.7,62.92,32.65K,-1.28%
8-Nov-19,64.12,64.2,64.9,63.75,30.71K,-0.28%
7-Nov-19,64.3,65.6,65.9,64.08,37.63K,-0.74%
6-Nov-19,64.78,67.38,67.65,64.45,30.41K,-3.72%
5-Nov-19,67.28,64.65,67.53,64.6,28.71K,4.26%
4-Nov-19,64.53,63.77,65.3,63.38,20.06K,0.12%
1-Nov-19,64.45,65.67,65.7,63.67,24.65K,-2.35%
31-Oct-19,66,64.78,66.12,63.88,22.07K,0.33%
30-Oct-19,65.78,63.7,66.47,63.5,23.44K,2.25%
29-Oct-19,64.33,65.25,65.25,63.45,19.24K,-2.01%
28-Oct-19,65.65,64.67,66,64.12,16.09K,1.12%
25-Oct-19,64.92,64.47,66.17,63.73,23.70K,0.57%
24-Oct-19,64.55,65.25,66.2,63.85,21.47K,-1.94%
23-Oct-19,65.83,64.75,66.97,64.15,26.24K,0.50%
22-Oct-19,65.5,68.4,69.25,65.2,26.47K,-3.44%
21-Oct-19,67.83,67.5,69.1,67.2,14.52K,-0.18%
18-Oct-19,67.95,70,70,66.12,28.89K,-0.29%
17-Oct-19,68.15,70.08,70.4,67.72,23.42K,-3.50%
16-Oct-19,70.62,71.53,72.08,69.65,24.36K,-2.08%
15-Oct-19,72.12,69.12,72.12,69.12,26.15K,4.34%
14-Oct-19,69.12,70.55,70.92,68.38,17.27K,9.85%
11-Oct-19,62.92,62.8,63.05,62.5,3.83K,0.83%
10-Oct-19,62.4,62.75,62.95,62.33,2.89K,-0.64%
9-Oct-19,62.8,62.5,62.95,62.02,4.08K,1.78%
8-Oct-19,61.7,60.6,62.12,60.58,4.54K,1.98%
7-Oct-19,60.5,61.92,61.95,60.45,6.77K,-3.04%
4-Oct-19,62.4,62.27,62.6,61.77,4.02K,-0.03%
3-Oct-19,62.42,62.25,63,62.08,5.50K,0.35%
2-Oct-19,62.2,62.98,63.3,61.85,6.36K,-0.56%
1-Oct-19,62.55,64.7,65,62.48,7.89K,-4.43%
30-Sep-19,65.45,64.5,65.83,63.58,7.63K,0.26%
27-Sep-19,65.28,64.33,65.45,63.92,7.87K,1.65%
26-Sep-19,64.22,64.5,65.08,63.83,6.09K,-0.56%
25-Sep-19,64.58,62.92,65,62.45,15.22K,4.16%
24-Sep-19,62,61.5,62.23,61.12,7.73K,1.72%
23-Sep-19,60.95,60.92,62.25,60.5,8.02K,0.99%
20-Sep-19,60.35,61.35,62.48,60.1,9.71K,-1.71%
19-Sep-19,61.4,61.7,63,61.23,13.24K,-2.42%
18-Sep-19,62.92,62.1,63.62,62,11.39K,1.32%
17-Sep-19,62.1,64.1,64.65,61.5,21.29K,-2.39%
16-Sep-19,63.62,66.03,66.03,63.17,39.41K,-4.29%
13-Sep-19,66.47,64.72,66.85,63.88,38.82K,5.22%
12-Sep-19,63.17,63.17,63.17,62.2,17.29K,4.99%
11-Sep-19,60.17,61.3,61.92,59.77,40.77K,-4.08%
10-Sep-19,62.73,61.6,64.4,59.9,46.12K,0.21%
9-Sep-19,62.6,63,65.12,62.27,35.79K,-1.42%
6-Sep-19,63.5,65.5,65.75,63.3,32.35K,-4.22%
5-Sep-19,66.3,66.88,68,65.92,24.60K,-1.22%
4-Sep-19,67.12,67.12,67.4,65.78,29.07K,0.89%
3-Sep-19,66.53,64,66.53,64,26.80K,4.74%
30-Aug-19,63.52,64.55,64.75,63.33,19.24K,-2.13%
29-Aug-19,64.9,63.7,65.15,63.48,21.92K,2.20%
28-Aug-19,63.5,61.3,63.6,60.88,20.90K,0.43%
27-Aug-19,63.23,64.25,64.4,62.4,20.41K,-0.89%
26-Aug-19,63.8,60.88,63.8,60.88,25.77K,7.59%
23-Aug-19,59.3,61.58,61.6,59.3,23.20K,-4.82%
22-Aug-19,62.3,63,63.33,62.08,13.73K,-1.58%
21-Aug-19,63.3,64.92,65.7,63.08,15.69K,-2.57%
20-Aug-19,64.97,64.2,65.83,63.38,19.10K,1.47%
19-Aug-19,64.03,62.33,64.47,62.15,18.37K,3.27%
16-Aug-19,62,65.3,66.53,62,18.12K,-4.62%
15-Aug-19,65,67.5,68.55,64.53,19.97K,-2.67%
14-Aug-19,66.78,64.85,67.28,64.6,18.70K,-15.47%
