Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,421.4,409.9,424.7,407.5,-,5.01%
18-Jun-20,401.3,385.7,401.3,382.8,0.46K,4.97%
17-Jun-20,382.3,371.1,386,367.1,0.38K,2.38%
16-Jun-20,373.4,364.7,375,364.7,0.41K,3.35%
15-Jun-20,361.3,351.1,362.6,351.1,0.22K,1.89%
12-Jun-20,354.6,354.7,360.1,351,0.20K,1.03%
11-Jun-20,351,360.7,368.9,349.7,0.33K,-3.04%
10-Jun-20,362,357.8,367.5,354,0.18K,1.23%
9-Jun-20,357.6,369.8,369.8,354,0.28K,-3.56%
8-Jun-20,370.8,368.8,376.8,368.8,0.31K,0.54%
5-Jun-20,368.8,361.6,368.8,360.6,0.28K,3.54%
4-Jun-20,356.2,350.1,357.3,350.1,0.20K,2.33%
3-Jun-20,348.1,359.6,359.6,346.3,0.26K,-2.49%
2-Jun-20,357,362.2,362.3,356.5,0.20K,-1.46%
1-Jun-20,362.3,362.3,367.7,362.2,0.15K,-1.31%
29-May-20,367.1,367.9,370.3,362.2,0.23K,-0.33%
28-May-20,368.3,362.6,378.5,354.6,0.47K,2.33%
27-May-20,359.9,357.8,361.9,356,0.11K,0.87%
26-May-20,356.8,371.5,375,353.8,0.25K,-2.91%
22-May-20,367.5,370,374,363.9,0.18K,-0.76%
21-May-20,370.3,366,376,362.1,0.35K,0.76%
20-May-20,367.5,353.2,372.8,349.9,0.38K,3.73%
19-May-20,354.3,350,355.8,348.1,0.21K,2.34%
18-May-20,346.2,349.8,351,343.3,0.14K,3.96%
15-May-20,333,328.5,328.5,328.5,0.00K,-3.06%
14-May-20,343.5,335.1,345,335.1,0.04K,2.51%
13-May-20,335.1,334.4,345,334.4,0.03K,-1.73%
12-May-20,341,342,342,342,0.02K,3.02%
11-May-20,331,344.1,349,331,0.05K,-3.39%
8-May-20,342.6,335,342.6,335,0.04K,3.19%
7-May-20,332,322.2,333.1,320.2,0.03K,1.41%
6-May-20,327.4,337,340,325.2,0.07K,-2.62%
5-May-20,336.2,334.7,339.7,334.7,0.07K,1.88%
4-May-20,330,331.7,334.9,328,0.07K,0.92%
1-May-20,327,320,332.3,320,0.07K,2.28%
30-Apr-20,319.7,320.6,324.7,314.5,0.07K,0.57%
29-Apr-20,317.9,325,325,317.3,0.03K,-2.63%
28-Apr-20,326.5,314,331.5,314,0.10K,3.45%
27-Apr-20,315.6,318.3,318.3,311.1,0.06K,-2.08%
24-Apr-20,322.3,323.7,330.2,320,0.11K,-0.89%
23-Apr-20,325.2,329.2,333.3,324.7,0.13K,-1.28%
22-Apr-20,329.4,323.7,329.4,320.9,0.18K,3.75%
21-Apr-20,317.5,324.7,325.6,314,0.23K,-3.35%
