Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,"2,387.00","2,435.00","2,435.00","2,301.00",0.01K,-1.32%
18-Jun-20,"2,419.00","2,242.50","2,272.50","2,209.50",-,1.68%
17-Jun-20,"2,379.00","2,392.00","2,396.00","2,382.00",0.01K,0.81%
16-Jun-20,"2,360.00","2,380.00","2,421.00","2,307.00",1.71K,0.21%
15-Jun-20,"2,355.00","2,379.00","2,380.00","2,316.00",3.40K,-1.71%
12-Jun-20,"2,396.00","2,365.00","2,421.00","2,354.00",3.84K,1.44%
11-Jun-20,"2,362.00","2,449.00","2,449.00","2,351.00",8.58K,-4.37%
10-Jun-20,"2,470.00","2,490.00","2,493.00","2,447.00",9.83K,-0.56%
9-Jun-20,"2,484.00","2,416.00","2,508.00","2,405.00",23.49K,2.94%
8-Jun-20,"2,413.00","2,395.00","2,432.00","2,383.00",16.01K,0.63%
5-Jun-20,"2,398.00","2,414.00","2,425.00","2,396.00",18.68K,0.08%
4-Jun-20,"2,396.00","2,400.00","2,430.00","2,385.00",12.97K,0.04%
3-Jun-20,"2,395.00","2,412.00","2,433.00","2,372.00",15.09K,-0.29%
2-Jun-20,"2,402.00","2,497.00","2,502.00","2,395.00",24.63K,-3.65%
1-Jun-20,"2,493.00","2,444.00","2,509.00","2,435.00",20.17K,1.59%
29-May-20,"2,454.00","2,425.00","2,463.00","2,392.00",20.26K,1.03%
28-May-20,"2,429.00","2,349.00","2,435.00","2,346.00",16.53K,2.79%
27-May-20,"2,363.00","2,401.00","2,412.00","2,343.00",14.68K,-1.29%
26-May-20,"2,394.00","2,393.00","2,448.00","2,391.00",20.82K,0.00%
22-May-20,"2,394.00","2,330.00","2,406.00","2,318.00",19.51K,2.31%
21-May-20,"2,340.00","2,397.00","2,411.00","2,326.00",18.25K,-2.54%
20-May-20,"2,401.00","2,430.00","2,461.00","2,393.00",11.53K,-1.40%
19-May-20,"2,435.00","2,401.00","2,445.00","2,392.00",7.91K,1.29%
18-May-20,"2,404.00","2,393.00","2,416.00","2,376.00",8.50K,0.21%
15-May-20,"2,399.00","2,428.00","2,433.00","2,383.00",8.51K,-0.58%
14-May-20,"2,413.00","2,460.00","2,470.00","2,405.00",12.08K,-2.47%
13-May-20,"2,474.00","2,403.00","2,465.50","2,379.50",-,2.23%
12-May-20,"2,420.00","2,477.50","2,481.50","2,353.00",-,-2.46%
11-May-20,"2,481.00","2,392.50","2,473.50","2,389.00",-,2.61%
8-May-20,"2,418.00","2,418.00","2,418.00","2,418.00",-,0.79%
7-May-20,"2,399.00","2,377.50","2,400.00","2,350.50",-,0.76%
6-May-20,"2,381.00","2,356.00","2,382.50","2,332.50",-,-0.63%
5-May-20,"2,396.00","2,381.50","2,420.50","2,363.50",-,-0.37%
4-May-20,"2,405.00","2,388.50","2,398.50","2,342.50",-,-0.62%
1-May-20,"2,420.00","2,412.00","2,421.50","2,387.00",-,-0.49%
30-Apr-20,"2,432.00","2,378.50","2,424.50","2,361.00",-,1.54%
29-Apr-20,"2,395.00","2,359.00","2,381.50","2,350.50",-,1.48%
28-Apr-20,"2,360.00","2,324.50","2,382.50","2,320.00",-,0.51%
27-Apr-20,"2,348.00","2,339.00","2,372.00","2,339.00",0.00K,0.30%
24-Apr-20,"2,341.00","2,340.00","2,340.00","2,340.00",0.00K,-0.09%
23-Apr-20,"2,343.00","2,365.50","2,386.50","2,352.00",-,-0.51%
22-Apr-20,"2,355.00","2,335.00","2,386.50","2,320.50",-,2.48%
21-Apr-20,"2,298.00","2,365.00","2,365.00","2,365.00",0.00K,-1.71%
20-Apr-20,"2,338.00","2,304.00","2,320.00","2,284.00",0.07K,-1.72%
17-Apr-20,"2,379.00","2,296.00","2,377.00","2,296.00",0.06K,6.44%
16-Apr-20,"2,235.00","2,219.00","2,243.00","2,202.00",1.15K,1.36%
15-Apr-20,"2,205.00","2,246.00","2,246.00","2,190.00",3.73K,-2.65%
14-Apr-20,"2,265.00","2,258.00","2,283.00","2,252.00",6.29K,0.53%
13-Apr-20,"2,253.00","2,308.00","2,322.00","2,244.00",4.92K,-2.26%
9-Apr-20,"2,305.00","2,385.00","2,392.00","2,297.00",8.56K,-3.11%
8-Apr-20,"2,379.00","2,402.00","2,412.00","2,371.00",9.27K,-1.29%
7-Apr-20,"2,410.00","2,392.00","2,428.00","2,375.00",18.96K,1.86%
6-Apr-20,"2,366.00","2,284.00","2,392.00","2,267.00",18.78K,4.51%
