Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,93.75,94.3,95.3,93.45,15.82K,-0.90%
18-Jun-20,94.6,97,97.05,94.4,16.44K,-1.71%
17-Jun-20,96.25,93.25,96.8,93.15,12.23K,2.78%
16-Jun-20,93.65,94.65,95.45,92.75,11.58K,-0.37%
15-Jun-20,94,94.2,95.25,92.7,22.02K,-1.26%
12-Jun-20,95.2,96.35,97.8,94.9,18.28K,-0.83%
11-Jun-20,96,96.2,97.65,94.6,27.28K,-0.78%
10-Jun-20,96.75,97.9,98.65,96.4,24.68K,-1.07%
9-Jun-20,97.8,99.2,99.45,97.25,22.76K,-1.11%
8-Jun-20,98.9,99.25,99.65,97.55,26.56K,0.00%
5-Jun-20,98.9,98.55,99.75,97.05,16.82K,0.76%
4-Jun-20,98.15,98.9,98.95,96.25,13.95K,-0.96%
3-Jun-20,99.1,98.5,100.75,97.9,16.88K,0.92%
2-Jun-20,98.2,98.45,99.7,97.35,17.76K,-0.10%
1-Jun-20,98.3,95.85,99,94.8,26.97K,2.08%
29-May-20,96.3,99.2,100.05,95.85,23.80K,-2.83%
28-May-20,99.1,102.3,102.55,98.55,21.07K,-3.32%
27-May-20,102.5,105.15,106,101.45,20.95K,-2.47%
26-May-20,105.1,104.65,107.1,104.2,18.35K,1.45%
22-May-20,103.6,104.75,105.15,102.35,18.54K,-1.10%
21-May-20,104.75,105.75,106.75,104.2,19.21K,-0.85%
20-May-20,105.65,106.75,107.65,105.3,12.40K,-1.31%
19-May-20,107.05,107.5,108.7,106.3,11.52K,1.28%
18-May-20,105.7,106.65,108.08,105.03,-,0.86%
15-May-20,104.8,105,105,105,0.00K,-0.10%
14-May-20,104.9,105.35,105.35,105.35,0.00K,1.30%
13-May-20,103.55,104.5,104.5,103.65,0.06K,-1.94%
12-May-20,105.6,107.75,107.75,107.75,0.00K,-3.07%
11-May-20,108.95,108.2,108.2,108.2,0.01K,-1.04%
8-May-20,110.1,108.25,109.4,108.25,0.00K,2.47%
7-May-20,107.45,107,107,104.6,0.00K,-1.74%
6-May-20,109.35,107.8,109.15,107.75,0.01K,0.46%
5-May-20,108.85,108.3,108.3,108.3,0.05K,3.13%
4-May-20,105.55,103.9,103.9,103.4,0.00K,1.05%
1-May-20,104.45,104.25,104.25,103.7,0.00K,-0.19%
30-Apr-20,104.65,103.75,104.1,102.65,0.01K,0.96%
29-Apr-20,103.65,104.05,104.1,103.5,0.02K,-1.94%
28-Apr-20,105.7,106.65,108.95,105.95,-,1.05%
27-Apr-20,104.6,107,107,104.3,0.03K,-0.57%
24-Apr-20,105.2,109.45,109.45,105,0.04K,-5.27%
23-Apr-20,111.05,112,113.6,110.65,0.04K,0.41%
22-Apr-20,110.6,109.65,112.1,109.65,0.12K,0.87%
21-Apr-20,109.65,113,113.55,109.35,8.79K,-3.52%
20-Apr-20,113.65,116.3,116.75,113.05,5.97K,-2.07%
17-Apr-20,116.05,118.3,119.6,115.7,10.69K,-2.15%
16-Apr-20,118.6,119.85,120.85,117.9,7.04K,-1.33%
15-Apr-20,120.2,117,121.2,114.6,9.06K,2.56%
14-Apr-20,117.2,119.9,120.35,115.75,14.62K,-2.13%
13-Apr-20,119.75,118.95,120.6,116.6,14.23K,0.97%
9-Apr-20,118.6,120,122,116.9,21.97K,-1.00%
8-Apr-20,119.8,120,120.75,118.05,20.57K,-0.08%
7-Apr-20,119.9,117.05,120.9,117,22.94K,2.79%
6-Apr-20,116.65,114.85,117.8,112.4,18.79K,1.52%
3-Apr-20,114.9,118.55,119.2,114.3,15.08K,-3.73%
2-Apr-20,119.35,116.85,120.1,116.6,17.22K,2.89%
1-Apr-20,116,117.75,119,114.1,17.25K,-2.97%
31-Mar-20,119.55,118.65,120.4,116.4,14.19K,0.21%
30-Mar-20,119.3,116.2,120.85,116.2,14.43K,2.98%
27-Mar-20,115.85,123.35,123.35,115.65,19.52K,-7.06%
26-Mar-20,124.65,128.4,130.65,124.05,17.98K,-4.08%
25-Mar-20,129.95,126.2,130.4,122.35,25.57K,3.46%
24-Mar-20,125.6,121.45,126.05,120.8,21.15K,3.59%
23-Mar-20,121.25,120.65,124.9,116.6,26.99K,1.29%
20-Mar-20,119.7,114,120.05,114,24.83K,2.61%
19-Mar-20,116.65,114.15,114.15,111.5,0.04K,7.96%
18-Mar-20,108.05,108.2,108.2,108.2,0.02K,5.00%
17-Mar-20,102.9,104.4,104.4,102.8,0.01K,-0.96%
16-Mar-20,103.9,107.05,107.05,104.85,0.00K,-2.94%
13-Mar-20,107.05,111.15,111.35,107.5,0.06K,-1.91%
12-Mar-20,109.13,109.23,110.5,107.43,-,-2.81%
11-Mar-20,112.28,114.3,116.08,111.53,-,-1.72%
10-Mar-20,114.25,111.3,114.45,111.3,0.09K,4.86%
9-Mar-20,108.95,103.7,109.65,103.7,0.04K,3.17%
6-Mar-20,105.6,105.6,106.2,105.6,0.04K,-3.87%
5-Mar-20,109.85,115,115.45,115,0.08K,-6.23%
4-Mar-20,117.15,118.85,118.85,118.85,0.06K,-3.22%
3-Mar-20,121.05,118.7,120.75,118.3,0.12K,5.58%
2-Mar-20,114.65,112.75,113.7,112.75,0.02K,4.13%
28-Feb-20,110.1,107.75,109.95,107.75,0.11K,1.76%
27-Feb-20,108.2,109.9,110.8,107.8,0.41K,-0.82%
26-Feb-20,109.1,105.35,109.35,105.35,0.02K,1.87%
25-Feb-20,107.1,106.45,107.7,103.9,0.10K,1.13%
24-Feb-20,105.9,105.45,107.05,102.9,0.88K,-2.71%
21-Feb-20,108.85,104.6,109.7,104.6,0.03K,5.07%
20-Feb-20,103.6,107.05,107.05,104,0.72K,-3.00%
19-Feb-20,106.8,106.3,107.75,105.5,17.06K,0.23%
18-Feb-20,106.55,109.7,111.5,104.4,14.62K,-2.34%
14-Feb-20,109.1,104.15,109.4,103.65,9.66K,4.45%
13-Feb-20,104.45,100.5,104.65,99.95,28.56K,3.78%
12-Feb-20,100.65,101,102.3,100,36.21K,0.15%
11-Feb-20,100.5,100.65,101.2,99.5,36.36K,0.20%
10-Feb-20,100.3,98.55,100.7,98.05,45.77K,1.98%
7-Feb-20,98.35,98.35,99.9,97.7,23.66K,0.20%
6-Feb-20,98.15,98.45,99.35,97.4,34.19K,0.41%
5-Feb-20,97.75,98.5,99.25,97.55,29.23K,-0.41%
4-Feb-20,98.15,98.95,101.75,97.6,29.52K,0.26%
3-Feb-20,97.9,102,102.3,97.8,31.24K,-4.63%
31-Jan-20,102.65,101.45,103.25,100.15,23.17K,1.13%
30-Jan-20,101.5,102,103.5,100.9,24.63K,-0.54%
29-Jan-20,102.05,106,106.2,101.9,32.68K,-2.86%
28-Jan-20,105.05,106.4,106.8,104.9,23.89K,-1.45%
27-Jan-20,106.6,110,110,106.15,25.50K,-3.22%
24-Jan-20,110.15,112.6,112.65,109.85,23.99K,-2.18%
23-Jan-20,112.6,111.15,113.7,110.65,22.90K,1.44%
22-Jan-20,111,111.5,112.2,110.1,18.58K,-0.05%
21-Jan-20,111.05,111.5,113.25,109.75,32.01K,-0.98%
17-Jan-20,112.15,113.05,113.4,111.35,17.84K,-0.71%
16-Jan-20,112.95,114.3,115.1,112.35,16.71K,-1.18%
15-Jan-20,114.3,115.3,116.35,114.05,24.68K,-0.52%
14-Jan-20,114.9,115,115.55,113.7,18.62K,0.31%
13-Jan-20,114.55,118.55,118.55,114.15,22.28K,-3.70%
10-Jan-20,118.95,117.75,119.15,116.5,21.17K,1.36%
9-Jan-20,117.35,118.7,120.35,117,24.64K,-1.51%
8-Jan-20,119.15,122.5,123.05,118.25,23.06K,-2.66%
7-Jan-20,122.4,122.6,123.4,119.85,21.31K,0.20%
6-Jan-20,122.15,126.25,126.55,121.55,24.43K,-3.32%
3-Jan-20,126.35,127.2,128.45,125.45,16.57K,-0.59%
2-Jan-20,127.1,129.55,130.95,126.5,21.51K,-2.00%
31-Dec-19,129.7,131.5,134.65,128.55,17.38K,-1.85%
30-Dec-19,132.15,132.5,132.75,129.8,15.44K,-0.26%
27-Dec-19,132.5,127.85,132.8,127.65,23.56K,4.08%
26-Dec-19,127.3,129.4,129.85,126.65,8.89K,-1.62%
