Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,332.5,329.75,333.75,327.5,-,0.45%
18-Jun-20,331,329.75,333.75,328.75,201.44K,0.23%
17-Jun-20,330.25,328,331.25,325,225.64K,0.38%
16-Jun-20,329,331.75,334.5,328,229.10K,-0.08%
15-Jun-20,329.25,329.25,330,325.5,170.74K,0.11%
14-Jun-20,328.88,328.88,328.88,328.88,-,-0.34%
12-Jun-20,330,329.5,333,328.25,236.62K,0.08%
11-Jun-20,329.75,326,331,325.25,272.98K,1.07%
10-Jun-20,326.25,327.25,328,324.25,243.29K,-0.38%
9-Jun-20,327.5,332.25,334,326.75,253.63K,-1.87%
8-Jun-20,333.75,333.5,334.75,331,206.34K,0.11%
7-Jun-20,333.38,333.38,333.38,333.38,-,0.64%
5-Jun-20,331.25,328.75,332.5,328.25,215.91K,0.68%
4-Jun-20,329,324.25,329.5,324,155.61K,1.54%
3-Jun-20,324,324.25,324.5,321.25,128.01K,-0.08%
2-Jun-20,324.25,323.5,325.25,322,130.47K,0.31%
1-Jun-20,323.25,325.5,327.75,319.25,151.32K,-0.58%
31-May-20,325.12,325.38,325.38,325.12,-,-0.19%
29-May-20,325.75,327.5,329.5,323.25,192.31K,-0.53%
28-May-20,327.5,320.25,330.75,319.5,246.97K,2.18%
27-May-20,320.5,320,321.75,319.25,78.42K,0.47%
26-May-20,319,316.75,323,316.5,145.18K,0.67%
25-May-20,316.88,316.88,316.88,316.88,-,-0.35%
22-May-20,318,317.75,319,316,97.19K,0.08%
21-May-20,317.75,319,320.25,316.25,115.12K,-0.55%
20-May-20,319.5,321.25,321.5,317.25,154.47K,-0.54%
19-May-20,321.25,320.75,325.5,320.5,126.38K,0.16%
18-May-20,320.75,320,322,318,99.37K,0.04%
17-May-20,320.62,320.62,320.62,320.62,-,0.43%
15-May-20,319.25,317.75,320.5,316.75,101.61K,-0.31%
14-May-20,320.25,318.12,318.88,315.62,0.06K,0.00%
13-May-20,320.25,323.5,323.5,320,0.09K,-1.08%
12-May-20,323.75,318.75,324.5,312.75,0.27K,1.65%
11-May-20,318.5,320,322.25,318,0.33K,-0.74%
10-May-20,320.88,320.88,320.88,320.88,-,0.59%
8-May-20,319,317.75,321.75,317.5,1.07K,0.95%
7-May-20,316,313.5,318,313.25,1.08K,1.36%
6-May-20,311.75,315,315,311,0.52K,-0.40%
5-May-20,313,310.5,314.75,310.5,0.87K,0.72%
4-May-20,310.75,309.5,310,305.5,2.62K,-1.93%
3-May-20,316.88,316.88,316.88,316.88,-,1.73%
1-May-20,311.5,311,311.5,308,3.51K,0.00%
30-Apr-20,311.5,305.25,313,303.5,11.09K,2.30%
29-Apr-20,304.5,302.75,308.75,300.25,121.80K,0.58%
28-Apr-20,302.75,305,308.5,301.25,138.10K,-0.90%
27-Apr-20,305.5,315,315.75,304.25,108.69K,-5.24%
26-Apr-20,322.38,322.38,322.38,322.38,-,2.10%
24-Apr-20,315.75,319.25,320.75,312,113.48K,-1.10%
23-Apr-20,319.25,317,323.5,315,136.85K,0.55%
22-Apr-20,317.5,310,320.25,308.25,146.97K,2.67%
21-Apr-20,309.25,314.25,316.25,301,197.93K,-1.59%
20-Apr-20,314.25,322.5,323.25,313.5,150.68K,-2.52%
19-Apr-20,322.38,322.38,322.38,322.38,-,0.04%
17-Apr-20,322.25,319.75,325.5,319.5,99.36K,0.78%
16-Apr-20,319.75,318.75,323,317.75,136.58K,0.16%
15-Apr-20,319.25,326,326.75,317.5,161.44K,-2.07%
14-Apr-20,326,331.25,332,325.75,191.91K,-1.66%
13-Apr-20,331.5,332.25,334,326.5,147.09K,-0.34%
12-Apr-20,332.62,332.62,332.62,332.62,-,0.11%
10-Apr-20,332.25,332.25,332.25,332.25,-,0.15%
9-Apr-20,331.75,330.75,333.5,328,169.67K,0.53%
8-Apr-20,330,332,334,328.25,151.31K,-0.45%
7-Apr-20,331.5,328,335.5,328,157.37K,1.14%
6-Apr-20,327.75,329.75,331.75,325.5,111.04K,-0.49%
5-Apr-20,329.38,329.38,329.38,329.38,-,-0.41%
3-Apr-20,330.75,334.5,338.5,328,158.65K,-0.82%
2-Apr-20,333.5,335,343.25,333,151.69K,-0.37%
1-Apr-20,334.75,341.25,342.75,333.5,151.93K,-1.76%
31-Mar-20,340.75,341.75,344.75,333.5,208.19K,-0.15%
30-Mar-20,341.25,343,346.75,340,108.49K,-0.44%
29-Mar-20,342.75,342.75,342.75,342.75,-,-0.94%
27-Mar-20,346,348.5,350,342.5,-,-0.79%
26-Mar-20,348.75,348.25,349.25,343.75,-,0.07%
25-Mar-20,348.5,347.5,352.75,345.75,-,0.36%
24-Mar-20,347.25,343.5,350.5,338,-,1.09%
23-Mar-20,343.5,340.25,345.5,338.25,-,0.92%
22-Mar-20,340.38,340.38,340.38,340.38,-,-0.98%
20-Mar-20,343.75,346.5,356.75,342.25,-,-0.51%
19-Mar-20,345.5,336.5,354.75,336.5,-,3.06%
18-Mar-20,335.25,344,345.25,332,229.88K,-2.54%
17-Mar-20,344,355.25,356.75,342.75,219.22K,-3.03%
16-Mar-20,354.75,362.5,367.75,354,188.79K,-2.17%
15-Mar-20,362.62,362.62,362.62,362.62,-,-2.19%
13-Mar-20,370.75,370,375.5,370,0.12K,0.27%
12-Mar-20,369.75,377.5,377.5,367,0.34K,-2.50%
11-Mar-20,379.25,380.25,380.5,377,0.94K,-0.20%
10-Mar-20,380,379,381.5,377.5,0.61K,1.54%
9-Mar-20,374.25,372,377.5,368.5,0.92K,1.04%
8-Mar-20,370.38,370.38,370.38,370.38,-,-1.82%
6-Mar-20,377.25,383.75,385.5,377,1.28K,-1.89%
5-Mar-20,384.5,387.5,387.5,382,1.83K,-0.65%
4-Mar-20,387,382,388.5,380,3.28K,1.38%
3-Mar-20,381.75,375.75,383.75,375.75,3.19K,1.87%
2-Mar-20,374.75,366.5,375.75,366,6.09K,2.25%
28-Feb-20,366.5,364.5,367.25,362.75,18.81K,0.55%
27-Feb-20,364.5,369.75,370,361.75,156.14K,-1.62%
26-Feb-20,370.5,372,374,368.25,268.80K,-0.54%
25-Feb-20,372.5,373,374.75,371.25,119.87K,0.07%
24-Feb-20,372.25,376.25,376.25,370,170.53K,-1.26%
21-Feb-20,377,378.25,380.5,376.25,169.07K,-0.40%
20-Feb-20,378.5,380.75,381.25,378,173.14K,-0.53%
19-Feb-20,380.5,382.25,382.75,378.5,172.27K,-0.65%
18-Feb-20,383,378.5,383.25,378,215.11K,1.39%
14-Feb-20,377.75,379.5,381.5,376.25,216.86K,-0.46%
13-Feb-20,379.5,382.25,382.75,379,202.46K,-0.91%
12-Feb-20,383,379.75,383.75,378.25,241.46K,0.86%
11-Feb-20,379.75,381,382,378,200.41K,-0.52%
10-Feb-20,381.75,383.25,383.5,379,219.02K,-0.46%
7-Feb-20,383.5,380.25,385,380,256.72K,1.12%
6-Feb-20,379.25,380.25,381.75,376,191.89K,-0.39%
5-Feb-20,380.75,381.5,383.25,379.5,122.10K,-0.39%
4-Feb-20,382.25,378.25,383.5,378.25,176.00K,0.92%
3-Feb-20,378.75,380.5,382,376.5,216.44K,-0.66%
31-Jan-20,381.25,381.5,382.75,378.75,151.81K,0.46%
30-Jan-20,379.5,384.5,385,378.5,160.21K,-1.24%
29-Jan-20,384.25,385.5,388.25,382.75,136.81K,-0.58%
28-Jan-20,386.5,382.5,387,378.5,243.27K,1.58%
27-Jan-20,380.5,384.25,384.75,377.25,264.47K,-1.74%
24-Jan-20,387.25,393.25,393.25,386.5,196.12K,-1.65%
23-Jan-20,393.75,388.5,394,387.5,256.30K,1.29%
22-Jan-20,388.75,387.5,391,386.75,155.60K,0.32%
21-Jan-20,387.5,389,389.25,384.25,182.96K,-0.45%
17-Jan-20,389.25,377,389.5,376.75,293.12K,3.66%
16-Jan-20,375.5,387.25,387.75,375.25,230.56K,-3.10%
15-Jan-20,387.5,388.75,390.25,386.5,141.48K,-0.39%
14-Jan-20,389,389.25,390.5,388.25,115.96K,-0.13%
13-Jan-20,389.5,386.5,389.5,385.5,139.99K,0.97%
10-Jan-20,385.75,383.25,386.75,376.5,226.66K,0.65%
9-Jan-20,383.25,383.75,387,382.25,130.94K,-0.26%
8-Jan-20,384.25,384,385.5,382.25,135.52K,-0.07%
7-Jan-20,384.5,385,385.75,383.5,93.54K,-0.06%
6-Jan-20,384.75,386.25,387.75,382.75,112.13K,-0.45%
3-Jan-20,386.5,391.5,392,385.5,125.93K,-1.28%
2-Jan-20,391.5,387.75,392,387.25,103.99K,1.10%
1-Jan-20,387.25,387.25,387.25,387.25,-,-0.13%
31-Dec-19,387.75,388.25,389.75,386.25,85.10K,-0.13%
30-Dec-19,388.25,389.25,392,386.75,123.53K,-0.45%
27-Dec-19,390,388,391,388,85.21K,0.39%
26-Dec-19,388.5,388,389,386.5,49.93K,0.06%
25-Dec-19,388.25,388.25,388.25,388.25,-,0.19%
24-Dec-19,387.5,388.5,389,387,50.42K,-0.32%
23-Dec-19,388.75,388,390.25,387.25,82.26K,0.26%
20-Dec-19,387.75,386.5,389.5,386,85.33K,0.32%
19-Dec-19,386.5,387,389,385,99.13K,-0.13%
18-Dec-19,387,389.25,390,385.75,125.53K,-0.77%
17-Dec-19,390,387.5,390.5,386.25,118.24K,0.52%
16-Dec-19,388,383.5,389.5,383.25,180.90K,5.94%
13-Dec-19,366.25,373.75,374.5,366.25,0.09K,-0.20%
12-Dec-19,367,358.25,368.75,358.25,0.66K,2.59%
11-Dec-19,357.75,363,363,357,0.26K,-1.51%
10-Dec-19,363.25,365.75,367,362.5,0.89K,-0.68%
9-Dec-19,365.75,366.5,368,365,0.64K,-0.20%
6-Dec-19,366.5,364.75,368.75,364.75,0.96K,0.27%
5-Dec-19,365.5,368.5,369.75,365.25,3.03K,-0.88%
4-Dec-19,368.75,371.75,373.5,367.75,2.99K,-0.87%
3-Dec-19,372,373.75,376.25,371.5,4.94K,-0.40%
2-Dec-19,373.5,371.75,375.5,370,6.28K,-1.90%
1-Dec-19,380.75,380.75,380.75,380.75,-,2.56%
29-Nov-19,371.25,365.75,372.25,365,15.51K,-0.60%
28-Nov-19,373.5,373.5,373.5,373.5,-,2.96%
27-Nov-19,362.75,367.25,368.75,362.25,163.97K,-1.29%
26-Nov-19,367.5,369.75,370.5,367,207.68K,-0.81%
25-Nov-19,370.5,368.75,372.75,368.25,199.30K,0.47%
22-Nov-19,368.75,368,370.25,367.5,228.11K,0.07%
21-Nov-19,368.5,366.75,369.75,366.25,158.70K,0.48%
20-Nov-19,366.75,369.75,370.5,365.75,297.02K,-0.88%
19-Nov-19,370,367.75,373,367.75,202.02K,0.61%
