Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,287,288.9,290.4,286.6,-,-0.62%
18-Jun-20,288.8,287.8,290.8,287.3,51.05K,0.35%
17-Jun-20,287.8,287.8,290,285.6,54.90K,-0.03%
16-Jun-20,287.9,288.8,289.4,287.3,47.08K,-0.17%
15-Jun-20,288.4,289,290,287,40.79K,-0.24%
14-Jun-20,289.1,289.05,289.1,289.05,-,0.03%
12-Jun-20,289,289.6,292.8,288.5,51.10K,-0.24%
11-Jun-20,289.7,288.3,291.3,287.3,57.64K,0.31%
10-Jun-20,288.8,286.8,290.3,286.7,63.09K,0.59%
9-Jun-20,287.1,287.6,289.5,286.1,62.09K,-0.45%
8-Jun-20,288.4,289.1,290.9,287.9,50.65K,-0.24%
7-Jun-20,289.1,289.1,289.1,289.1,-,0.00%
5-Jun-20,289.1,289.8,291.5,287.3,68.42K,-0.24%
4-Jun-20,289.8,285.9,292.4,285.7,61.92K,1.22%
3-Jun-20,286.3,284,286.8,283.8,49.30K,0.92%
2-Jun-20,283.7,283.1,285.2,282.9,38.30K,0.21%
1-Jun-20,283.1,283.2,286.5,282.3,58.85K,-0.09%
31-May-20,283.35,283.55,283.55,283.25,-,0.05%
29-May-20,283.2,283.8,284.5,281.8,40.97K,-0.39%
28-May-20,284.3,282.2,285,281.5,43.07K,0.82%
27-May-20,282,284.2,285,281.8,40.53K,-0.67%
26-May-20,283.9,283.3,286.3,283.2,44.24K,0.12%
25-May-20,283.55,283.55,283.55,283.55,-,-0.19%
22-May-20,284.1,282.5,286.9,282,48.72K,0.57%
21-May-20,282.5,285.5,285.9,282,40.14K,-1.05%
20-May-20,285.5,284.9,287.5,284.5,32.15K,0.32%
19-May-20,284.6,285,286,283.5,40.46K,-0.18%
18-May-20,285.1,287.8,288,284.5,36.57K,-0.94%
17-May-20,287.8,287.8,287.8,287.8,-,0.10%
15-May-20,287.5,288.3,289.6,287.1,30.39K,0.81%
14-May-20,285.2,290.5,290.9,288.05,0.04K,0.00%
13-May-20,285.2,286.5,287.1,286.3,0.07K,-1.18%
12-May-20,288.6,286.6,288.2,286.6,0.08K,0.80%
11-May-20,286.3,288.1,288.1,287.3,0.10K,-1.75%
10-May-20,291.4,290.85,291.4,290.85,-,1.64%
8-May-20,286.7,284.8,287.2,284.8,0.07K,1.09%
7-May-20,283.6,283,284.6,283,0.62K,0.18%
6-May-20,283.1,286.7,286.7,283,0.28K,-0.60%
5-May-20,284.8,283.5,285,282,0.49K,0.53%
4-May-20,283.3,285,285,283.2,0.48K,-3.29%
3-May-20,292.95,292.7,292.95,292.7,-,1.93%
1-May-20,287.4,289.9,289.9,287.2,0.95K,-0.76%
30-Apr-20,289.6,283.6,289.9,282.7,1.75K,2.26%
29-Apr-20,283.2,281.5,284.3,278.8,16.12K,0.50%
28-Apr-20,281.8,285.3,286.2,281,25.29K,-1.23%
27-Apr-20,285.3,287.8,289.3,285,32.32K,-2.54%
26-Apr-20,292.75,293,293,292.75,-,1.76%
24-Apr-20,287.7,289.4,290.2,286.2,18.50K,-0.35%
