Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,28.52,28.14,28.68,28.01,-,1.64%
18-Jun-20,28.06,28.06,28.2,27.81,45.22K,-0.14%
17-Jun-20,28.1,27.96,28.27,27.75,50.63K,0.39%
16-Jun-20,27.99,27.8,28.28,27.76,67.21K,0.90%
15-Jun-20,27.74,27.4,27.77,27.01,57.07K,1.13%
14-Jun-20,27.43,27.52,27.52,27.41,-,-0.25%
12-Jun-20,27.5,27.5,27.78,27.3,60.83K,0.00%
11-Jun-20,27.5,28.06,28.13,27.46,66.95K,-1.79%
10-Jun-20,28,28.24,28.47,27.91,58.89K,-0.81%
9-Jun-20,28.23,28.02,28.36,27.94,61.11K,0.46%
8-Jun-20,28.1,28.27,28.36,27.98,52.59K,-0.53%
7-Jun-20,28.25,28.27,28.27,28.25,-,0.39%
5-Jun-20,28.14,27.72,28.4,27.67,70.34K,1.15%
4-Jun-20,27.82,27.84,27.86,27.5,47.72K,-0.14%
3-Jun-20,27.86,27.97,28.2,27.78,46.15K,-0.29%
2-Jun-20,27.94,27.6,28.01,27.48,54.44K,1.23%
1-Jun-20,27.6,27.36,27.8,27.12,66.20K,0.88%
31-May-20,27.36,27.36,27.36,27.36,-,-0.07%
29-May-20,27.38,27.35,27.51,27.14,52.73K,-0.04%
28-May-20,27.39,27.57,27.66,26.99,54.81K,-0.76%
27-May-20,27.6,27.22,27.74,27.06,64.37K,1.21%
26-May-20,27.27,26.74,27.36,26.71,60.35K,2.02%
25-May-20,26.73,26.73,26.73,26.73,-,0.34%
22-May-20,26.64,27.14,27.14,26.58,52.64K,-1.73%
21-May-20,27.11,27.25,27.55,27.05,54.53K,-0.91%
20-May-20,27.36,27.07,27.4,26.92,50.47K,1.00%
19-May-20,27.09,27.33,27.56,26.95,53.68K,-0.84%
18-May-20,27.32,26.61,27.4,26.61,57.35K,2.48%
17-May-20,26.66,26.66,26.66,26.66,-,0.30%
15-May-20,26.58,26.18,26.65,26.17,45.57K,2.55%
14-May-20,25.92,25.93,26.3,25.7,0.06K,1.13%
13-May-20,25.63,25.94,25.94,25.94,0.01K,-1.35%
12-May-20,25.98,26.05,26.09,25.93,0.13K,-0.80%
11-May-20,26.19,26.03,26.18,26.03,0.12K,-1.58%
10-May-20,26.61,26.61,26.61,26.61,-,1.45%
8-May-20,26.23,26.35,26.35,26.25,0.06K,1.12%
7-May-20,25.94,25.81,26.05,25.79,0.12K,1.65%
6-May-20,25.52,25.82,25.82,25.5,0.25K,-1.73%
5-May-20,25.97,25.95,26.2,25.94,0.60K,0.66%
4-May-20,25.8,25.91,25.91,25.48,0.92K,-0.50%
3-May-20,25.93,27.12,27.12,25.93,-,-0.80%
1-May-20,26.14,26.21,26.21,25.72,2.73K,-0.34%
30-Apr-20,26.23,25.84,26.4,25.81,3.62K,1.75%
29-Apr-20,25.78,25.3,25.88,25.22,27.29K,1.90%
28-Apr-20,25.3,24.98,25.32,24.84,41.43K,1.24%
27-Apr-20,24.99,25.03,25.15,24.64,51.79K,-0.24%
26-Apr-20,25.05,24.98,25.05,24.93,-,0.00%
24-Apr-20,25.05,25.69,25.88,24.75,46.17K,-2.19%
23-Apr-20,25.61,25.58,26.29,25.57,36.67K,0.16%
22-Apr-20,25.57,25.18,25.99,25.06,28.09K,0.87%
21-Apr-20,25.35,25.91,25.97,24.78,45.89K,-2.42%
20-Apr-20,25.98,26.35,26.38,25.88,39.63K,-1.40%
19-Apr-20,26.35,26.35,26.35,26.35,-,0.23%
17-Apr-20,26.29,26.3,26.61,26.23,25.35K,-0.04%
16-Apr-20,26.3,26.68,26.79,26.23,41.08K,-0.94%
15-Apr-20,26.55,26.64,26.9,26.24,55.97K,-0.71%
14-Apr-20,26.74,26.95,27.11,26.62,86.13K,-0.59%
13-Apr-20,26.9,27.57,27.8,26.76,47.48K,-1.86%
10-Apr-20,27.41,27.41,27.41,27.41,-,0.00%
9-Apr-20,27.41,27.27,27.75,27.15,56.77K,0.85%
8-Apr-20,27.18,27.48,27.57,27.06,50.73K,-1.09%
7-Apr-20,27.48,26.87,27.7,26.78,56.08K,2.42%
6-Apr-20,26.83,26.43,26.94,26.2,44.53K,1.51%
5-Apr-20,26.43,26.46,26.47,26.43,-,0.00%
3-Apr-20,26.43,26.25,26.62,26.13,53.12K,0.72%
2-Apr-20,26.24,26.05,26.83,25.82,55.35K,0.73%
1-Apr-20,26.05,26.85,26.97,25.82,58.51K,-3.55%
31-Mar-20,27.01,26.86,27.15,26.68,41.76K,0.52%
30-Mar-20,26.87,26.83,27.38,26.62,47.32K,0.30%
29-Mar-20,26.79,26.79,26.79,26.79,-,-0.22%
27-Mar-20,26.85,26.49,26.96,26.33,-,1.32%
26-Mar-20,26.5,26.64,26.77,26.23,-,-0.53%
25-Mar-20,26.64,26.49,27.04,26.12,-,0.34%
24-Mar-20,26.55,26.07,26.63,25.95,-,1.57%
23-Mar-20,26.14,25.5,26.21,25.25,-,3.08%
22-Mar-20,25.36,25.37,25.37,25.36,-,-1.09%
20-Mar-20,25.64,25.76,26.26,25.41,-,0.63%
19-Mar-20,25.48,25.35,25.73,24.85,-,1.76%
18-Mar-20,25.04,25.35,25.94,24.68,73.85K,-0.79%
17-Mar-20,25.24,25.01,25.9,24.97,88.79K,1.00%
16-Mar-20,24.99,26.06,26.5,24.91,88.30K,-3.96%
15-Mar-20,26.02,26.02,26.02,26.02,-,-0.34%
13-Mar-20,26.11,25.65,26.37,25.65,0.05K,-0.31%
12-Mar-20,26.19,27.54,27.55,26.17,-,-4.07%
11-Mar-20,27.3,0,27.51,27.4,0.03K,-1.59%
10-Mar-20,27.74,27.71,28.19,27.42,-,1.57%
9-Mar-20,27.31,27.83,27.88,26.91,0.51K,-3.40%
8-Mar-20,28.27,28.27,28.27,28.27,-,-0.74%
6-Mar-20,28.48,29.08,29.08,28.3,0.11K,-2.13%
5-Mar-20,29.1,29.72,29.73,29.16,0.26K,-1.15%
4-Mar-20,29.44,29.05,29.51,29.05,0.31K,2.08%
3-Mar-20,28.84,28.71,29.04,28.71,0.78K,0.95%
2-Mar-20,28.57,28.36,28.82,28.36,1.46K,0.92%
28-Feb-20,28.31,28.68,28.83,28.02,7.26K,-1.80%
27-Feb-20,28.83,29.03,29.31,28.63,36.24K,-0.83%
26-Feb-20,29.07,29.2,29.37,28.89,53.97K,-0.55%
25-Feb-20,29.23,29.43,29.58,29.06,32.00K,-0.88%
24-Feb-20,29.49,30.32,30.37,29.34,65.47K,-3.75%
21-Feb-20,30.64,30.1,30.69,30.06,52.04K,1.73%
20-Feb-20,30.12,30.22,30.43,30.04,62.83K,-0.73%
19-Feb-20,30.34,30.47,30.52,29.78,71.72K,-0.46%
18-Feb-20,30.48,30.71,30.77,30.33,64.63K,-0.49%
17-Feb-20,30.63,30.63,30.63,30.63,-,0.00%
16-Feb-20,30.63,30.63,30.64,30.63,-,0.20%
14-Feb-20,30.57,30.72,31.02,30.53,39.23K,-0.49%
13-Feb-20,30.72,31,31,30.41,75.20K,-1.00%
12-Feb-20,31.03,30.75,31.07,30.54,61.91K,1.01%
11-Feb-20,30.72,30.69,30.95,30.4,75.29K,0.33%
10-Feb-20,30.62,31,31.27,30.51,86.70K,-1.13%
7-Feb-20,30.97,31.5,31.5,30.74,83.80K,-0.86%
6-Feb-20,31.24,31.42,31.96,31.15,58.62K,-0.26%
5-Feb-20,31.32,30.83,31.69,30.64,81.15K,1.92%
4-Feb-20,30.73,30.21,31.04,30.16,91.82K,1.45%
3-Feb-20,30.29,29.94,30.42,29.81,103.89K,1.17%
31-Jan-20,29.94,30.78,30.96,29.88,84.58K,-2.25%
30-Jan-20,30.63,31.57,31.67,30.58,76.91K,-2.82%
29-Jan-20,31.52,31.47,32.11,31.32,67.97K,0.19%
28-Jan-20,31.46,31.59,31.63,30.56,87.05K,-0.19%
27-Jan-20,31.52,31.9,31.97,30.72,79.79K,-1.56%
24-Jan-20,32.02,32.54,32.54,31.86,66.46K,-1.42%
23-Jan-20,32.48,33.03,33.05,32.45,58.78K,-1.64%
22-Jan-20,33.02,32.8,33.37,32.61,68.45K,0.82%
21-Jan-20,32.75,33.47,33.61,32.59,78.33K,-1.80%
17-Jan-20,33.35,33.1,33.42,32.75,60.93K,0.97%
16-Jan-20,33.03,33.3,33.45,32.89,69.43K,-0.81%
15-Jan-20,33.3,34.08,34.11,33.25,84.49K,-1.04%
14-Jan-20,33.65,33.33,33.7,33.33,0.14K,0.03%
13-Jan-20,33.64,34.08,34.08,33.68,0.34K,-1.26%
10-Jan-20,34.07,34.44,34.44,34.05,0.58K,-0.82%
9-Jan-20,34.35,34.34,34.57,34.34,1.20K,0.23%
8-Jan-20,34.27,34.5,34.65,34.25,1.18K,-0.55%
7-Jan-20,34.46,34.28,34.46,34.2,1.38K,0.64%
6-Jan-20,34.24,34.65,34.72,34.24,1.66K,-2.92%
5-Jan-20,35.27,35.27,35.27,35.27,-,1.32%
3-Jan-20,34.81,35.08,35.12,34.5,2.51K,-0.46%
2-Jan-20,34.97,34.9,35.36,34.88,3.28K,0.43%
1-Jan-20,34.82,34.82,34.82,34.82,-,0.96%
31-Dec-19,34.49,35.1,35.1,34.12,5.09K,-1.93%
30-Dec-19,35.17,34.7,35.22,34.66,34.42K,0.23%
29-Dec-19,35.09,35.08,35.09,35.08,-,1.04%
27-Dec-19,34.73,34.36,34.89,34.36,42.25K,1.02%
26-Dec-19,34.38,34.15,34.58,34.12,28.47K,1.51%
25-Dec-19,33.87,33.87,33.87,33.87,-,-0.03%
24-Dec-19,33.88,33.73,33.96,33.54,24.71K,0.30%
23-Dec-19,33.78,33.97,34.02,33.67,40.22K,-0.73%
22-Dec-19,34.03,34.02,34.03,34.02,-,0.71%
20-Dec-19,33.79,33.87,33.99,33.56,63.37K,0.00%
19-Dec-19,33.79,33.48,34.02,33.28,51.29K,1.08%
18-Dec-19,33.43,33.72,33.8,33.26,65.32K,-1.15%
17-Dec-19,33.82,33.18,34.09,33.18,97.39K,2.05%
16-Dec-19,33.14,32.7,33.2,32.63,63.06K,1.63%
13-Dec-19,32.61,32.23,32.94,32.23,-,1.81%
12-Dec-19,32.03,31.64,31.95,31.64,0.12K,2.56%
11-Dec-19,31.23,31.31,31.31,31.2,0.02K,-0.76%
10-Dec-19,31.47,31.17,31.54,31.17,0.64K,0.35%
9-Dec-19,31.36,31.24,31.54,31.21,1.01K,1.13%
6-Dec-19,31.01,30.7,30.94,30.61,1.28K,2.38%
5-Dec-19,30.29,30.55,30.55,30.23,1.50K,0.07%
4-Dec-19,30.27,30,30.32,29.99,3.20K,0.93%
3-Dec-19,29.99,30.03,30.21,29.94,4.26K,0.10%
2-Dec-19,29.96,30.4,30.54,29.94,7.88K,-1.54%
1-Dec-19,30.43,30.43,30.43,30.43,-,0.03%
29-Nov-19,30.42,30.47,30.68,30.33,4.48K,0.23%
28-Nov-19,30.35,30.3,30.35,30.3,-,-0.07%
27-Nov-19,30.37,30.21,30.43,30.21,22.89K,0.50%
26-Nov-19,30.22,30.46,30.52,30.12,49.60K,-0.72%
25-Nov-19,30.44,30.91,31.1,30.33,56.12K,-1.42%
22-Nov-19,30.88,30.69,31.08,30.64,38.50K,0.62%
21-Nov-19,30.69,31.2,31.25,30.57,62.23K,-1.63%
20-Nov-19,31.2,31,31.39,30.94,67.26K,0.78%
19-Nov-19,30.96,30.64,31.24,30.57,81.33K,1.04%
18-Nov-19,30.64,30.48,30.83,30.45,50.94K,0.62%
17-Nov-19,30.45,30.51,30.51,30.45,-,0.07%
15-Nov-19,30.43,30.81,30.84,30.41,56.58K,-1.14%
14-Nov-19,30.78,30.53,30.92,30.46,75.32K,0.82%
13-Nov-19,30.53,31.02,31.22,30.51,83.63K,-1.61%
12-Nov-19,31.03,31.4,31.48,30.88,64.47K,-1.24%
11-Nov-19,31.42,31.5,31.89,31.4,69.13K,-0.25%
8-Nov-19,31.5,31.41,31.75,31.35,71.03K,0.22%
7-Nov-19,31.43,31.75,31.78,31.41,68.93K,-1.01%
6-Nov-19,31.75,31.6,31.84,31.45,63.26K,0.57%
5-Nov-19,31.57,31.81,31.96,31.53,57.26K,-0.94%
4-Nov-19,31.87,31.07,31.9,30.9,73.52K,2.64%
3-Nov-19,31.05,31.07,31.07,31.05,-,0.06%
1-Nov-19,31.03,30.78,31.12,30.65,48.40K,0.91%
31-Oct-19,30.75,31.01,31.07,30.57,58.08K,-0.74%
