Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,875.88,873.12,880.38,871.62,-,0.29%
18-Jun-20,873.38,871.38,876.38,870.12,-,0.26%
17-Jun-20,871.12,866.88,875.62,860.25,-,0.49%
16-Jun-20,866.88,870.62,872.88,864.88,-,-0.36%
15-Jun-20,870,870.62,871.88,864.38,-,-0.10%
14-Jun-20,870.88,870.88,870.88,870.88,-,-0.11%
12-Jun-20,871.88,867.88,872.88,863.62,-,0.55%
11-Jun-20,867.12,864.88,869.62,861.12,-,0.13%
10-Jun-20,866,863.62,868.88,863,-,0.28%
9-Jun-20,863.62,863.88,866.62,856.62,-,-0.02%
8-Jun-20,863.75,869.38,871.38,861.62,-,-0.65%
7-Jun-20,869.38,869.38,869.38,869.38,-,0.13%
5-Jun-20,868.25,868.38,873.12,865.38,-,-0.01%
4-Jun-20,868.38,857.12,873.12,855.38,-,1.28%
3-Jun-20,857.38,852.25,858,851.25,-,0.59%
2-Jun-20,852.38,840.25,855.88,838.38,-,1.46%
1-Jun-20,840.12,843.88,848.88,834.12,-,-0.45%
31-May-20,843.88,844,844,843.88,-,0.40%
29-May-20,840.5,845.12,845.12,837.12,-,-0.72%
28-May-20,846.62,848.88,852.12,838.62,-,-0.31%
27-May-20,849.25,848.38,851.12,843.62,-,0.24%
26-May-20,847.25,832.62,849.12,832.62,-,1.76%
25-May-20,832.62,832.62,832.62,832.62,-,-0.11%
24-May-20,833.5,833.5,833.5,833.5,-,0.00%
22-May-20,833.5,835.62,839.38,828.62,-,-0.25%
21-May-20,835.62,846.62,848.38,833.88,-,-1.33%
20-May-20,846.88,842.75,849.38,842.38,-,0.46%
19-May-20,843,846.38,848.38,839.38,-,-0.40%
18-May-20,846.38,840.5,847.62,838.88,-,0.75%
17-May-20,840.12,840.12,840.12,840.12,-,0.33%
15-May-20,837.38,838.12,843.12,836.62,-,-0.10%
14-May-20,838.25,839.38,844.62,835.12,-,-0.16%
13-May-20,839.62,849.75,853.88,836.62,-,-1.48%
12-May-20,852.25,854,857.88,849.62,-,-0.20%
11-May-20,854,854.5,861.12,848.5,-,-0.06%
10-May-20,854.5,854.5,854.5,854.5,-,0.50%
8-May-20,850.25,844.38,856.62,843.62,-,0.71%
7-May-20,844.25,832.62,848.38,832.5,-,1.38%
6-May-20,832.75,839.62,841.88,831.62,-,-0.82%
5-May-20,839.62,837.88,840.88,833.62,-,0.49%
4-May-20,835.5,847.5,847.75,832.38,-,-1.47%
3-May-20,848,848,848,848,-,-0.09%
1-May-20,848.75,855.62,855.62,847.12,-,-0.72%
30-Apr-20,854.88,838.75,855.88,838.38,-,1.91%
29-Apr-20,838.88,831.12,840.62,830.12,-,0.87%
28-Apr-20,831.62,837.38,842.38,829.62,-,-0.69%
27-Apr-20,837.38,838.5,846.38,835.38,-,-0.12%
26-Apr-20,838.38,838.38,838.38,838.38,-,0.96%
24-Apr-20,830.38,840.5,843.5,827.5,-,-1.22%
