Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,481.38,482.62,485.62,476.75,-,-0.31%
18-Jun-20,482.88,488,492.12,480.38,-,-1.15%
17-Jun-20,488.5,494.62,495.62,486.62,-,-1.24%
16-Jun-20,494.62,505.88,507.25,492.5,-,-1.96%
15-Jun-20,504.5,499.38,505.25,497.38,-,1.03%
14-Jun-20,499.38,498.88,499.38,498.88,-,-0.40%
12-Jun-20,501.38,499.38,504.62,495.25,-,0.45%
11-Jun-20,499.12,508.25,509.12,498.38,-,-1.65%
10-Jun-20,507.5,504.88,509.12,502.62,-,0.52%
9-Jun-20,504.88,511.62,514.12,500.88,-,-1.32%
8-Jun-20,511.62,517,517.75,508.88,-,-1.04%
7-Jun-20,517,515.25,517,515.25,-,0.31%
5-Jun-20,515.38,526.62,527.62,513.12,-,-2.18%
4-Jun-20,526.88,512.25,528.62,511.88,-,2.86%
3-Jun-20,512.25,509.12,515.38,506.62,-,0.56%
2-Jun-20,509.38,516.75,516.88,506.88,-,-1.36%
1-Jun-20,516.38,520.12,520.62,511.62,-,-0.72%
31-May-20,520.12,520.25,520.25,520.12,-,-0.29%
29-May-20,521.62,514.12,522.38,511.88,-,1.36%
28-May-20,514.62,505.12,518.62,503.75,-,1.90%
27-May-20,505,507.75,511.62,501.38,-,-0.57%
26-May-20,507.88,504.88,512.38,504.88,-,0.59%
25-May-20,504.88,504.88,504.88,504.88,-,-0.64%
24-May-20,508.12,508.25,508.25,508.12,-,-0.10%
22-May-20,508.62,514.88,516.25,503.38,-,-1.24%
21-May-20,515,515.12,523.88,512.12,-,-0.05%
20-May-20,515.25,499.62,517.62,496.12,-,3.26%
19-May-20,499,497.62,501.38,496.38,-,0.35%
18-May-20,497.25,502.38,502.38,493.88,-,-0.95%
17-May-20,502,499.88,502,499.75,-,0.48%
15-May-20,499.62,503.38,508.12,497.62,-,-0.70%
14-May-20,503.12,500.12,506,496.88,-,0.52%
