"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2020","187.43","187.43","187.43","187.43","-","0.00%"
"Jun 18, 2020","187.43","187.43","187.43","187.43","-","0.00%"
"Jun 17, 2020","187.43","187.43","187.43","187.43","-","0.71%"
"Jun 16, 2020","186.10","186.10","186.10","186.10","-","0.00%"
"Jun 15, 2020","186.10","186.10","186.10","186.10","-","0.00%"
"Jun 12, 2020","186.10","186.10","186.10","186.10","-","0.00%"
"Jun 11, 2020","186.10","186.10","186.10","186.10","-","0.00%"
"Jun 10, 2020","186.10","186.10","186.10","186.10","-","0.00%"
"Jun 09, 2020","186.10","186.10","186.10","186.10","-","0.36%"
"Jun 08, 2020","185.44","185.44","185.44","185.44","-","0.00%"
"Jun 05, 2020","185.44","185.44","185.44","185.44","-","0.00%"
"Jun 04, 2020","185.44","185.44","185.44","185.44","-","-3.34%"
"Jun 03, 2020","191.84","191.84","191.84","191.84","-","-3.33%"
"Jun 02, 2020","198.45","198.45","198.45","198.45","-","0.00%"
"Jun 01, 2020","198.45","198.45","198.45","198.45","-","10.97%"
"May 29, 2020","178.83","178.83","178.83","178.83","-","0.00%"
"May 28, 2020","178.83","178.83","178.83","178.83","-","0.00%"
"May 27, 2020","178.83","178.83","178.83","178.83","-","0.00%"
"May 26, 2020","178.83","178.83","178.83","178.83","-","0.00%"
"May 22, 2020","178.83","178.83","178.83","178.83","-","0.00%"
"May 21, 2020","178.83","178.83","178.83","178.83","-","0.00%"
"May 20, 2020","178.83","178.83","178.83","178.83","-","1.38%"
"May 19, 2020","176.40","176.40","176.40","176.40","-","0.00%"
"May 18, 2020","176.40","176.40","176.40","176.40","-","-1.84%"
"May 15, 2020","179.71","179.71","179.71","179.71","-","0.00%"
"May 14, 2020","179.71","179.71","179.71","179.71","-","0.00%"
"May 13, 2020","179.71","179.71","179.71","179.71","-","0.00%"
"May 12, 2020","179.71","179.71","179.71","179.71","-","-0.81%"
"May 11, 2020","181.18","181.18","181.18","181.18","-","0.00%"
"May 07, 2020","181.18","181.18","181.18","181.18","-","0.00%"
"May 06, 2020","181.18","181.18","181.18","181.18","-","-1.01%"
"May 05, 2020","183.02","183.02","183.02","183.02","-","0.00%"
"May 04, 2020","183.02","183.02","183.02","183.02","-","-2.35%"
"May 01, 2020","187.43","187.43","187.43","187.43","-","-13.13%"
"Apr 30, 2020","215.76","215.76","215.76","215.76","-","0.00%"
"Apr 29, 2020","215.76","215.76","215.76","215.76","-","-0.05%"
"Apr 28, 2020","215.87","215.87","215.87","215.87","-","0.00%"
"Apr 27, 2020","215.87","215.87","215.87","215.87","-","-2.10%"
"Apr 24, 2020","220.50","220.50","220.50","220.50","-","0.00%"
"Apr 23, 2020","220.50","220.50","220.50","220.50","-","0.00%"
"Apr 22, 2020","220.50","220.50","220.50","220.50","-","0.00%"
"Apr 21, 2020","220.50","220.50","220.50","220.50","-","-2.34%"
"Apr 20, 2020","225.79","225.79","225.79","225.79","-","0.00%"
"Apr 17, 2020","225.79","225.79","225.79","225.79","-","-2.48%"
"Apr 16, 2020","231.53","231.53","231.53","231.53","-","0.00%"
"Apr 15, 2020","231.53","231.53","231.53","231.53","-","0.00%"
"Apr 14, 2020","231.53","231.53","231.53","231.53","-","-1.59%"
"Apr 09, 2020","235.27","235.27","235.27","235.27","-","-3.00%"
"Apr 08, 2020","242.55","242.55","242.55","242.55","-","0.00%"
"Apr 07, 2020","242.55","242.55","242.55","242.55","-","0.00%"
"Apr 06, 2020","242.55","242.55","242.55","242.55","-","0.00%"
"Apr 03, 2020","242.55","242.55","242.55","242.55","-","0.00%"
"Apr 02, 2020","242.55","242.55","242.55","242.55","-","2.32%"
"Apr 01, 2020","237.04","237.04","237.04","237.04","-","-18.44%"
"Mar 31, 2020","290.62","290.62","290.62","290.62","-","-0.15%"
"Mar 30, 2020","291.06","291.06","291.06","291.06","-","0.00%"
"Mar 27, 2020","291.06","291.06","291.06","291.06","-","0.00%"
"Mar 26, 2020","291.06","291.06","291.06","291.06","-","0.00%"
"Mar 25, 2020","291.06","291.06","291.06","291.06","-","-1.12%"
"Mar 24, 2020","294.37","294.37","294.37","294.37","-","-0.74%"
"Mar 23, 2020","296.57","296.57","296.57","296.57","-","-1.10%"
"Mar 20, 2020","299.88","299.88","299.88","299.88","-","-0.11%"
"Mar 19, 2020","300.21","300.21","300.21","300.21","-","-0.11%"
"Mar 18, 2020","300.54","300.54","300.54","300.54","-","-0.15%"
"Mar 17, 2020","300.98","300.98","300.98","300.98","-","0.00%"
"Mar 16, 2020","300.98","300.98","300.98","300.98","-","0.00%"
"Mar 13, 2020","300.98","300.98","300.98","300.98","-","0.00%"
"Mar 12, 2020","300.98","300.98","300.98","300.98","-","-1.09%"
"Mar 11, 2020","304.29","304.29","304.29","304.29","-","0.00%"
"Mar 10, 2020","304.29","304.29","304.29","304.29","-","0.00%"
"Mar 09, 2020","304.29","304.29","304.29","304.29","-","0.00%"
"Mar 06, 2020","304.29","304.29","304.29","304.29","-","0.07%"
"Mar 05, 2020","304.07","304.07","304.07","304.07","-","0.00%"
"Mar 04, 2020","304.07","304.07","304.07","304.07","-","0.00%"
"Mar 03, 2020","304.07","304.07","304.07","304.07","-","-1.27%"
"Mar 02, 2020","307.97","307.97","307.97","307.97","-","2.51%"
"Feb 28, 2020","300.43","300.43","300.43","300.43","-","0.00%"
"Feb 27, 2020","300.43","300.43","300.43","300.43","-","0.00%"
"Feb 26, 2020","300.43","300.43","300.43","300.43","-","0.00%"
"Feb 25, 2020","300.43","300.43","300.43","300.43","-","0.00%"
"Feb 24, 2020","300.43","300.43","300.43","300.43","-","0.18%"
"Feb 21, 2020","299.88","299.88","299.88","299.88","-","0.00%"
"Feb 20, 2020","299.88","299.88","299.88","299.88","-","0.00%"
"Feb 19, 2020","299.88","299.88","299.88","299.88","-","0.00%"
"Feb 18, 2020","299.88","299.88","299.88","299.88","-","0.00%"
"Feb 17, 2020","299.88","299.88","299.88","299.88","-","0.00%"
"Feb 14, 2020","299.88","299.88","299.88","299.88","-","0.00%"
"Feb 13, 2020","299.88","299.88","299.88","299.88","-","0.00%"
"Feb 12, 2020","299.88","299.88","299.88","299.88","-","0.00%"
"Feb 11, 2020","299.88","299.88","299.88","299.88","-","0.74%"
"Feb 10, 2020","297.68","297.68","297.68","297.68","-","0.00%"
"Feb 07, 2020","297.68","297.68","297.68","297.68","-","0.00%"
"Feb 06, 2020","297.68","297.68","297.68","297.68","-","0.00%"
"Feb 05, 2020","297.68","297.68","297.68","297.68","-","0.00%"
"Feb 04, 2020","297.68","297.68","297.68","297.68","-","0.37%"
"Feb 03, 2020","296.57","296.57","296.57","296.57","-","-4.27%"
"Jan 31, 2020","309.80","309.80","309.80","309.80","-","-0.36%"
"Jan 30, 2020","310.91","310.91","310.91","310.91","-","0.00%"
"Jan 29, 2020","310.91","310.91","310.91","310.91","-","0.00%"
"Jan 28, 2020","310.91","310.91","310.91","310.91","-","-0.35%"
"Jan 27, 2020","312.01","312.01","312.01","312.01","-","0.00%"
"Jan 24, 2020","312.01","312.01","312.01","312.01","-","0.00%"
"Jan 23, 2020","312.01","312.01","312.01","312.01","-","0.00%"
"Jan 22, 2020","312.01","312.01","312.01","312.01","-","0.00%"
"Jan 21, 2020","312.01","312.01","312.01","312.01","-","0.00%"
"Jan 20, 2020","312.01","312.01","312.01","312.01","-","-0.63%"
"Jan 17, 2020","313.99","313.99","313.99","313.99","-","-0.42%"
"Jan 16, 2020","315.32","315.32","315.32","315.32","-","-0.35%"
"Jan 15, 2020","316.42","316.42","316.42","316.42","-","0.00%"
"Jan 14, 2020","316.42","316.42","316.42","316.42","-","0.00%"
"Jan 13, 2020","316.42","316.42","316.42","316.42","-","-0.69%"
"Jan 10, 2020","318.62","318.62","318.62","318.62","-","-0.69%"
"Jan 09, 2020","320.83","320.83","320.83","320.83","-","0.00%"
"Jan 08, 2020","320.83","320.83","320.83","320.83","-","0.00%"
"Jan 07, 2020","320.83","320.83","320.83","320.83","-","0.00%"
"Jan 06, 2020","320.83","320.83","320.83","320.83","-","-2.22%"
"Jan 03, 2020","328.10","328.10","328.10","328.10","-","0.00%"
"Jan 02, 2020","328.10","328.10","328.10","328.10","-","2.81%"
"Dec 31, 2019","319.13","319.13","319.13","319.13","-","0.00%"
"Dec 30, 2019","319.13","319.13","319.13","319.13","-","-0.19%"
"Dec 27, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 24, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 23, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 20, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 19, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 18, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 17, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 16, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 13, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 12, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 11, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 10, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 09, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 06, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 05, 2019","319.73","319.73","319.73","319.73","-","0.00%"
"Dec 04, 2019","319.73","319.73","319.73","319.73","-","-2.85%"
"Dec 03, 2019","329.10","329.10","329.10","329.10","-","0.00%"
"Dec 02, 2019","329.10","329.10","329.10","329.10","-","-4.20%"
"Nov 29, 2019","343.54","343.54","343.54","343.54","-","0.00%"
"Nov 28, 2019","343.54","343.54","343.54","343.54","-","-0.64%"
"Nov 27, 2019","345.74","345.74","345.74","345.74","-","-0.13%"
"Nov 26, 2019","346.19","346.19","346.19","346.19","-","0.00%"
"Nov 25, 2019","346.19","346.19","346.19","346.19","-","0.00%"
"Nov 22, 2019","346.19","346.19","346.19","346.19","-","0.00%"
"Nov 21, 2019","346.19","346.19","346.19","346.19","-","0.00%"
"Nov 20, 2019","346.19","346.19","346.19","346.19","-","0.00%"
"Nov 19, 2019","346.19","346.19","346.19","346.19","-","0.00%"
"Nov 18, 2019","346.19","346.19","346.19","346.19","-","0.48%"
"Nov 15, 2019","344.53","344.53","344.53","344.53","-","0.00%"
"Nov 14, 2019","344.53","344.53","344.53","344.53","-","0.00%"
"Nov 13, 2019","344.53","344.53","344.53","344.53","-","-2.34%"
"Nov 12, 2019","352.80","352.80","352.80","352.80","-","1.59%"
"Nov 11, 2019","347.29","347.29","347.29","347.29","-","-5.97%"
"Nov 08, 2019","369.34","369.34","369.34","369.34","-","-0.40%"
"Nov 07, 2019","370.81","370.81","370.81","370.81","-","-0.20%"
"Nov 06, 2019","371.54","371.54","371.54","371.54","-","-0.30%"
