Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,2.611,2.593,2.65,2.588,-,0.89%
18-Jun-20,2.588,2.588,2.626,2.572,46.98K,-0.06%
17-Jun-20,2.589,2.563,2.599,2.552,45.83K,0.97%
16-Jun-20,2.565,2.58,2.615,2.531,80.02K,-0.10%
15-Jun-20,2.567,2.591,2.602,2.537,74.75K,-1.27%
12-Jun-20,2.6,2.577,2.623,2.559,86.79K,0.52%
11-Jun-20,2.586,2.68,2.681,2.557,99.50K,-2.64%
10-Jun-20,2.657,2.601,2.7,2.597,95.23K,2.21%
9-Jun-20,2.599,2.579,2.606,2.556,84.10K,1.31%
8-Jun-20,2.566,2.543,2.586,2.53,73.31K,0.39%
5-Jun-20,2.556,2.486,2.572,2.481,95.70K,2.65%
4-Jun-20,2.49,2.484,2.503,2.455,56.68K,0.08%
3-Jun-20,2.487,2.493,2.505,2.475,55.57K,-0.14%
2-Jun-20,2.491,2.468,2.497,2.459,61.13K,0.83%
1-Jun-20,2.47,2.43,2.477,2.424,81.18K,1.86%
29-May-20,2.425,2.405,2.458,2.391,58.71K,0.50%
28-May-20,2.414,2.388,2.424,2.384,60.56K,1.32%
27-May-20,2.382,2.411,2.422,2.359,73.62K,-1.51%
26-May-20,2.418,2.398,2.439,2.386,70.77K,0.52%
25-May-20,2.406,2.398,2.414,2.386,-,0.38%
24-May-20,2.397,2.393,2.399,2.387,-,0.44%
22-May-20,2.386,2.428,2.431,2.372,60.70K,-1.87%
21-May-20,2.432,2.461,2.468,2.422,56.13K,-1.14%
20-May-20,2.46,2.41,2.465,2.401,54.34K,1.74%
19-May-20,2.418,2.424,2.438,2.404,59.83K,0.58%
18-May-20,2.404,2.338,2.428,2.334,65.07K,3.15%
15-May-20,2.33,2.362,2.375,2.329,48.38K,-0.66%
14-May-20,2.346,2.353,2.365,2.314,53.81K,0.00%
13-May-20,2.346,2.336,2.375,2.332,43.80K,-0.55%
12-May-20,2.359,2.384,2.386,2.33,48.17K,-0.88%
11-May-20,2.38,2.409,2.43,2.367,59.01K,-1.08%
8-May-20,2.406,2.379,2.43,2.378,34.75K,1.07%
7-May-20,2.381,2.342,2.391,2.334,52.22K,1.43%
6-May-20,2.347,2.332,2.365,2.319,45.06K,0.62%
5-May-20,2.332,2.321,2.34,2.307,38.37K,0.86%
4-May-20,2.313,2.305,2.322,2.284,30.43K,0.00%
1-May-20,2.312,2.34,2.342,2.286,42.86K,-1.37%
30-Apr-20,2.344,2.377,2.395,2.335,52.27K,-1.12%
29-Apr-20,2.371,2.342,2.386,2.337,46.81K,1.07%
28-Apr-20,2.345,2.346,2.372,2.33,37.24K,0.00%
27-Apr-20,2.345,2.352,2.381,2.324,33.33K,0.36%
24-Apr-20,2.336,2.315,2.363,2.295,31.54K,0.80%
23-Apr-20,2.318,2.301,2.349,2.289,29.74K,0.39%
22-Apr-20,2.309,2.282,2.311,2.234,25.79K,1.97%
21-Apr-20,2.264,2.323,2.337,2.217,54.25K,-3.10%
20-Apr-20,2.337,2.355,2.37,2.313,28.98K,-0.85%
17-Apr-20,2.357,2.328,2.37,2.328,20.16K,2.23%
16-Apr-20,2.306,2.31,2.33,2.3,15.59K,-0.15%
15-Apr-20,2.309,2.338,2.343,2.291,16.50K,-1.47%
14-Apr-20,2.343,2.333,2.351,2.325,34.41K,1.03%
13-Apr-20,2.319,2.313,2.365,2.279,23.13K,2.18%
10-Apr-20,2.27,2.27,2.27,2.27,-,-0.18%
9-Apr-20,2.274,2.283,2.299,2.257,21.27K,0.13%
8-Apr-20,2.271,2.257,2.296,2.251,27.84K,-0.35%
7-Apr-20,2.279,2.227,2.321,2.224,21.93K,2.57%
6-Apr-20,2.222,2.184,2.233,2.184,10.16K,1.16%
3-Apr-20,2.197,2.23,2.237,2.177,6.76K,-1.21%
2-Apr-20,2.224,2.178,2.239,2.157,8.06K,1.97%
1-Apr-20,2.181,2.22,2.227,2.161,10.47K,-2.37%
31-Mar-20,2.234,2.176,2.252,2.174,11.73K,3.31%
30-Mar-20,2.162,2.157,2.18,2.145,8.02K,-0.67%
27-Mar-20,2.177,2.188,2.208,2.162,9.85K,-0.30%
26-Mar-20,2.183,2.204,2.215,2.164,9.11K,-1.11%
25-Mar-20,2.207,2.201,2.23,2.154,10.14K,1.19%
24-Mar-20,2.181,2.089,2.237,2.089,9.31K,3.88%
23-Mar-20,2.1,2.135,2.135,2.024,8.15K,-3.29%
20-Mar-20,2.171,2.15,2.237,2.096,10.06K,-0.75%
19-Mar-20,2.188,2.167,2.201,1.98,10.62K,1.51%
18-Mar-20,2.155,2.325,2.345,2.117,8.74K,-6.99%
17-Mar-20,2.318,2.392,2.428,2.306,9.67K,-3.26%
16-Mar-20,2.395,2.51,2.516,2.34,13.89K,-2.90%
13-Mar-20,2.467,2.443,2.53,2.405,8.48K,-0.32%
12-Mar-20,2.475,2.483,2.49,2.432,11.58K,-1.14%
11-Mar-20,2.503,2.543,2.543,2.475,7.12K,-0.81%
10-Mar-20,2.524,2.489,2.565,2.489,10.00K,0.48%
9-Mar-20,2.512,2.54,2.54,2.46,13.13K,-1.89%
6-Mar-20,2.56,2.575,2.579,2.536,23.87K,-0.58%
5-Mar-20,2.576,2.591,2.602,2.565,6.17K,-0.48%
4-Mar-20,2.588,2.582,2.602,2.574,7.32K,0.47%
3-Mar-20,2.576,2.62,2.625,2.55,8.06K,-0.88%
2-Mar-20,2.599,2.533,2.614,2.51,10.88K,2.14%
28-Feb-20,2.545,2.565,2.572,2.511,10.17K,-1.11%
27-Feb-20,2.573,2.569,2.582,2.529,8.03K,-0.12%
26-Feb-20,2.576,2.57,2.585,2.55,7.89K,-0.35%
25-Feb-20,2.585,2.585,2.6,2.567,10.38K,-0.10%
24-Feb-20,2.588,2.608,2.608,2.571,9.65K,-1.26%
21-Feb-20,2.621,2.606,2.626,2.576,12.56K,0.71%
20-Feb-20,2.602,2.625,2.632,2.592,7.47K,-0.71%
19-Feb-20,2.621,2.622,2.64,2.592,6.51K,0.11%
18-Feb-20,2.618,2.623,2.645,2.608,8.07K,-0.10%
17-Feb-20,2.62,2.607,2.633,2.602,-,0.50%
16-Feb-20,2.607,2.599,2.61,2.599,-,-0.25%
14-Feb-20,2.614,2.624,2.628,2.609,7.10K,-0.53%
13-Feb-20,2.628,2.618,2.641,2.598,8.47K,0.46%
12-Feb-20,2.615,2.599,2.624,2.597,9.07K,0.63%
11-Feb-20,2.599,2.59,2.623,2.582,7.58K,1.29%
10-Feb-20,2.566,2.57,2.592,2.559,9.11K,-0.14%
7-Feb-20,2.569,2.614,2.614,2.563,9.35K,-1.48%
6-Feb-20,2.608,2.599,2.638,2.596,7.09K,0.73%
5-Feb-20,2.589,2.563,2.619,2.563,7.79K,1.25%
4-Feb-20,2.557,2.519,2.586,2.519,7.49K,1.45%
3-Feb-20,2.52,2.51,2.573,2.502,8.48K,-0.38%
31-Jan-20,2.53,2.559,2.559,2.516,6.74K,-0.30%
30-Jan-20,2.537,2.575,2.575,2.53,3.63K,-1.19%
29-Jan-20,2.568,2.611,2.615,2.566,6.11K,-0.98%
28-Jan-20,2.593,2.615,2.621,2.592,5.48K,-0.78%
27-Jan-20,2.614,2.677,2.677,2.609,3.81K,-3.22%
24-Jan-20,2.701,2.743,2.744,2.695,3.00K,-1.51%
23-Jan-20,2.743,2.786,2.788,2.73,2.77K,-1.44%
22-Jan-20,2.783,2.808,2.817,2.782,4.56K,-0.94%
21-Jan-20,2.809,2.866,2.866,2.807,5.24K,-1.23%
20-Jan-20,2.844,2.852,2.861,2.837,-,-0.25%
19-Jan-20,2.851,2.846,2.851,2.845,-,-0.31%
17-Jan-20,2.86,2.87,2.886,2.856,2.87K,-0.03%
16-Jan-20,2.861,2.878,2.898,2.856,7.19K,-0.69%
15-Jan-20,2.881,2.878,2.883,2.861,3.36K,-0.24%
14-Jan-20,2.888,2.868,2.889,2.866,4.78K,0.47%
13-Jan-20,2.875,2.829,2.876,2.829,4.33K,1.64%
10-Jan-20,2.828,2.822,2.846,2.812,3.38K,0.37%
9-Jan-20,2.818,2.823,2.829,2.81,7.65K,-0.34%
8-Jan-20,2.827,2.809,2.828,2.806,8.15K,0.60%
7-Jan-20,2.81,2.809,2.815,2.797,5.04K,0.18%
6-Jan-20,2.805,2.804,2.807,2.784,2.41K,0.09%
3-Jan-20,2.803,2.819,2.823,2.775,2.74K,-1.32%
2-Jan-20,2.84,2.835,2.845,2.813,3.31K,1.21%
1-Jan-20,2.806,2.798,2.807,2.798,-,-0.30%
31-Dec-19,2.815,2.835,2.835,2.814,2.30K,-1.21%
30-Dec-19,2.849,2.839,2.849,2.835,2.14K,0.19%
27-Dec-19,2.843,2.862,2.862,2.829,1.81K,-0.68%
26-Dec-19,2.863,2.849,2.869,2.849,1.14K,0.88%
25-Dec-19,2.838,2.825,2.842,2.825,-,-0.09%
24-Dec-19,2.841,2.82,2.845,2.82,2.03K,0.66%
23-Dec-19,2.822,2.814,2.822,2.813,2.05K,0.07%
20-Dec-19,2.82,2.836,2.839,2.813,2.36K,-0.69%
19-Dec-19,2.839,2.818,2.841,2.815,1.99K,0.46%
18-Dec-19,2.826,2.82,2.828,2.803,2.63K,-0.12%
17-Dec-19,2.83,2.819,2.831,2.819,4.83K,0.12%
16-Dec-19,2.826,2.803,2.831,2.803,4.94K,1.00%
13-Dec-19,2.799,2.828,2.839,2.787,4.72K,-0.59%
12-Dec-19,2.815,2.81,2.829,2.783,7.66K,0.30%
11-Dec-19,2.806,2.783,2.813,2.781,7.21K,0.79%
10-Dec-19,2.784,2.778,2.786,2.772,7.31K,0.31%
9-Dec-19,2.776,2.747,2.778,2.743,6.99K,1.24%
6-Dec-19,2.742,2.687,2.766,2.685,5.03K,2.29%
5-Dec-19,2.681,2.675,2.69,2.675,3.03K,0.21%
4-Dec-19,2.675,2.645,2.681,2.639,3.82K,1.31%
3-Dec-19,2.641,2.667,2.667,2.639,3.19K,-1.07%
2-Dec-19,2.669,2.69,2.69,2.665,2.84K,-0.39%
29-Nov-19,2.68,2.691,2.696,2.672,2.00K,0.36%
28-Nov-19,2.67,2.694,2.695,2.667,-,-1.57%
27-Nov-19,2.713,2.703,2.724,2.703,2.38K,0.00%
26-Nov-19,2.713,2.675,2.713,2.67,4.72K,1.38%
25-Nov-19,2.675,2.671,2.693,2.669,1.71K,0.13%
22-Nov-19,2.672,2.657,2.674,2.645,1.82K,0.79%
21-Nov-19,2.651,2.668,2.668,2.651,1.70K,-0.92%
20-Nov-19,2.675,2.675,2.688,2.67,2.52K,-0.26%
19-Nov-19,2.682,2.651,2.688,2.648,3.18K,1.34%
18-Nov-19,2.647,2.666,2.666,2.643,3.45K,-0.66%
15-Nov-19,2.664,2.654,2.67,2.652,1.78K,0.57%
14-Nov-19,2.649,2.671,2.676,2.647,2.91K,-0.60%
13-Nov-19,2.665,2.674,2.674,2.66,1.92K,-0.21%
12-Nov-19,2.671,2.693,2.698,2.67,1.51K,-0.60%
11-Nov-19,2.687,2.696,2.696,2.678,2.89K,-0.61%
8-Nov-19,2.704,2.723,2.732,2.698,3.60K,-1.55%
7-Nov-19,2.746,2.701,2.747,2.701,4.40K,2.31%
6-Nov-19,2.684,2.711,2.715,2.68,2.19K,-1.23%
5-Nov-19,2.717,2.701,2.73,2.701,1.15K,1.04%
4-Nov-19,2.69,2.678,2.694,2.676,2.66K,0.75%
1-Nov-19,2.67,2.668,2.681,2.657,1.43K,0.47%
31-Oct-19,2.657,2.691,2.691,2.651,2.00K,-1.70%
30-Oct-19,2.703,2.704,2.71,2.691,0.38K,-0.24%
29-Oct-19,2.71,2.695,2.708,2.695,0.38K,0.28%
28-Oct-19,2.702,2.7,2.707,2.7,0.20K,0.32%
25-Oct-19,2.694,2.687,2.701,2.686,0.30K,0.28%
24-Oct-19,2.686,2.689,2.697,2.681,0.25K,-0.09%
23-Oct-19,2.688,2.657,2.685,2.645,0.75K,1.26%
22-Oct-19,2.655,2.664,2.665,2.655,1.06K,-0.36%
21-Oct-19,2.664,2.655,2.668,2.655,0.48K,0.40%
18-Oct-19,2.654,2.631,2.655,2.631,0.49K,1.39%
17-Oct-19,2.618,2.629,2.633,2.613,0.74K,0.23%
16-Oct-19,2.612,2.606,2.615,2.596,0.59K,-0.85%
15-Oct-19,2.634,2.658,2.658,2.628,0.45K,-0.72%
14-Oct-19,2.653,2.632,2.642,2.632,0.56K,0.23%
11-Oct-19,2.647,2.644,2.648,2.628,1.74K,0.61%
10-Oct-19,2.631,2.612,2.632,2.604,0.59K,1.66%
9-Oct-19,2.588,2.591,2.597,2.586,3.22K,-0.10%
8-Oct-19,2.591,2.618,2.618,2.583,1.60K,-0.27%
7-Oct-19,2.598,2.601,2.606,2.595,1.87K,0.60%
4-Oct-19,2.582,2.568,2.568,2.556,0.45K,0.29%
3-Oct-19,2.575,2.568,2.568,2.568,0.58K,-0.68%
2-Oct-19,2.592,2.589,2.594,2.571,0.97K,0.27%
1-Oct-19,2.585,2.595,2.595,2.545,0.99K,-0.73%
30-Sep-19,2.604,2.638,2.638,2.601,0.70K,-0.69%
27-Sep-19,2.622,2.618,2.636,2.616,0.30K,0.77%
26-Sep-19,2.602,2.601,2.601,2.601,0.45K,-1.21%
25-Sep-19,2.634,2.615,2.635,2.611,0.45K,0.21%
24-Sep-19,2.628,2.63,2.63,2.628,0.22K,-0.23%
23-Sep-19,2.635,2.6,2.634,2.6,0.24K,0.17%
20-Sep-19,2.63,2.636,2.641,2.615,0.38K,-0.15%
19-Sep-19,2.634,2.642,2.642,2.633,0.37K,-0.13%
18-Sep-19,2.638,2.641,2.642,2.633,0.30K,-0.57%
17-Sep-19,2.652,2.64,2.652,2.64,0.39K,-0.60%
