"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2020","12,747.50","12,905.00","13,017.50","12,722.50","-","-1.18%"
"Jun 18, 2020","12,900.00","12,865.00","12,952.50","12,762.50","-","0.51%"
"Jun 17, 2020","12,835.00","13,010.00","13,037.50","12,812.50","-","-1.48%"
"Jun 16, 2020","13,027.50","12,887.50","13,032.50","12,840.00","-","1.48%"
"Jun 15, 2020","12,837.50","12,702.50","12,867.50","12,467.50","-","1.02%"
"Jun 12, 2020","12,707.50","12,660.00","12,827.50","12,535.00","-","0.49%"
"Jun 11, 2020","12,645.00","13,017.50","13,045.00","12,602.50","-","-2.75%"
"Jun 10, 2020","13,002.50","12,877.50","13,062.50","12,807.50","-","0.74%"
"Jun 09, 2020","12,907.50","13,040.00","13,095.00","12,725.00","-","-1.21%"
"Jun 08, 2020","13,065.00","12,942.50","13,117.50","12,867.50","-","1.06%"
"Jun 05, 2020","12,927.50","12,777.50","13,012.50","12,745.00","-","1.04%"
"Jun 04, 2020","12,795.00","12,805.00","12,842.50","12,537.50","-","0.02%"
"Jun 03, 2020","12,792.50","12,867.50","12,922.50","12,670.00","-","-0.60%"
"Jun 02, 2020","12,870.00","12,580.00","12,882.50","12,542.50","-","2.28%"
"Jun 01, 2020","12,582.50","12,410.00","12,677.50","12,402.50","-","1.68%"
"May 29, 2020","12,375.00","12,207.50","12,382.50","12,137.50","-","1.10%"
"May 28, 2020","12,240.00","12,170.00","12,307.50","12,130.00","-","0.78%"
"May 27, 2020","12,145.00","12,327.50","12,337.50","12,092.50","-","-1.62%"
"May 26, 2020","12,345.00","12,195.00","12,412.50","12,195.00","-","0.65%"
"May 22, 2020","12,265.00","12,430.00","12,652.50","12,107.50","-","-1.31%"
"May 21, 2020","12,427.50","12,657.50","12,907.50","12,407.50","-","-2.13%"
"May 20, 2020","12,697.50","12,432.50","12,705.00","12,382.50","-","1.82%"
"May 19, 2020","12,470.00","12,295.00","12,477.50","12,230.00","-","1.71%"
"May 18, 2020","12,260.00","11,870.00","12,267.50","11,837.50","-","3.68%"
"May 15, 2020","11,825.00","12,110.00","12,110.00","11,822.50","-","-1.95%"
"May 14, 2020","12,060.00","12,242.50","12,315.00","11,962.50","-","-1.53%"
"May 13, 2020","12,247.50","12,265.00","12,357.50","12,135.00","-","-0.26%"
"May 12, 2020","12,280.00","12,377.50","12,475.00","12,235.00","-","-0.97%"
"May 11, 2020","12,400.00","12,377.50","12,497.50","12,222.50","-","0.94%"
"May 07, 2020","12,285.00","12,332.50","12,397.50","12,167.50","-","-0.32%"
