Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,"1,753.00","1,729.80","1,760.90","1,728.30",-,1.27%
18-Jun-20,"1,731.10","1,735.50","1,749.20","1,722.70",155.91K,-0.26%
17-Jun-20,"1,735.60","1,735.30","1,739.30","1,717.30",140.07K,-0.05%
16-Jun-20,"1,736.50","1,732.30","1,741.30","1,721.80",182.42K,0.54%
15-Jun-20,"1,727.20","1,740.70","1,743.80","1,706.20",200.23K,-0.58%
12-Jun-20,"1,737.30","1,733.60","1,753.00","1,728.20",151.40K,-0.14%
11-Jun-20,"1,739.80","1,746.60","1,754.90","1,727.50",205.35K,1.11%
10-Jun-20,"1,720.70","1,718.90","1,749.40","1,714.10",198.76K,-0.07%
9-Jun-20,"1,721.90","1,703.90","1,729.40","1,697.60",182.91K,0.99%
8-Jun-20,"1,705.10","1,686.70","1,707.60","1,680.70",154.77K,1.31%
5-Jun-20,"1,683.00","1,720.80","1,723.20","1,671.70",273.68K,-2.57%
4-Jun-20,"1,727.40","1,702.80","1,729.00","1,698.90",198.72K,1.33%
3-Jun-20,"1,704.80","1,733.70","1,738.90","1,690.30",256.52K,-1.68%
2-Jun-20,"1,734.00","1,750.30","1,757.00","1,728.00",175.35K,-0.93%
1-Jun-20,"1,750.30","1,749.80","1,761.00","1,737.60",146.13K,-0.08%
29-May-20,"1,751.70","1,732.70","1,754.50","1,725.30",150.11K,1.35%
28-May-20,"1,728.30","1,725.00","1,743.70","1,720.00",164.82K,0.09%
27-May-20,"1,726.80","1,724.10","1,729.10","1,701.60",158.95K,-0.08%
26-May-20,"1,728.20","1,753.00","1,755.60","1,721.20",152.50K,0.07%
25-May-20,"1,727.00","1,730.55","1,731.35","1,719.25",-,-0.21%
24-May-20,"1,730.65","1,735.45","1,735.90","1,729.80",-,-0.28%
22-May-20,"1,735.50","1,726.00","1,742.00","1,722.50",196.82K,0.79%
21-May-20,"1,721.90","1,751.70","1,751.70","1,715.30",238.74K,-1.72%
20-May-20,"1,752.10","1,749.20","1,757.60","1,744.00",184.46K,0.37%
19-May-20,"1,745.60","1,734.80","1,751.60","1,727.20",185.26K,0.65%
18-May-20,"1,734.40","1,757.50","1,775.80","1,729.30",271.47K,-1.25%
15-May-20,"1,756.30","1,738.50","1,761.20","1,736.80",200.18K,0.88%
14-May-20,"1,740.90","1,723.10","1,746.50","1,716.00",212.91K,1.43%
13-May-20,"1,716.40","1,705.00","1,726.50","1,701.60",211.61K,0.56%
12-May-20,"1,706.80","1,700.00","1,716.70","1,693.50",198.07K,0.52%
11-May-20,"1,698.00","1,706.00","1,713.80","1,692.10",202.17K,-0.93%
8-May-20,"1,713.90","1,727.20","1,735.50","1,703.10",232.81K,-0.69%
7-May-20,"1,725.80","1,686.00","1,733.20","1,683.90",250.70K,2.21%
6-May-20,"1,688.50","1,714.10","1,716.60","1,683.00",203.37K,-1.29%
5-May-20,"1,710.60","1,711.00","1,717.80","1,695.40",184.73K,-0.16%
4-May-20,"1,713.30","1,711.20","1,726.00","1,700.30",148.73K,0.73%
1-May-20,"1,700.90","1,693.50","1,714.40","1,676.00",168.02K,0.40%
30-Apr-20,"1,694.20","1,729.60","1,737.00","1,687.50",234.53K,-1.12%
29-Apr-20,"1,713.40","1,724.80","1,733.50","1,708.20",159.60K,-0.51%
28-Apr-20,"1,722.20","1,724.40","1,731.90","1,704.10",171.34K,-0.09%
27-Apr-20,"1,723.80","1,745.00","1,745.80","1,720.00",146.64K,-0.68%
24-Apr-20,"1,735.60","1,753.00","1,760.20","1,725.40",180.24K,-0.56%
23-Apr-20,"1,745.40","1,736.50","1,764.20","1,730.60",201.88K,0.41%
22-Apr-20,"1,738.30","1,703.10","1,742.40","1,695.40",193.73K,2.99%
21-Apr-20,"1,687.80","1,713.30","1,718.00","1,666.20",248.63K,-1.37%
20-Apr-20,"1,711.20","1,693.00","1,718.40","1,685.00",186.91K,0.73%
17-Apr-20,"1,698.80","1,738.50","1,738.80","1,691.20",227.07K,-1.90%
16-Apr-20,"1,731.70","1,743.50","1,768.00","1,722.60",204.23K,-0.49%
15-Apr-20,"1,740.20","1,758.10","1,759.80","1,731.60",186.70K,-1.62%
14-Apr-20,"1,768.90","1,761.50","1,788.80","1,747.10",241.19K,0.43%
13-Apr-20,"1,761.40","1,742.30","1,772.80","1,724.20",166.89K,1.19%
10-Apr-20,"1,740.60","1,740.60","1,740.60","1,740.60",-,-0.70%
9-Apr-20,"1,752.80","1,680.50","1,754.50","1,676.50",218.80K,4.07%
