"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2020","1,909.20","1,909.10","1,924.90","1,886.90","-","-0.25%"
"Jun 18, 2020","1,914.00","1,924.05","1,956.80","1,876.50","-","-0.53%"
"Jun 17, 2020","1,924.15","1,935.60","1,948.20","1,898.30","-","-0.84%"
"Jun 16, 2020","1,940.40","1,950.00","1,973.60","1,927.10","-","-0.49%"
"Jun 15, 2020","1,950.00","1,920.00","1,956.40","1,889.50","-","1.61%"
"Jun 14, 2020","1,919.15","1,929.70","1,934.70","1,919.15","-","-0.46%"
"Jun 12, 2020","1,928.00","1,927.00","1,963.10","1,919.20","-","0.05%"
"Jun 11, 2020","1,927.00","1,932.90","1,968.30","1,904.10","-","-0.31%"
"Jun 10, 2020","1,932.90","1,978.00","1,998.25","1,915.00","-","-1.63%"
"Jun 09, 2020","1,965.00","2,056.50","2,056.50","1,936.40","-","-4.45%"
"Jun 08, 2020","2,056.50","1,971.50","2,060.30","1,926.20","-","4.31%"
"Jun 07, 2020","1,971.50","1,967.50","1,986.40","1,959.30","-","0.28%"
"Jun 05, 2020","1,966.00","1,940.40","1,994.05","1,916.40","-","1.32%"
"Jun 04, 2020","1,940.40","1,959.90","1,963.25","1,832.20","-","-0.99%"
"Jun 03, 2020","1,959.90","1,989.00","2,000.90","1,955.20","-","-1.46%"
"Jun 02, 2020","1,989.00","1,985.10","2,028.00","1,965.30","-","0.20%"
"Jun 01, 2020","1,985.10","1,963.70","1,995.00","1,934.60","-","1.09%"
"May 31, 2020","1,963.70","1,946.40","1,963.70","1,934.40","-","0.56%"
"May 29, 2020","1,952.70","1,948.90","1,981.15","1,918.10","-","0.13%"
"May 28, 2020","1,950.20","1,981.50","2,008.00","1,905.90","-","-1.58%"
"May 27, 2020","1,981.50","1,970.00","2,000.00","1,893.50","-","0.71%"
"May 26, 2020","1,967.60","2,000.00","2,050.00","1,961.35","-","-1.62%"
"May 25, 2020","2,000.00","1,999.20","2,015.10","1,975.00","-","0.04%"
"May 24, 2020","1,999.20","2,000.45","2,004.00","1,964.50","-","0.91%"
"May 22, 2020","1,981.20","2,076.00","2,076.80","1,945.10","-","-4.57%"
"May 21, 2020","2,076.00","2,150.00","2,150.90","2,037.40","-","-3.44%"
"May 20, 2020","2,150.00","2,068.30","2,168.80","2,062.15","-","3.87%"
"May 19, 2020","2,069.80","2,033.70","2,152.80","1,984.50","-","1.78%"
"May 18, 2020","2,033.70","1,892.90","2,070.00","1,882.00","-","7.44%"
"May 17, 2020","1,892.90","1,868.60","1,892.90","1,864.90","-","1.24%"
"May 15, 2020","1,869.80","1,814.40","1,878.10","1,783.45","-","3.05%"
"May 14, 2020","1,814.40","1,804.10","1,814.40","1,742.40","-","0.66%"
"May 13, 2020","1,802.55","1,826.10","1,839.60","1,747.60","-","-1.29%"
"May 12, 2020","1,826.10","1,873.30","1,880.60","1,815.90","-","-2.52%"
"May 11, 2020","1,873.30","1,849.50","1,914.50","1,806.00","-","1.29%"
"May 10, 2020","1,849.40","1,848.95","1,854.05","1,845.10","-","-0.03%"
"May 08, 2020","1,850.00","1,870.60","1,882.30","1,803.00","-","-1.10%"
"May 07, 2020","1,870.60","1,761.50","1,870.60","1,761.50","-","6.19%"
"May 06, 2020","1,761.50","1,778.00","1,792.20","1,735.00","-","-0.93%"
"May 05, 2020","1,778.00","1,830.40","1,837.10","1,732.00","-","-2.86%"
"May 04, 2020","1,830.40","1,874.90","1,899.30","1,810.50","-","-2.12%"
"May 03, 2020","1,870.00","1,884.20","1,884.20","1,870.00","-","-0.02%"
"May 01, 2020","1,870.30","1,951.20","1,951.20","1,870.00","-","-4.15%"
"Apr 30, 2020","1,951.20","1,925.10","2,075.60","1,919.30","-","1.10%"
"Apr 29, 2020","1,930.00","1,898.10","1,974.50","1,888.10","-","1.68%"
"Apr 28, 2020","1,898.10","1,911.10","1,922.10","1,862.50","-","-0.68%"
"Apr 27, 2020","1,911.10","1,990.20","2,023.10","1,875.00","-","-3.97%"
"Apr 26, 2020","1,990.20","1,980.30","2,003.40","1,980.30","-","0.72%"
"Apr 24, 2020","1,976.00","1,939.40","2,020.00","1,939.40","-","1.83%"
"Apr 23, 2020","1,940.50","1,891.10","2,046.70","1,868.70","-","2.61%"
"Apr 22, 2020","1,891.10","1,905.40","1,924.10","1,854.00","-","0.05%"
"Apr 21, 2020","1,890.10","2,122.00","2,130.30","1,765.00","-","-10.91%"
"Apr 20, 2020","2,121.65","2,130.00","2,159.20","2,103.85","-","-0.39%"
"Apr 19, 2020","2,130.00","2,106.50","2,135.00","2,105.00","-","1.43%"
"Apr 17, 2020","2,100.00","2,130.50","2,151.90","2,100.00","-","-0.71%"
"Apr 16, 2020","2,115.10","2,132.40","2,184.15","2,090.00","-","-0.81%"
"Apr 15, 2020","2,132.40","2,157.00","2,205.80","2,101.80","-","-1.14%"
"Apr 14, 2020","2,157.00","2,130.10","2,255.00","2,128.45","-","0.11%"
"Apr 13, 2020","2,154.60","2,143.00","2,220.00","2,053.80","-","0.49%"
"Apr 12, 2020","2,144.00","2,096.35","2,169.50","2,053.80","-","2.73%"
"Apr 09, 2020","2,087.00","2,108.80","2,115.35","2,075.00","-","-1.03%"
"Apr 08, 2020","2,108.80","2,100.00","2,134.90","2,072.00","-","0.42%"
"Apr 07, 2020","2,100.00","2,090.20","2,207.85","2,057.60","-","-0.32%"
"Apr 06, 2020","2,106.80","2,121.30","2,137.00","2,020.00","-","-0.68%"
"Apr 05, 2020","2,121.30","2,107.45","2,121.30","2,102.05","-","0.16%"
"Apr 03, 2020","2,118.00","2,141.30","2,187.00","2,048.30","-","-1.09%"
"Apr 02, 2020","2,141.30","2,173.50","2,235.00","2,039.90","-","-1.23%"
"Apr 01, 2020","2,168.00","2,237.20","2,288.00","2,110.50","-","-3.09%"
"Mar 31, 2020","2,237.20","2,217.00","2,368.00","2,166.00","-","0.91%"
"Mar 30, 2020","2,217.00","2,182.60","2,224.00","2,105.30","-","1.58%"
"Mar 29, 2020","2,182.60","2,146.75","2,185.00","2,135.30","-","1.74%"
"Mar 27, 2020","2,145.30","2,188.00","2,270.00","2,101.45","-","-1.95%"
"Mar 26, 2020","2,188.00","2,233.00","2,300.00","2,106.50","-","-2.02%"
"Mar 25, 2020","2,233.00","1,853.50","2,319.90","1,811.90","-","20.47%"
"Mar 24, 2020","1,853.50","1,655.10","1,878.00","1,655.10","-","11.25%"
"Mar 23, 2020","1,666.00","1,510.80","1,675.00","1,483.30","-","12.32%"
"Mar 22, 2020","1,483.30","1,529.30","1,567.80","1,483.30","-","-2.22%"
"Mar 20, 2020","1,517.00","1,522.40","1,624.90","1,467.40","-","-0.35%"
"Mar 19, 2020","1,522.40","1,509.50","1,596.70","1,370.00","-","1.43%"
"Mar 18, 2020","1,501.00","1,496.50","1,548.50","1,410.80","-","1.08%"
"Mar 17, 2020","1,485.00","1,499.90","1,650.00","1,370.00","-","-0.99%"
"Mar 16, 2020","1,499.90","1,620.00","1,759.30","1,355.10","-","-7.41%"
"Mar 15, 2020","1,620.00","1,637.50","1,644.00","1,581.00","-","-2.29%"
"Mar 13, 2020","1,658.00","1,759.80","1,952.90","1,466.00","-","-5.78%"
"Mar 12, 2020","1,759.80","2,213.00","2,218.05","1,560.00","-","-20.48%"
"Mar 11, 2020","2,213.05","2,325.60","2,333.20","2,210.30","-","-4.84%"
"Mar 10, 2020","2,325.60","2,399.00","2,431.30","2,304.80","-","-3.06%"
"Mar 09, 2020","2,399.00","2,389.00","2,416.40","2,250.00","-","0.42%"
"Mar 08, 2020","2,389.00","2,465.05","2,478.10","2,381.00","-","-2.97%"
"Mar 06, 2020","2,462.20","2,453.30","2,550.00","2,378.30","-","0.36%"
"Mar 05, 2020","2,453.30","2,455.60","2,471.80","2,371.00","-","-0.09%"
"Mar 04, 2020","2,455.45","2,397.50","2,471.80","2,322.10","-","2.42%"
"Mar 03, 2020","2,397.40","2,448.45","2,465.50","2,357.20","-","-2.08%"
"Mar 02, 2020","2,448.45","2,437.95","2,576.90","2,391.50","-","0.43%"
"Mar 01, 2020","2,438.00","2,504.65","2,508.50","2,432.30","-","-2.48%"
"Feb 28, 2020","2,500.00","2,781.20","2,781.20","2,387.30","-","-10.11%"
"Feb 27, 2020","2,781.20","2,706.90","2,789.10","2,640.00","-","2.86%"
"Feb 26, 2020","2,704.00","2,597.80","2,713.00","2,582.60","-","4.09%"
"Feb 25, 2020","2,597.80","2,529.70","2,619.70","2,525.75","-","2.69%"
"Feb 24, 2020","2,529.70","2,613.80","2,622.10","2,485.90","-","-3.22%"
"Feb 21, 2020","2,614.00","2,620.00","2,634.00","2,576.95","-","-0.03%"
"Feb 20, 2020","2,614.90","2,659.70","2,674.20","2,545.70","-","-1.68%"
"Feb 19, 2020","2,659.55","2,539.65","2,755.90","2,539.40","-","4.70%"
"Feb 18, 2020","2,540.15","2,424.65","2,550.00","2,414.50","-","4.76%"
"Feb 17, 2020","2,424.65","2,336.40","2,434.95","2,334.15","-","3.78%"
"Feb 16, 2020","2,336.40","2,336.00","2,344.15","2,327.40","-","0.05%"
"Feb 14, 2020","2,335.20","2,342.20","2,370.85","2,311.75","-","-0.30%"
"Feb 13, 2020","2,342.20","2,312.30","2,356.00","2,302.70","-","1.29%"
"Feb 12, 2020","2,312.30","2,267.50","2,329.60","2,241.00","-","1.98%"
"Feb 11, 2020","2,267.50","2,265.00","2,272.10","2,215.00","-","0.11%"
"Feb 10, 2020","2,265.00","2,216.00","2,278.70","2,215.40","-","2.21%"
"Feb 09, 2020","2,216.00","2,202.95","2,231.50","2,202.95","-","0.15%"
"Feb 07, 2020","2,212.70","2,237.05","2,243.70","2,171.30","-","-1.09%"
"Feb 06, 2020","2,237.05","2,336.80","2,366.20","2,215.90","-","-4.27%"
"Feb 05, 2020","2,336.80","2,338.05","2,400.00","2,318.10","-","-0.13%"
"Feb 04, 2020","2,339.80","2,234.10","2,345.55","2,227.10","-","4.73%"
"Feb 03, 2020","2,234.10","2,214.10","2,244.70","2,190.50","-","0.97%"
"Feb 02, 2020","2,212.60","2,222.70","2,222.70","2,202.30","-","-0.21%"
"Jan 31, 2020","2,217.35","2,240.10","2,257.00","2,215.40","-","-1.03%"
"Jan 30, 2020","2,240.35","2,227.00","2,254.40","2,179.00","-","0.60%"
"Jan 29, 2020","2,227.00","2,180.45","2,233.80","2,174.00","-","2.15%"
"Jan 28, 2020","2,180.10","2,193.55","2,240.00","2,151.55","-","-0.61%"
"Jan 27, 2020","2,193.50","2,276.80","2,297.70","2,161.30","-","-3.58%"
"Jan 26, 2020","2,275.00","2,318.10","2,324.95","2,254.25","-","-2.02%"
"Jan 24, 2020","2,322.00","2,365.30","2,394.00","2,287.80","-","-1.83%"
"Jan 23, 2020","2,365.25","2,391.45","2,427.55","2,299.30","-","-1.08%"
"Jan 22, 2020","2,391.00","2,225.50","2,391.20","2,217.15","-","7.41%"
"Jan 21, 2020","2,226.10","2,271.30","2,292.80","2,204.35","-","-1.99%"
"Jan 20, 2020","2,271.25","2,246.00","2,312.00","2,239.80","-","1.12%"
"Jan 19, 2020","2,246.00","2,232.55","2,257.70","2,232.55","-","-0.20%"
"Jan 17, 2020","2,250.40","2,211.00","2,298.35","2,204.20","-","1.78%"
"Jan 16, 2020","2,211.05","2,187.10","2,244.60","2,163.90","-","1.13%"
"Jan 15, 2020","2,186.45","2,131.20","2,187.70","2,116.40","-","2.61%"
"Jan 14, 2020","2,130.85","2,085.80","2,141.55","2,074.75","-","2.15%"
"Jan 13, 2020","2,085.95","2,071.70","2,097.80","2,063.55","-","0.70%"
"Jan 12, 2020","2,071.50","2,074.70","2,080.10","2,066.75","-","-0.10%"
"Jan 10, 2020","2,073.60","2,076.70","2,090.95","2,057.80","-","-0.20%"
"Jan 09, 2020","2,077.85","2,064.55","2,112.95","2,016.95","-","0.62%"
"Jan 08, 2020","2,065.05","2,011.50","2,068.20","1,990.50","-","2.61%"
"Jan 07, 2020","2,012.55","1,997.60","2,024.40","1,981.30","-","0.75%"
"Jan 06, 2020","1,997.60","1,971.15","1,998.90","1,969.80","-","1.34%"
"Jan 05, 2020","1,971.10","1,953.70","1,983.30","1,953.70","-","0.70%"
"Jan 03, 2020","1,957.40","1,931.60","1,957.80","1,927.30","-","1.35%"
"Jan 02, 2020","1,931.30","1,914.50","1,934.70","1,908.25","-","0.88%"
"Jan 01, 2020","1,914.50","1,911.15","1,914.80","1,910.95","-","0.13%"
"Dec 31, 2019","1,912.10","1,879.10","1,913.80","1,876.30","-","1.78%"
"Dec 30, 2019","1,878.70","1,877.50","1,885.20","1,872.30","-","0.06%"
"Dec 29, 2019","1,877.50","1,875.70","1,880.50","1,875.70","-","0.13%"
"Dec 27, 2019","1,875.10","1,869.50","1,882.20","1,860.10","-","0.30%"
"Dec 26, 2019","1,869.45","1,850.95","1,870.60","1,847.45","-","1.00%"
"Dec 25, 2019","1,851.00","1,853.40","1,853.40","1,849.85","-","0.10%"
"Dec 24, 2019","1,849.10","1,834.75","1,863.30","1,829.75","-","0.74%"
"Dec 23, 2019","1,835.45","1,803.90","1,855.45","1,800.15","-","1.75%"
"Dec 22, 2019","1,803.90","1,826.25","1,826.25","1,785.30","-","-1.01%"
"Dec 20, 2019","1,822.30","1,908.55","1,918.60","1,801.85","-","-4.52%"
"Dec 19, 2019","1,908.50","1,894.90","1,911.85","1,887.65","-","0.71%"
"Dec 18, 2019","1,895.10","1,910.90","1,928.05","1,890.20","-","-0.82%"
"Dec 17, 2019","1,910.85","1,956.15","1,974.50","1,905.30","-","-2.31%"
"Dec 16, 2019","1,956.10","1,917.15","1,968.25","1,913.10","-","2.03%"
"Dec 15, 2019","1,917.20","1,904.30","1,918.00","1,904.30","-","0.48%"
"Dec 13, 2019","1,908.10","1,930.60","1,958.30","1,886.90","-","-1.16%"
"Dec 12, 2019","1,930.40","1,887.75","1,945.00","1,884.15","-","2.25%"
"Dec 11, 2019","1,887.85","1,867.15","1,891.95","1,866.80","-","1.12%"
"Dec 10, 2019","1,867.00","1,854.35","1,874.80","1,851.80","-","0.68%"
"Dec 09, 2019","1,854.30","1,848.50","1,868.60","1,844.90","-","0.25%"
"Dec 08, 2019","1,849.60","1,851.30","1,851.50","1,848.20","-","-0.13%"
"Dec 06, 2019","1,852.10","1,843.00","1,853.15","1,835.40","-","0.46%"
"Dec 05, 2019","1,843.55","1,844.20","1,848.35","1,820.40","-","-0.04%"
"Dec 04, 2019","1,844.35","1,828.20","1,846.20","1,823.10","-","0.89%"
"Dec 03, 2019","1,828.10","1,824.40","1,834.80","1,815.30","-","0.20%"
"Dec 02, 2019","1,824.40","1,811.85","1,835.20","1,808.85","-","0.75%"
