Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,17.847,17.49,18.03,17.47,-,1.94%
18-Jun-20,17.508,17.705,17.92,17.4,47.76K,-1.50%
17-Jun-20,17.775,17.63,17.815,17.515,43.10K,0.70%
16-Jun-20,17.652,17.52,17.79,17.465,65.04K,1.45%
15-Jun-20,17.399,17.56,17.63,17.015,75.74K,-1.06%
14-Jun-20,17.585,17.562,17.617,17.51,-,0.59%
12-Jun-20,17.482,17.755,17.87,17.47,60.63K,-2.28%
11-Jun-20,17.889,18.335,18.39,17.6,90.45K,0.52%
10-Jun-20,17.796,17.74,18.405,17.685,88.22K,0.01%
9-Jun-20,17.794,17.945,17.99,17.685,54.90K,-0.55%
8-Jun-20,17.893,17.545,17.98,17.495,61.18K,1.77%
7-Jun-20,17.582,17.575,17.595,17.512,-,0.59%
5-Jun-20,17.479,18.02,18.05,17.375,87.12K,-3.22%
4-Jun-20,18.061,17.965,18.13,17.785,56.56K,0.57%
3-Jun-20,17.958,18.395,18.405,17.675,72.24K,-1.65%
2-Jun-20,18.26,18.85,18.9,18.115,78.44K,-3.01%
1-Jun-20,18.827,18.635,18.95,18.455,62.65K,0.77%
31-May-20,18.683,18.47,18.755,18.47,-,0.99%
29-May-20,18.499,17.92,18.55,17.81,64.04K,2.96%
28-May-20,17.967,17.8,18.11,17.685,61.04K,1.18%
27-May-20,17.757,17.56,17.86,17.225,65.07K,0.92%
26-May-20,17.595,17.63,18.04,17.37,77.62K,-0.27%
25-May-20,17.642,17.637,17.685,17.37,-,-0.02%
24-May-20,17.645,17.675,17.703,17.617,-,-0.27%
22-May-20,17.693,17.435,17.77,17.19,51.24K,1.89%
21-May-20,17.364,18.055,18.06,17.26,74.68K,-3.70%
20-May-20,18.031,17.875,18.165,17.755,62.49K,0.73%
19-May-20,17.901,17.37,18.01,17.34,66.69K,2.48%
18-May-20,17.468,17.225,17.985,17.125,91.02K,0.74%
17-May-20,17.34,17.11,17.4,17.11,-,1.58%
15-May-20,17.07,16.185,17.15,16.155,80.68K,5.66%
14-May-20,16.156,15.755,16.225,15.66,52.22K,3.09%
13-May-20,15.671,15.625,15.91,15.545,42.56K,-0.24%
12-May-20,15.709,15.7,15.88,15.525,35.61K,0.18%
11-May-20,15.68,15.755,15.92,15.51,37.38K,-1.10%
10-May-20,15.855,15.79,15.87,15.75,-,0.49%
8-May-20,15.778,15.625,15.98,15.505,58.81K,1.21%
7-May-20,15.59,14.92,15.695,14.92,49.27K,3.83%
6-May-20,15.015,15.115,15.39,14.84,38.73K,-0.63%
5-May-20,15.11,14.845,15.2,14.76,32.04K,2.12%
4-May-20,14.796,15.075,15.225,14.76,37.06K,-1.16%
3-May-20,14.97,15.01,15.12,14.805,-,0.21%
1-May-20,14.938,15.075,15.15,14.82,32.19K,-0.23%
30-Apr-20,14.973,15.53,15.94,14.85,66.67K,-2.23%
29-Apr-20,15.315,15.33,15.605,15.235,42.10K,-0.08%
28-Apr-20,15.328,15.435,15.505,15.085,31.34K,-0.08%
27-Apr-20,15.341,15.49,15.635,15.3,19.48K,-0.16%
26-Apr-20,15.365,15.35,15.39,15.29,-,-0.52%
24-Apr-20,15.445,15.535,15.73,15.275,18.75K,-0.52%
23-Apr-20,15.526,15.45,15.885,15.355,17.54K,0.15%
22-Apr-20,15.503,15.075,15.535,14.895,15.04K,3.42%
21-Apr-20,14.991,15.675,15.71,14.715,18.39K,-4.82%
20-Apr-20,15.75,15.425,15.805,15.325,10.76K,3.31%
19-Apr-20,15.245,15.29,15.355,15.235,-,-1.29%
17-Apr-20,15.445,15.89,15.945,15.335,9.21K,-2.04%
16-Apr-20,15.766,15.79,16.045,15.585,9.44K,0.72%
15-Apr-20,15.654,16.25,16.255,15.625,10.53K,-4.20%
14-Apr-20,16.341,15.835,16.505,15.835,19.45K,3.84%
13-Apr-20,15.737,16.025,16.1,15.54,13.58K,-0.18%
12-Apr-20,15.765,15.865,15.973,15.732,-,-0.94%
10-Apr-20,15.915,15.915,15.915,15.915,-,-2.01%
9-Apr-20,16.242,15.255,16.3,15.245,20.02K,6.38%
8-Apr-20,15.268,15.34,15.48,15.18,12.74K,-1.70%
7-Apr-20,15.532,15.325,15.95,15.275,18.28K,2.13%
6-Apr-20,15.208,14.59,15.43,14.4,8.27K,4.67%
5-Apr-20,14.53,14.5,14.57,14.357,-,0.05%
3-Apr-20,14.523,14.655,14.765,14.465,4.38K,-1.11%
2-Apr-20,14.686,14.14,14.745,14.03,5.22K,4.72%
1-Apr-20,14.024,14.165,14.29,13.935,5.53K,-1.18%
31-Mar-20,14.191,14.255,14.5,14.09,7.65K,0.08%
30-Mar-20,14.179,14.73,14.745,13.995,6.31K,-2.57%
29-Mar-20,14.553,14.565,14.71,14.473,-,-0.21%
27-Mar-20,14.583,14.63,14.8,14.365,6.94K,-0.69%
26-Mar-20,14.685,14.765,14.975,14.395,4.26K,-1.14%
25-Mar-20,14.855,14.45,14.905,14.235,7.29K,4.15%
24-Mar-20,14.263,13.35,14.415,13.315,10.46K,7.14%
23-Mar-20,13.312,12.665,13.365,12.345,6.22K,7.05%
22-Mar-20,12.435,12.643,12.662,12.29,-,0.08%
20-Mar-20,12.425,12.11,13.14,12.09,7.17K,2.06%
19-Mar-20,12.174,12.025,12.355,11.83,4.23K,3.13%
18-Mar-20,11.805,12.735,12.895,11.68,8.80K,-5.76%
17-Mar-20,12.527,12.91,13.25,12.15,12.41K,-2.48%
16-Mar-20,12.845,15.11,15.15,11.8,12.13K,-13.09%
15-Mar-20,14.78,14.655,15.245,14.655,-,1.69%
13-Mar-20,14.534,15.83,15.89,14.46,7.26K,-9.39%
12-Mar-20,16.041,16.78,16.925,15.535,6.01K,-4.62%
11-Mar-20,16.818,16.945,17.145,16.71,3.50K,-1.06%
10-Mar-20,16.998,17.015,17.245,16.84,4.98K,-0.56%
9-Mar-20,17.094,17.505,17.625,16.595,10.09K,-2.28%
8-Mar-20,17.492,17.343,17.6,17.343,-,1.02%
6-Mar-20,17.315,17.545,17.61,17.07,5.58K,-0.76%
5-Mar-20,17.447,17.265,17.515,17.2,3.00K,0.82%
4-Mar-20,17.305,17.295,17.385,17.14,4.81K,0.32%
3-Mar-20,17.25,16.87,17.535,16.815,5.60K,2.65%
2-Mar-20,16.804,16.555,17.105,16.545,3.50K,1.44%
1-Mar-20,16.565,16.625,16.71,16.445,-,0.24%
28-Feb-20,16.525,17.84,17.96,16.47,11.37K,-7.22%
27-Feb-20,17.811,18.015,18.23,17.725,4.56K,-0.99%
26-Feb-20,17.99,18.115,18.315,17.91,3.71K,-1.94%
25-Feb-20,18.345,18.71,18.76,17.98,14.01K,-3.61%
24-Feb-20,19.033,18.8,19.075,18.69,5.31K,2.06%
23-Feb-20,18.648,18.457,18.793,18.457,-,-0.20%
21-Feb-20,18.686,18.55,18.765,18.505,1.87K,1.13%
20-Feb-20,18.477,18.56,18.565,18.38,4.22K,0.05%
19-Feb-20,18.468,18.305,18.555,18.295,1.98K,0.88%
18-Feb-20,18.306,17.865,18.355,17.865,3.16K,2.91%
17-Feb-20,17.788,17.712,17.863,17.703,-,0.40%
16-Feb-20,17.718,17.773,17.785,17.67,-,-0.94%
14-Feb-20,17.887,17.775,17.93,17.775,1.38K,0.63%
13-Feb-20,17.775,17.68,17.86,17.68,2.00K,0.70%
12-Feb-20,17.652,17.765,17.79,17.6,1.84K,-0.56%
11-Feb-20,17.751,17.92,17.945,17.705,2.71K,-1.07%
10-Feb-20,17.943,17.855,17.975,17.825,2.27K,1.22%
9-Feb-20,17.727,17.683,17.762,17.67,-,-0.68%
7-Feb-20,17.848,17.975,18.005,17.795,2.85K,-0.70%
6-Feb-20,17.974,17.805,18.025,17.795,1.01K,1.22%
5-Feb-20,17.758,17.695,17.855,17.625,0.82K,0.24%
4-Feb-20,17.716,17.825,17.89,17.67,0.81K,-0.62%
3-Feb-20,17.826,18.225,18.225,17.765,0.90K,-1.33%
2-Feb-20,18.067,18.115,18.117,18.02,-,-0.54%
31-Jan-20,18.165,17.97,18.23,17.92,1.05K,0.10%
30-Jan-20,18.147,17.75,18.17,17.725,1.01K,2.85%
29-Jan-20,17.644,17.605,17.715,17.545,0.69K,0.16%
28-Jan-20,17.615,18.26,18.26,17.6,0.79K,-3.29%
27-Jan-20,18.215,18.44,18.48,18.21,0.65K,-0.02%
26-Jan-20,18.218,18.115,18.37,18.115,-,-0.30%
24-Jan-20,18.272,17.955,18.295,17.925,1.03K,1.58%
23-Jan-20,17.988,18,18.01,17.8,0.40K,-0.01%
22-Jan-20,17.989,17.99,18.07,17.94,1.50K,0.11%
21-Jan-20,17.97,18.22,18.3,17.785,0.81K,-0.57%
20-Jan-20,18.073,18.045,18.133,18.003,-,0.17%
19-Jan-20,18.043,18.032,18.06,18.027,-,-1.06%
17-Jan-20,18.236,18.135,18.325,18.095,0.59K,0.74%
16-Jan-20,18.102,18.165,18.2,18.04,0.22K,-0.26%
15-Jan-20,18.15,18,18.19,17.925,1.01K,1.36%
14-Jan-20,17.906,18.115,18.115,17.855,2.36K,-1.42%
13-Jan-20,18.164,18.235,18.235,18.11,1.72K,0.48%
12-Jan-20,18.078,18.135,18.15,18.052,-,-1.07%
10-Jan-20,18.273,18.09,18.33,18.05,2.86K,0.93%
9-Jan-20,18.105,18.37,18.375,17.99,2.27K,-1.26%
8-Jan-20,18.336,18.695,18.98,18.28,2.27K,-1.22%
7-Jan-20,18.562,18.325,18.615,18.21,1.85K,1.18%
6-Jan-20,18.346,18.35,18.695,18.225,4.18K,0.74%
5-Jan-20,18.212,18.098,18.343,18.098,-,-0.58%
3-Jan-20,18.319,18.275,18.455,18.22,1.42K,0.58%
2-Jan-20,18.213,18.085,18.27,18,0.73K,1.53%
1-Jan-20,17.938,17.913,18,17.913,-,-0.83%
31-Dec-19,18.089,18.2,18.335,18.065,0.77K,-0.44%
30-Dec-19,18.169,18.09,18.175,18.015,0.27K,1.63%
29-Dec-19,17.878,17.835,17.887,17.835,-,-1.28%
27-Dec-19,18.11,18.145,18.185,17.985,0.45K,-0.25%
26-Dec-19,18.156,18.185,18.3,18.02,0.92K,1.82%
25-Dec-19,17.832,17.85,17.863,17.808,-,-1.04%
24-Dec-19,18.02,17.62,18.02,17.61,1.32K,2.00%
23-Dec-19,17.666,17.415,17.675,17.415,0.78K,2.43%
22-Dec-19,17.247,17.262,17.262,17.238,-,-0.82%
20-Dec-19,17.39,17.275,17.475,17.275,0.22K,0.40%
19-Dec-19,17.32,17.22,17.32,17.14,0.14K,0.61%
18-Dec-19,17.215,17.22,17.265,17.11,0.44K,-0.14%
17-Dec-19,17.239,17.255,17.295,17.21,0.24K,-0.24%
16-Dec-19,17.28,17.205,17.275,17.205,0.34K,1.75%
15-Dec-19,16.983,17,17.027,16.98,-,-1.14%
13-Dec-19,17.179,17.145,17.21,17.075,0.58K,0.35%
12-Dec-19,17.119,17.1,17.335,17,0.25K,0.59%
11-Dec-19,17.018,16.885,17.165,16.86,0.71K,0.86%
10-Dec-19,16.873,16.835,16.925,16.835,0.83K,0.36%
9-Dec-19,16.812,16.745,16.89,16.745,0.54K,1.05%
8-Dec-19,16.637,16.602,16.637,16.598,-,-0.75%
6-Dec-19,16.763,17.175,17.27,16.745,1.16K,-2.69%
5-Dec-19,17.227,17.115,17.24,17.07,0.97K,0.81%
4-Dec-19,17.088,17.4,17.565,17.05,0.48K,-1.92%
3-Dec-19,17.422,17.16,17.445,17.16,0.52K,1.64%
2-Dec-19,17.141,17.115,17.225,17.1,0.38K,0.46%
1-Dec-19,17.062,17.098,17.102,17.052,-,-1.27%
29-Nov-19,17.281,17.255,17.28,17.125,0.49K,1.46%
28-Nov-19,17.032,17.08,17.102,17.003,-,-1.16%
