Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,"3,161.26","3,108.25","3,196.00","3,106.75",-,1.68%
18-Jun-20,"3,109.00","3,115.00","3,130.50","3,075.25",373.72K,-0.29%
17-Jun-20,"3,118.00","3,122.00","3,157.75","3,105.00",610.88K,-0.34%
16-Jun-20,"3,128.75","3,076.25","3,167.75","3,071.25",1.38M,1.81%
15-Jun-20,"3,073.00","2,992.75","3,079.25","2,935.00",1.95M,1.26%
12-Jun-20,"3,034.75","3,011.75","3,087.75","2,982.00",2.87M,0.81%
11-Jun-20,"3,010.25","3,183.75","3,188.50","2,996.25",3.53M,-5.52%
10-Jun-20,"3,186.00","3,204.75","3,227.25","3,179.75",2.00M,-0.61%
9-Jun-20,"3,205.50","3,227.75","3,231.00","3,190.00",1.70M,-0.68%
8-Jun-20,"3,227.50","3,192.50","3,231.25","3,183.25",1.60M,1.28%
5-Jun-20,"3,186.75","3,113.25","3,210.50","3,106.50",2.44M,2.45%
4-Jun-20,"3,110.50","3,117.75","3,126.75","3,087.50",1.83M,-0.23%
3-Jun-20,"3,117.75","3,078.00","3,129.50","3,074.25",1.62M,1.32%
2-Jun-20,"3,077.00","3,052.75","3,079.00","3,035.00",1.46M,0.75%
1-Jun-20,"3,054.00","3,029.75","3,059.00","3,008.00",1.28M,0.39%
29-May-20,"3,042.00","3,036.00","3,058.25","2,992.00",2.26M,0.13%
28-May-20,"3,038.00","3,035.00","3,065.50","3,019.50",1.88M,0.08%
27-May-20,"3,035.50","2,994.00","3,039.50","2,965.50",2.11M,1.37%
26-May-20,"2,994.50","2,948.50","3,019.75","2,947.50",1.80M,0.42%
25-May-20,"2,982.12","2,967.38","2,989.88","2,954.38",-,0.51%
24-May-20,"2,967.12","2,947.88","2,968.62","2,947.88",-,0.48%
22-May-20,"2,953.00","2,936.75","2,957.50","2,903.75",1.38M,0.54%
21-May-20,"2,937.00","2,972.25","2,973.50","2,933.00",1.61M,-1.06%
20-May-20,"2,968.50","2,913.50","2,975.75","2,908.50",1.53M,1.70%
