caldt,vwretd,vwretx,ewretd,ewretx,totval,spindx,sprtrn
19251231,,,,,15236829.50,,
19260102,0.004297,0.004297,0.002941,0.002941,15319686.50,,
19260104,-0.001357,-0.001357,0.001036,0.001036,15298901.20,,
19260105,-0.004603,-0.004653,-0.005856,-0.006063,15227711.50,,
19260106,0.000537,0.000537,0.000888,0.000888,15235889.20,,
19260107,0.003907,0.003907,0.004258,0.004258,15295415.10,,
19260108,-0.002693,-0.003221,-0.003866,-0.004697,15246145.80,,
19260109,0.002218,0.002218,0.002139,0.002139,15090059.60,,
19260111,-0.006515,-0.006608,-0.004707,-0.004852,15179515.60,,
19260112,-0.001597,-0.001597,-0.003337,-0.003337,15155273.80,,
19260113,0.003465,0.003465,0.006940,0.006940,15207784.90,,
19260114,-0.005732,-0.005732,-0.004816,-0.004816,15120621.10,,
19260115,-0.012153,-0.012979,-0.013974,-0.014946,14924374.10,,
19260116,-0.000511,-0.000511,0.000968,0.000968,14967051.10,,
19260118,0.004508,0.004508,0.005104,0.005104,14983984.40,,
19260119,-0.011540,-0.011540,-0.011882,-0.011882,14811064.50,,
19260120,0.006186,0.006186,0.006479,0.006479,14902689.80,,
19260121,-0.008730,-0.008789,-0.009092,-0.009218,14861463.00,,
19260122,0.006297,0.006297,0.005857,0.005857,14938221.90,,
19260123,0.004987,0.004987,0.005345,0.005345,14656873.90,,
19260125,0.005291,0.005260,0.007310,0.007101,15090535.00,,
19260126,-0.005960,-0.005960,-0.006531,-0.006531,15000600.10,,
19260127,0.006636,0.006636,0.007110,0.007110,15083144.90,,
19260128,0.003137,0.003137,0.005714,0.005714,15147018.90,,
19260129,0.009238,0.008616,0.008093,0.007391,15277525.90,,
19260130,0.000009,0.000009,0.001389,0.001389,15277664.00,,
19260201,-0.004103,-0.004593,-0.003692,-0.003865,15257380.10,,
19260202,0.006010,0.006010,0.006043,0.006043,15298903.00,,
19260203,0.004727,0.004727,0.003732,0.003732,15371227.00,,
19260204,0.004780,0.004780,0.004917,0.004917,15444695.70,,
19260205,-0.001882,-0.001882,-0.000744,-0.000744,15425004.90,,
19260206,-0.000083,-0.000083,0.000201,0.000201,15423724.80,,
19260208,-0.005627,-0.005919,-0.004877,-0.005032,15332428.50,,
19260209,0.003226,0.003226,0.003973,0.003973,15381888.40,,
19260210,0.003489,0.003001,0.000502,0.000177,15428054.90,,
19260211,0.001654,0.001557,-0.000216,-0.000388,15452080.50,,
19260213,0.000201,0.000201,-0.002346,-0.002346,15455180.90,,
19260215,-0.019985,-0.020015,-0.021348,-0.021458,15145851.00,,
19260216,0.004441,0.004441,0.004775,0.004775,15213115.90,,
19260217,0.006048,0.006048,0.005054,0.005054,15305130.80,,
19260218,0.001275,0.001258,0.001229,0.001190,15324389.90,,
19260219,0.000347,-0.000143,-0.001479,-0.001813,15322204.60,,
19260220,-0.001093,-0.001093,-0.001656,-0.001656,15305459.00,,
19260223,-0.009545,-0.010135,-0.011053,-0.011224,15155495.90,,
19260224,-0.004227,-0.004227,-0.002297,-0.002297,15091426.10,,
19260225,-0.012444,-0.012787,-0.012978,-0.013049,14898459.00,,
19260226,-0.012005,-0.013788,-0.012488,-0.013419,14693045.20,,
19260227,0.001351,0.001351,0.003932,0.003932,14712894.90,,
19260301,-0.015197,-0.015683,-0.015585,-0.015987,14525876.50,,
19260302,-0.024114,-0.024114,-0.032163,-0.032163,14352319.40,,
19260303,-0.016808,-0.017186,-0.016346,-0.016760,14105655.60,,
19260304,0.042271,0.042271,0.049159,0.049159,14701937.10,,
19260305,0.003787,0.003059,0.007290,0.006677,14746916.00,,
