Date,Price,Open,High,Low,Vol.,Change %
"Jun 19, 2020",97.62,97.42,97.72,97.16,-,0.21%
"Jun 18, 2020",97.42,97.08,97.58,96.95,-,0.27%
"Jun 17, 2020",97.16,97.01,97.34,96.8,-,0.21%
"Jun 16, 2020",96.96,96.56,97.25,96.43,-,0.26%
"Jun 15, 2020",96.71,97.09,97.39,96.6,-,-0.63%
"Jun 12, 2020",97.32,96.81,97.45,96.49,-,0.61%
"Jun 11, 2020",96.73,96.09,96.83,95.95,-,0.81%
"Jun 10, 2020",95.96,96.43,96.46,95.72,-,-0.38%
"Jun 09, 2020",96.32,96.63,97.06,96.23,-,-0.30%
"Jun 08, 2020",96.62,96.84,97.07,96.6,-,-0.33%
"Jun 05, 2020",96.94,96.74,97.03,96.44,-,0.27%
"Jun 04, 2020",96.68,97.32,97.63,96.57,-,-0.62%
"Jun 03, 2020",97.28,97.57,97.63,97.18,-,-0.41%
"Jun 02, 2020",97.67,97.84,97.91,97.43,-,-0.16%
"Jun 01, 2020",97.83,98.3,98.32,97.79,-,-0.52%
"May 29, 2020",98.34,98.51,98.55,97.94,-,-0.04%
"May 28, 2020",98.38,98.91,99.09,98.35,-,-0.69%
"May 27, 2020",99.06,99.02,99.34,98.72,-,0.16%
"May 26, 2020",98.91,99.76,99.77,98.9,-,-0.96%
"May 25, 2020",99.86,99.79,99.97,99.69,-,0.00%
"May 22, 2020",99.86,99.42,99.87,99.39,-,0.50%
"May 21, 2020",99.37,99.18,99.51,99.02,-,0.25%
"May 20, 2020",99.12,99.55,99.56,99,-,-0.25%
"May 19, 2020",99.37,99.62,99.73,99.23,-,-0.29%
"May 18, 2020",99.67,100.36,100.47,99.58,-,-0.73%
"May 15, 2020",100.4,100.26,100.49,100.08,-,-0.06%
"May 14, 2020",100.47,100.19,100.56,100.15,-,0.22%
"May 13, 2020",100.24,100.01,100.28,99.58,-,0.31%
"May 12, 2020",99.93,100.23,100.44,99.66,-,-0.30%
