Date,Price,Open,High,Low,Vol.,Change %
19-Jun-20,35.12,32.07,35.12,30.4,-,6.62%
18-Jun-20,32.94,33.83,36.25,32.24,-,-1.58%
17-Jun-20,33.47,33.28,35.17,32.25,-,-0.59%
16-Jun-20,33.67,34.28,37.45,31.73,-,-2.12%
15-Jun-20,34.4,44.09,44.44,34.28,-,-4.68%
12-Jun-20,36.09,37.68,44.16,34.97,-,-11.52%
11-Jun-20,40.79,30.45,42.58,29.49,-,47.95%
10-Jun-20,27.57,26.73,29.01,26.06,-,0.00%
9-Jun-20,27.57,25.93,27.7,25.71,-,6.82%
8-Jun-20,25.81,25.56,25.98,24.65,-,5.26%
5-Jun-20,24.52,24.79,25.09,23.54,-,-5.00%
4-Jun-20,25.81,26.23,26.43,24.38,-,0.58%
3-Jun-20,25.66,26.75,26.98,25.04,-,-4.40%
2-Jun-20,26.84,28.4,28.52,26.66,-,-4.92%
1-Jun-20,28.23,28.94,30.6,28.11,-,2.62%
29-May-20,27.51,29.3,30.16,27.29,-,-3.78%
28-May-20,28.59,27.82,29.89,27.43,-,3.51%
27-May-20,27.62,27.62,30.53,25.92,-,-1.39%
26-May-20,28.01,27.72,28.58,27.18,-,-0.53%
22-May-20,28.16,31.36,31.55,28.03,-,-4.64%
21-May-20,29.53,28.97,30.2,27.67,-,5.50%
20-May-20,27.99,29.52,29.83,27.83,-,-8.32%
19-May-20,30.53,28.73,30.74,28.37,-,4.20%
18-May-20,29.3,30.71,31.08,28.35,-,-8.12%
15-May-20,31.89,32.5,35.13,31.04,-,-2.21%
14-May-20,32.61,35.16,39.28,32.33,-,-7.57%
13-May-20,35.28,32.74,37.42,30.77,-,6.78%
12-May-20,33.04,28.47,33.04,26,-,19.84%
11-May-20,27.57,28.46,31.46,26.97,-,-1.47%
8-May-20,27.98,30.14,30.39,27.89,-,-11.01%
7-May-20,31.44,32.12,32.28,30.37,-,-7.85%
6-May-20,34.12,32.69,35.69,31.68,-,1.52%
5-May-20,33.61,34.82,36.22,31.95,-,-6.56%
4-May-20,35.97,39.13,40.32,35.53,-,-3.28%
1-May-20,37.19,38.17,39.57,36.59,-,8.90%
30-Apr-20,34.15,30.99,35.94,30.93,-,9.35%
29-Apr-20,31.23,32.48,33.19,30.71,-,-6.97%
28-Apr-20,33.57,33.21,35.39,30.54,-,0.84%
27-Apr-20,33.29,36.29,36.44,32.51,-,-7.35%
24-Apr-20,35.93,41.91,42.08,35.6,-,-13.17%
23-Apr-20,41.38,41.3,42.47,39.06,-,-1.43%
22-Apr-20,41.98,44.91,45.07,41.41,-,-7.55%
21-Apr-20,45.41,44.28,47.77,43.77,-,3.60%
20-Apr-20,43.83,40.68,43.83,39.88,-,14.89%
17-Apr-20,38.15,39.5,40.26,37.63,-,-4.89%
16-Apr-20,40.11,41.92,43.02,39.87,-,-1.79%
15-Apr-20,40.84,39.4,43.23,39.34,-,8.16%
14-Apr-20,37.76,40.24,40.57,37.31,-,-8.28%
13-Apr-20,41.17,44.6,45.04,41.17,-,-1.20%
9-Apr-20,41.67,43,45.73,41.39,-,-3.88%
8-Apr-20,43.35,45.9,47.28,42.53,-,-7.17%
7-Apr-20,46.7,44.83,47.51,43.51,-,3.23%
6-Apr-20,45.24,44.17,45.73,43.45,-,-3.33%
3-Apr-20,46.8,51.11,52.29,46.74,-,-8.07%
2-Apr-20,50.91,54.46,57.24,50.45,-,-10.78%
1-Apr-20,57.06,57.38,60.59,52.76,-,6.57%
31-Mar-20,53.54,56.69,58.75,50.88,-,-6.20%
30-Mar-20,57.08,66.3,67.69,56.6,-,-12.91%
27-Mar-20,65.54,64.95,69.1,61.8,-,7.44%
26-Mar-20,61,65.67,67.06,57.66,-,-4.61%
25-Mar-20,63.95,61.44,68.86,58.03,-,3.70%
24-Mar-20,61.67,58.76,61.88,36.24,-,0.13%
23-Mar-20,61.59,74.08,76.74,60.46,-,-6.74%
20-Mar-20,66.04,67.86,69.51,57.42,-,-8.28%
19-Mar-20,72,80.62,84.26,68.57,-,-5.82%
18-Mar-20,76.45,69.37,85.47,69.37,-,0.71%
17-Mar-20,75.91,82.69,84.83,70.37,-,-8.20%
16-Mar-20,82.69,57.83,83.56,57.83,-,42.99%
13-Mar-20,57.83,71.31,77.57,55.17,-,-23.37%
12-Mar-20,75.47,61.46,76.83,59.91,-,40.02%
11-Mar-20,53.9,52.24,55.82,49.98,-,13.95%
10-Mar-20,47.3,49.68,55.66,43.56,-,-13.15%
9-Mar-20,54.46,41.94,62.12,41.94,-,29.85%
6-Mar-20,41.94,41.46,54.39,40.84,-,5.86%
5-Mar-20,39.62,33.61,42.84,33.54,-,23.85%
4-Mar-20,31.99,34.44,35.58,30.3,-,-13.12%
3-Mar-20,36.82,33.64,41.06,24.93,-,10.17%
2-Mar-20,33.42,34.86,43.77,31.5,-,-16.68%
28-Feb-20,40.11,42.02,49.48,39.37,-,2.43%
27-Feb-20,39.16,28.95,39.31,27.79,-,42.09%
26-Feb-20,27.56,26.63,29.57,24.76,-,-1.04%
25-Feb-20,27.85,22.19,30.25,22.19,-,11.27%
24-Feb-20,25.03,22.25,26.35,22,-,46.55%
21-Feb-20,17.08,17.33,18.21,16.19,-,9.77%
20-Feb-20,15.56,14.54,17.21,14.49,-,8.21%
19-Feb-20,14.38,14.66,14.74,14.21,-,-3.03%
18-Feb-20,14.83,14.98,15.49,14.53,-,8.41%
14-Feb-20,13.68,14.12,14.54,13.38,-,-3.32%
13-Feb-20,14.15,14.43,15.44,14,-,2.98%
12-Feb-20,13.74,14.86,14.88,13.73,-,-9.49%
11-Feb-20,15.18,14.91,15.27,14.38,-,0.93%
10-Feb-20,15.04,15.88,16.43,15.01,-,-2.78%
7-Feb-20,15.47,15.07,16.16,14.81,-,3.41%
6-Feb-20,14.96,15.13,15.66,14.7,-,-1.25%
5-Feb-20,15.15,16.29,16.32,15.02,-,-5.61%
4-Feb-20,16.05,16.45,16.46,15.63,-,-10.68%
3-Feb-20,17.97,18.64,18.88,17.1,-,-4.62%
31-Jan-20,18.84,16.25,19.99,16.18,-,21.63%
30-Jan-20,15.49,17.82,18.39,15.3,-,-5.49%
29-Jan-20,16.39,15.68,16.65,14.94,-,0.68%
28-Jan-20,16.28,16.94,18.03,15.69,-,-10.70%
27-Jan-20,18.23,17.42,19.02,16.82,-,25.21%
24-Jan-20,14.56,12.75,15.98,12.62,-,12.17%
23-Jan-20,12.98,13.26,14.15,12.94,-,0.54%
22-Jan-20,12.91,12.45,13.01,12.31,-,0.47%
21-Jan-20,12.85,13.23,13.33,12.32,-,6.20%
17-Jan-20,12.1,12.21,12.48,11.75,-,-1.79%
16-Jan-20,12.32,12.2,12.42,11.78,-,-0.81%
15-Jan-20,12.42,12.79,12.83,11.95,-,0.24%
14-Jan-20,12.39,12.72,13.82,12.05,-,0.57%
13-Jan-20,12.32,12.84,13.09,12.32,-,-1.91%
10-Jan-20,12.56,12.42,12.87,12.09,-,0.16%
9-Jan-20,12.54,12.95,13.24,12.53,-,-6.77%
8-Jan-20,13.45,15.16,15.24,12.83,-,-2.47%
7-Jan-20,13.79,13.84,14.46,13.39,-,-0.43%
6-Jan-20,13.85,15.45,16.39,13.54,-,-1.21%
3-Jan-20,14.02,15.01,16.2,13.13,-,12.43%
2-Jan-20,12.47,13.46,13.72,12.42,-,-9.51%
31-Dec-19,13.78,14.84,15.39,13.75,-,-7.02%
30-Dec-19,14.82,13.74,15.14,13.44,-,10.35%
27-Dec-19,13.43,12.61,13.72,11.89,-,6.17%
26-Dec-19,12.65,12.74,12.75,11.72,-,-0.16%
24-Dec-19,12.67,12.65,12.84,12.56,-,0.48%
23-Dec-19,12.61,12.81,12.9,12.41,-,0.80%
20-Dec-19,12.51,12.55,12.61,12.04,-,0.08%
19-Dec-19,12.5,12.55,12.78,12.43,-,-0.64%
18-Dec-19,12.58,12.24,12.7,11.93,-,2.36%
17-Dec-19,12.29,12.23,12.47,11.9,-,1.24%
16-Dec-19,12.14,12.47,12.53,11.71,-,-3.88%
13-Dec-19,12.63,13.18,14.35,12.54,-,-9.40%
12-Dec-19,13.94,14.94,15.55,13.6,-,-7.00%
11-Dec-19,14.99,15.57,15.97,14.98,-,-4.40%
10-Dec-19,15.68,15.8,16.9,14.93,-,-1.13%
9-Dec-19,15.86,14.25,16.07,12.25,-,16.45%
6-Dec-19,13.62,14.37,14.47,13.19,-,-6.20%
5-Dec-19,14.52,14.46,15.37,14.17,-,-1.89%
