Date,Price_Yield2y,Open_Yield2y,High_Yield2y,Low_Yield2y,Change_Yield2y,Price_Yield10y,Open_Yield10y,High_Yield10y,Low_Yield10y,Change_Yield10y,Price_Yield30y,Open_Yield30y,High_Yield30y,Low_Yield30y,Change_Yield30y
1988-02-26,7.159,7.159,7.159,7.159,-0.0047,8.18,8.18,8.18,8.18,-0.004,8.377,8.377,8.377,8.377,-0.0069
1988-02-29,7.125,7.125,7.125,7.125,-0.0047,8.152000000000001,8.152000000000001,8.152000000000001,8.152000000000001,-0.0034000000000000002,8.357999999999999,8.357999999999999,8.357999999999999,8.357999999999999,-0.0023
1988-03-01,7.108,7.108,7.108,7.108,-0.0024,8.152000000000001,8.152000000000001,8.152000000000001,8.152000000000001,0.0,8.352,8.352,8.352,8.352,-0.0007000000000000001
1988-03-02,7.09,7.09,7.09,7.09,-0.0025,8.124,8.124,8.124,8.124,-0.0034000000000000002,8.331,8.331,8.331,8.331,-0.0025
1988-03-03,7.09,7.09,7.09,7.09,0.0,8.124,8.124,8.124,8.124,0.0,8.314,8.314,8.314,8.314,-0.002
1988-03-04,7.21,7.21,7.21,7.21,0.0169,8.283,8.283,8.283,8.283,0.0196,8.482000000000001,8.482000000000001,8.482000000000001,8.482000000000001,0.0202
1988-03-07,7.21,7.21,7.21,7.21,0.0,8.316,8.316,8.316,8.316,0.004,8.502,8.502,8.502,8.502,0.0024
1988-03-08,7.21,7.21,7.21,7.21,0.0,8.335,8.335,8.335,8.335,0.0023,8.547,8.547,8.547,8.547,0.0053
1988-03-09,7.21,7.21,7.21,7.21,0.0,8.311,8.311,8.311,8.311,-0.0029,8.524,8.524,8.524,8.524,-0.0027
1988-03-10,7.244,7.244,7.244,7.244,0.0047,8.349,8.349,8.349,8.349,0.0046,8.558,8.558,8.558,8.558,0.004
1988-03-11,7.192,7.192,7.192,7.192,-0.0072,8.292,8.292,8.292,8.292,-0.0068000000000000005,8.513,8.513,8.513,8.513,-0.0053
1988-03-14,7.192,7.192,7.192,7.192,0.0,8.292,8.292,8.292,8.292,0.0,8.513,8.513,8.513,8.513,0.0
1988-03-15,7.1739999999999995,7.1739999999999995,7.1739999999999995,7.1739999999999995,-0.0025,8.297,8.297,8.297,8.297,0.0006,8.513,8.513,8.513,8.513,0.0
1988-03-16,7.227,7.227,7.227,7.227,0.0074,8.363,8.363,8.363,8.363,0.008,8.592,8.592,8.592,8.592,0.009300000000000001
1988-03-17,7.166,7.166,7.166,7.166,-0.0084,8.297,8.297,8.297,8.297,-0.0079,8.535,8.535,8.535,8.535,-0.006600000000000001
1988-03-18,7.227,7.227,7.227,7.227,0.0085,8.401,8.401,8.401,8.401,0.0125,8.682,8.682,8.682,8.682,0.0172
1988-03-21,7.315,7.315,7.315,7.315,0.0122,8.458,8.458,8.458,8.458,0.0068000000000000005,8.714,8.714,8.714,8.714,0.0037
1988-03-22,7.35,7.35,7.35,7.35,0.0048,8.458,8.458,8.458,8.458,0.0,8.711,8.711,8.711,8.711,-0.0003
1988-03-23,7.403,7.403,7.403,7.403,0.0072,8.463,8.463,8.463,8.463,0.0006,8.725,8.725,8.725,8.725,0.0016
1988-03-24,7.477,7.477,7.477,7.477,0.01,8.502,8.502,8.502,8.502,0.0046,8.731,8.731,8.731,8.731,0.0007000000000000001
1988-03-25,7.358,7.358,7.358,7.358,-0.0159,8.468,8.468,8.468,8.468,-0.004,8.69,8.69,8.69,8.69,-0.0047
1988-03-28,7.46,7.46,7.46,7.46,0.0139,8.56,8.56,8.56,8.56,0.010900000000000002,8.787,8.787,8.787,8.787,0.011200000000000002
1988-03-29,7.426,7.426,7.426,7.426,-0.0046,8.545,8.545,8.545,8.545,-0.0018,8.772,8.772,8.772,8.772,-0.0017000000000000001
1988-03-30,7.409,7.409,7.409,7.409,-0.0023,8.568999999999999,8.568999999999999,8.568999999999999,8.568999999999999,0.0028000000000000004,8.787,8.787,8.787,8.787,0.0017000000000000001
1988-03-31,7.409,7.409,7.409,7.409,0.0,8.568999999999999,8.568999999999999,8.568999999999999,8.568999999999999,0.0,8.787,8.787,8.787,8.787,0.0
1988-04-04,7.581,7.581,7.581,7.581,0.0232,8.667,8.667,8.667,8.667,0.011399999999999999,8.873,8.873,8.873,8.873,0.0098
1988-04-05,7.581,7.581,7.581,7.581,0.0,8.672,8.672,8.672,8.672,0.0006,8.867,8.867,8.867,8.867,-0.0007000000000000001
1988-04-06,7.529,7.529,7.529,7.529,-0.0069,8.599,8.599,8.599,8.599,-0.0084,8.796,8.796,8.796,8.796,-0.008
1988-04-07,7.529,7.529,7.529,7.529,0.0,8.599,8.599,8.599,8.599,0.0,8.783999999999999,8.783999999999999,8.783999999999999,8.783999999999999,-0.0014000000000000002
1988-04-08,7.477,7.477,7.477,7.477,-0.0069,8.512,8.512,8.512,8.512,-0.0101,8.701,8.701,8.701,8.701,-0.0094
1988-04-11,7.5120000000000005,7.5120000000000005,7.5120000000000005,7.5120000000000005,0.0047,8.58,8.58,8.58,8.58,0.008,8.775,8.775,8.775,8.775,0.0085
