Date,Price_Dollar_index,Open_Dollar_index,High_Dollar_index,Low_Dollar_index,Vol._Dollar_index,Change_Dollar_index
1990-01-01,93.21,93.19,93.31,93.08,-,0.0
1990-01-02,94.29,93.13,94.31,93.08,-,0.0116
1990-01-03,94.42,94.15,94.52,94.08,-,0.0014000000000000002
1990-01-04,92.52,93.72,93.88,92.39,-,-0.0201
1990-01-05,92.85,93.34,93.42,92.55,-,0.0036
1990-01-08,92.05,92.52,92.54,91.94,-,-0.0086
1990-01-09,92.35,92.53,92.79,92.31,-,0.0033000000000000004
1990-01-10,92.39,92.2,92.59,91.93,-,0.0004
1990-01-11,92.4,92.64,92.73,92.32,-,0.0001
1990-01-12,92.43,92.36,92.46,91.94,-,0.0003
1990-01-15,92.84,92.37,92.9,92.35,-,0.0044
1990-01-16,92.94,93.41,93.52,92.75,-,0.0011
1990-01-17,92.72,92.95,92.98,92.43,-,-0.0024
1990-01-18,93.74,93.35,93.84,93.1,-,0.011000000000000001
1990-01-19,93.69,93.83,93.96,93.45,-,-0.0005
1990-01-22,94.32,94.0,94.54,93.97,-,0.0067
1990-01-23,93.19,93.63,93.67,93.04,-,-0.012
1990-01-24,93.03,92.56,93.08,92.36,-,-0.0017000000000000001
1990-01-25,92.65,92.76,92.94,92.53,-,-0.0040999999999999995
1990-01-26,92.52,92.65,92.99,92.47,-,-0.0014000000000000002
1990-01-29,92.1,92.0,92.28,91.89,-,-0.0045000000000000005
1990-01-30,92.91,92.19,93.31,91.98,-,0.0088
1990-01-31,92.41,92.38,92.6,92.25,-,-0.0054
1990-02-01,92.16,92.32,92.49,92.13,-,-0.0027
1990-02-02,92.44,92.45,92.75,92.31,-,0.003
1990-02-05,91.54,92.09,92.09,91.45,-,-0.0097
1990-02-06,91.55,91.27,91.64,91.26,-,0.0001
1990-02-07,91.75,91.3,91.83,91.28,-,0.0022
1990-02-08,91.98,91.92,92.22,91.89,-,0.0025
1990-02-09,91.98,92.06,92.31,91.96,-,0.0
1990-02-12,92.11,92.11,92.24,91.88,-,0.0014000000000000002
1990-02-13,92.3,92.58,92.7,92.17,-,0.0021
1990-02-14,92.13,92.09,92.21,91.95,-,-0.0018
1990-02-15,92.79,92.24,92.86,92.23,-,0.0072
1990-02-16,92.18,92.81,93.11,92.05,-,-0.006600000000000001
1990-02-19,92.18,92.81,93.11,92.05,-,0.0
1990-02-20,91.82,92.01,92.24,91.8,-,-0.0039000000000000003
1990-02-21,91.8,91.72,91.92,91.56,-,-0.0002
1990-02-22,91.98,91.87,92.02,91.62,-,0.002
1990-02-23,92.16,92.17,92.25,91.98,-,0.002
1990-02-26,92.97,92.65,92.97,92.58,-,0.0088
1990-02-27,92.71,92.86,92.86,92.58,-,-0.0028000000000000004
1990-02-28,93.29,92.84,93.45,92.79,-,0.0063
1990-03-01,94.0,93.67,94.12,93.54,-,0.0076
1990-03-02,94.01,93.86,94.33,93.64,-,0.0001
1990-03-05,93.27,93.37,93.79,93.23,-,-0.0079
1990-03-06,93.56,93.28,93.66,93.26,-,0.0031
1990-03-07,93.64,93.76,93.96,93.58,-,0.0009
1990-03-08,93.53,93.58,93.66,93.43,-,-0.0012
1990-03-09,93.87,93.77,93.96,93.66,-,0.0036
1990-03-12,94.39,94.17,94.49,94.02,-,0.0055000000000000005
1990-03-13,94.3,94.59,94.72,94.16,-,-0.001
1990-03-14,94.25,94.35,94.47,94.14,-,-0.0005
1990-03-15,93.78,94.37,94.41,93.71,-,-0.005
1990-03-16,93.8,93.83,93.83,93.48,-,0.0002
1990-03-19,93.49,93.45,93.59,93.28,-,-0.0033000000000000004
1990-03-20,94.29,93.48,94.38,93.43,-,0.0086
1990-03-21,94.41,94.35,94.57,94.25,-,0.0013000000000000002
1990-03-22,94.17,94.63,94.65,94.07,-,-0.0025
1990-03-23,94.37,94.27,94.44,93.97,-,0.0021
1990-03-26,94.28,94.47,94.62,94.13,-,-0.001
1990-03-27,94.41,94.52,94.64,94.33,-,0.0014000000000000002
1990-03-28,94.47,94.56,94.6,94.31,-,0.0006
1990-03-29,93.73,94.0,94.04,93.57,-,-0.0078000000000000005
1990-03-30,93.69,93.86,93.95,93.39,-,-0.0004
1990-04-02,94.06,94.28,94.32,94.01,-,0.0039000000000000003
1990-04-03,94.01,94.09,94.12,93.93,-,-0.0005
1990-04-04,93.98,93.9,94.01,93.8,-,-0.0003
1990-04-05,93.86,93.88,93.93,93.82,-,-0.0013000000000000002
1990-04-06,93.72,93.72,93.83,93.59,-,-0.0015
1990-04-09,93.68,93.49,93.73,93.35,-,-0.0004
1990-04-10,93.0,93.65,93.7,93.0,-,-0.0073
1990-04-11,92.93,93.06,93.1,92.83,-,-0.0008
1990-04-12,92.87,93.08,93.09,92.87,-,-0.0006
1990-04-13,92.87,93.08,93.09,92.87,-,0.0
1990-04-16,93.34,93.17,93.49,93.17,-,0.0051
1990-04-17,93.28,93.53,93.59,93.28,-,-0.0006
1990-04-18,92.86,93.39,93.41,92.86,-,-0.0045000000000000005
1990-04-19,92.99,92.79,93.17,92.71,-,0.0014000000000000002
1990-04-20,93.29,93.17,93.56,93.06,-,0.0032
1990-04-23,93.77,93.7,93.83,93.64,-,0.0051
1990-04-24,93.78,93.8,93.87,93.61,-,0.0001
1990-04-25,93.09,93.74,93.74,92.99,-,-0.0074
1990-04-26,93.2,92.98,93.25,92.95,-,0.0012
1990-04-27,93.02,93.21,93.44,92.92,-,-0.0019
1990-04-30,93.07,93.21,93.31,93.02,-,0.0005
1990-05-01,93.09,93.23,93.3,93.03,-,0.0002
1990-05-02,93.24,93.27,93.28,93.09,-,0.0016
1990-05-03,93.13,93.11,93.2,93.02,-,-0.0012
1990-05-04,92.37,93.06,93.12,92.35,-,-0.008199999999999999
1990-05-07,92.01,92.18,92.21,91.89,-,-0.0039000000000000003
1990-05-08,91.99,91.99,92.18,91.93,-,-0.0002
1990-05-09,91.15,91.41,91.52,91.04,-,-0.0091
1990-05-10,91.21,91.38,91.53,91.02,-,0.0007000000000000001
1990-05-11,91.12,91.08,91.2,90.66,-,-0.001
1990-05-14,91.1,91.17,91.29,91.07,-,-0.0002
1990-05-15,91.09,91.06,91.35,90.95,-,-0.0001
1990-05-16,91.16,91.24,91.3,91.0,-,0.0008
1990-05-17,91.34,90.92,91.38,90.75,-,0.002
1990-05-18,91.31,91.35,91.45,91.23,-,-0.0003
1990-05-21,91.91,91.67,91.94,91.65,-,0.006600000000000001
1990-05-22,92.0,92.13,92.14,91.84,-,0.001
1990-05-23,92.14,91.74,92.25,91.72,-,0.0015
1990-05-24,92.37,92.1,92.46,91.96,-,0.0025
1990-05-25,92.26,92.25,92.3,92.13,-,-0.0012
1990-05-28,92.26,92.25,92.3,92.13,-,0.0
1990-05-29,92.03,92.01,92.09,91.81,-,-0.0025
1990-05-30,92.32,91.88,92.36,91.86,-,0.0032
1990-05-31,92.98,92.77,93.11,92.73,-,0.0070999999999999995
1990-06-01,92.96,92.86,93.01,92.27,-,-0.0002
1990-06-04,92.91,93.21,93.36,92.68,-,-0.0005
1990-06-05,92.61,93.09,93.11,92.53,-,-0.0032
1990-06-06,92.64,92.61,92.71,92.5,-,0.0003
1990-06-07,92.74,92.81,92.84,92.67,-,0.0011
1990-06-08,93.08,92.96,93.15,92.94,-,0.0037
1990-06-11,92.92,92.83,92.98,92.8,-,-0.0017000000000000001
1990-06-12,92.93,92.77,92.98,92.69,-,0.0001
1990-06-13,92.52,92.82,92.83,92.5,-,-0.0044
1990-06-14,92.82,92.4,92.84,92.34,-,0.0032
1990-06-15,92.58,92.84,93.17,92.44,-,-0.0026000000000000003
1990-06-18,92.12,92.58,92.61,92.01,-,-0.005
1990-06-19,91.78,92.09,92.25,91.74,-,-0.0037
1990-06-20,92.08,92.06,92.3,92.03,-,0.0033000000000000004
1990-06-21,92.09,92.25,92.31,92.03,-,0.0001
1990-06-22,91.99,92.15,92.21,91.91,-,-0.0011
1990-06-25,92.17,92.12,92.26,91.99,-,0.002
1990-06-26,91.52,92.09,92.21,91.37,-,-0.0070999999999999995
1990-06-27,91.44,91.44,91.54,91.3,-,-0.0009
1990-06-28,91.67,91.6,91.71,91.44,-,0.0025
1990-06-29,91.15,91.54,91.54,91.13,-,-0.005699999999999999
1990-07-02,90.59,90.75,90.85,90.49,-,-0.0061
1990-07-03,90.41,90.73,90.77,90.27,-,-0.002
1990-07-04,90.41,90.73,90.77,90.27,-,0.0
1990-07-05,90.45,90.35,90.6,90.24,-,0.0004
1990-07-06,90.52,90.5,90.7,90.37,-,0.0008
1990-07-09,90.27,90.33,90.33,90.02,-,-0.0028000000000000004
1990-07-10,89.58,89.72,89.95,89.56,-,-0.0076
1990-07-11,90.18,89.87,90.2,89.87,-,0.0067
1990-07-12,89.38,90.55,90.63,89.34,-,-0.0089
1990-07-13,90.05,89.75,90.11,89.55,-,0.0075
1990-07-16,90.28,90.22,90.28,89.98,-,0.0026000000000000003
1990-07-17,89.7,90.0,90.14,89.66,-,-0.0064
1990-07-18,89.84,89.56,89.9,89.34,-,0.0016
1990-07-19,89.62,89.76,89.82,89.58,-,-0.0024
1990-07-20,89.54,89.73,89.81,89.52,-,-0.0009
1990-07-23,88.89,89.55,89.57,88.86,-,-0.0073
1990-07-24,88.85,89.07,89.12,88.63,-,-0.0005
1990-07-25,89.16,89.14,89.21,88.79,-,0.0034999999999999996
1990-07-26,89.14,89.15,89.32,88.94,-,-0.0002
1990-07-27,88.43,89.03,89.04,88.4,-,-0.008
1990-07-30,88.13,88.31,88.32,88.04,-,-0.0034000000000000002
1990-07-31,87.17,87.56,87.65,87.14,-,-0.010900000000000002
1990-08-01,87.42,87.4,87.64,87.32,-,0.0029
1990-08-02,87.73,89.05,89.08,87.42,-,0.0034999999999999996
1990-08-03,87.55,87.63,87.97,87.31,-,-0.0021
1990-08-06,87.12,87.2,87.2,86.72,-,-0.0049
1990-08-07,87.52,87.05,87.55,86.99,-,0.0046
1990-08-08,87.59,87.87,88.08,87.51,-,0.0008
1990-08-09,87.69,87.66,87.76,87.55,-,0.0011
1990-08-10,87.58,87.9,87.94,87.49,-,-0.0013000000000000002
1990-08-13,87.01,87.05,87.06,86.86,-,-0.006500000000000001
1990-08-14,86.38,86.98,87.06,86.33,-,-0.0072
1990-08-15,86.26,86.0,86.36,85.84,-,-0.0014000000000000002
1990-08-16,85.83,86.3,86.44,85.81,-,-0.005
1990-08-17,85.57,85.9,86.07,85.54,-,-0.003
1990-08-20,86.19,85.8,86.24,85.8,-,0.0072
1990-08-21,86.17,86.36,86.41,85.78,-,-0.0002
1990-08-22,85.97,85.83,85.97,85.51,-,-0.0023
1990-08-23,85.1,85.11,85.33,85.01,-,-0.0101
1990-08-24,85.66,85.54,85.81,85.22,-,0.006600000000000001
1990-08-27,85.26,84.96,85.51,84.9,-,-0.0047
1990-08-28,85.4,85.01,85.43,85.01,-,0.0016
1990-08-29,85.57,85.24,85.61,85.17,-,0.002
1990-08-30,85.92,86.09,86.22,85.86,-,0.0040999999999999995
1990-08-31,86.56,86.23,86.64,86.07,-,0.0074
1990-09-03,86.56,86.23,86.64,86.07,-,0.0
1990-09-04,86.78,86.61,87.02,86.53,-,0.0025
1990-09-05,85.73,85.98,86.16,85.67,-,-0.0121
1990-09-06,85.47,85.49,85.8,85.42,-,-0.003
1990-09-07,86.05,85.77,86.12,85.72,-,0.0068000000000000005
1990-09-10,86.75,86.35,86.83,86.35,-,0.008100000000000001
1990-09-11,86.9,87.32,87.39,86.87,-,0.0017000000000000001
1990-09-12,86.94,86.51,86.96,86.48,-,0.0005
1990-09-13,85.79,86.99,87.07,85.75,-,-0.013200000000000002
1990-09-14,85.72,85.78,85.98,85.32,-,-0.0008
1990-09-17,84.88,85.26,85.35,84.87,-,-0.0098
1990-09-18,85.24,85.18,85.26,84.74,-,0.0042
1990-09-19,85.98,85.27,86.06,85.18,-,0.0087
1990-09-20,86.2,86.03,86.45,85.94,-,0.0026000000000000003
1990-09-21,86.31,86.27,86.33,86.06,-,0.0013000000000000002
1990-09-24,85.48,85.54,85.76,85.3,-,-0.0096
1990-09-25,85.93,85.35,86.01,85.28,-,0.0053
1990-09-26,85.77,86.05,86.14,85.72,-,-0.0019
1990-09-27,85.72,85.96,86.2,85.63,-,-0.0006
1990-09-28,86.0,85.95,86.02,85.78,-,0.0033000000000000004
1990-10-01,85.43,85.16,85.51,85.06,-,-0.006600000000000001
1990-10-02,85.1,85.5,85.52,85.09,-,-0.0039000000000000003
1990-10-03,84.71,85.13,85.15,84.63,-,-0.0046
1990-10-04,84.13,84.23,84.37,84.12,-,-0.0068000000000000005
1990-10-05,84.28,84.14,84.68,83.9,-,0.0018
1990-10-08,83.6,83.6,83.75,83.54,-,-0.008100000000000001
1990-10-09,83.21,83.4,83.48,83.17,-,-0.0047
1990-10-10,83.29,83.36,83.46,83.22,-,0.001
1990-10-11,82.79,83.57,83.73,82.75,-,-0.006
1990-10-12,83.16,82.97,83.18,82.81,-,0.0045000000000000005
1990-10-15,83.25,83.2,83.3,83.02,-,0.0011
1990-10-16,82.59,83.45,83.48,82.5,-,-0.0079
1990-10-17,82.56,82.2,82.72,82.17,-,-0.0004
1990-10-18,81.96,82.51,82.78,81.92,-,-0.0073
1990-10-19,82.3,82.48,82.8,82.19,-,0.0040999999999999995
1990-10-22,82.96,82.5,83.13,82.48,-,0.008
1990-10-23,83.07,83.06,83.21,82.82,-,0.0013000000000000002
1990-10-24,82.48,83.14,83.2,82.4,-,-0.0070999999999999995
1990-10-25,83.04,82.52,83.08,82.44,-,0.0068000000000000005
1990-10-26,82.88,82.89,83.06,82.76,-,-0.0019
1990-10-29,83.24,82.77,83.29,82.72,-,0.0043
1990-10-30,82.92,83.28,83.69,82.83,-,-0.0038
1990-10-31,83.28,83.29,83.35,83.06,-,0.0043
1990-11-01,82.82,83.51,83.62,82.72,-,-0.0055000000000000005
1990-11-02,82.26,82.44,82.81,82.21,-,-0.0068000000000000005
1990-11-05,81.71,82.05,82.25,81.61,-,-0.0067
1990-11-06,82.11,81.97,82.12,81.61,-,0.0049
1990-11-07,82.04,81.8,82.07,81.48,-,-0.0009
1990-11-08,82.14,82.49,82.52,82.0,-,0.0012
1990-11-09,82.12,82.32,82.33,82.0,-,-0.0002
1990-11-12,81.71,81.71,81.91,81.69,-,-0.005
1990-11-13,81.85,81.85,81.92,81.65,-,0.0017000000000000001
1990-11-14,81.63,81.79,81.85,81.6,-,-0.0027
1990-11-15,81.84,81.74,81.92,81.67,-,0.0026000000000000003
1990-11-16,81.59,81.91,81.94,81.44,-,-0.0031
1990-11-19,81.56,81.35,81.7,81.27,-,-0.0004
1990-11-20,81.62,81.65,81.74,81.56,-,0.0007000000000000001
1990-11-21,81.51,81.57,81.74,81.5,-,-0.0013000000000000002
1990-11-22,81.51,81.57,81.74,81.5,-,0.0
1990-11-23,81.87,81.77,81.95,81.75,-,0.0044
1990-11-26,82.1,82.18,82.31,82.05,-,0.0028000000000000004
1990-11-27,81.71,82.1,82.1,81.59,-,-0.0048
1990-11-28,82.23,81.77,82.24,81.71,-,0.0064
1990-11-29,83.26,82.24,83.3,82.17,-,0.0125
1990-11-30,82.93,83.22,83.34,82.91,-,-0.004
1990-12-03,83.81,83.52,83.89,83.43,-,0.0106
1990-12-04,83.24,83.39,83.49,83.06,-,-0.0068000000000000005
1990-12-05,83.21,83.04,83.47,83.0,-,-0.0004
1990-12-06,82.71,82.78,82.97,82.49,-,-0.006
1990-12-07,81.93,82.49,82.51,81.86,-,-0.0094
1990-12-10,82.1,81.81,82.15,81.73,-,0.0021
1990-12-11,82.33,82.05,82.43,81.86,-,0.0028000000000000004
1990-12-12,82.13,82.08,82.33,82.04,-,-0.0024
1990-12-13,82.31,82.05,82.41,82.04,-,0.0022
1990-12-14,82.56,82.55,82.82,82.45,-,0.003
1990-12-17,82.78,82.79,82.92,82.73,-,0.0027
1990-12-18,82.34,82.83,82.84,82.32,-,-0.0053
1990-12-19,82.6,82.55,82.71,82.53,-,0.0032
1990-12-20,83.89,83.21,83.96,83.13,-,0.015600000000000001
1990-12-21,84.7,84.18,84.88,84.08,-,0.0097
1990-12-24,84.71,85.05,85.39,84.71,-,0.0001
1990-12-25,84.71,85.05,85.39,84.71,-,0.0
1990-12-26,85.04,84.95,85.06,84.78,-,0.0039000000000000003
1990-12-27,84.73,84.9,84.94,84.72,-,-0.0036
1990-12-28,83.26,83.92,83.98,83.19,-,-0.0173
1990-12-31,83.07,83.37,83.43,83.01,-,-0.0023
1991-01-01,83.07,83.37,83.43,83.01,-,0.0
1991-01-02,82.79,82.93,83.08,82.66,-,-0.0034000000000000002
1991-01-03,82.81,82.89,82.93,82.68,-,0.0002
1991-01-04,83.36,82.67,83.52,82.6,-,0.006600000000000001
1991-01-07,84.67,84.87,85.11,84.54,-,0.015700000000000002
1991-01-08,84.95,84.76,84.96,84.53,-,0.0033000000000000004
1991-01-09,84.53,84.02,84.65,83.6,-,-0.0049
1991-01-10,84.19,84.29,84.56,84.19,-,-0.004
1991-01-11,84.29,84.53,84.63,84.24,-,0.0012
1991-01-14,84.83,85.16,85.22,84.64,-,0.0064
1991-01-15,84.85,84.75,85.03,84.75,-,0.0002
1991-01-16,85.11,84.95,85.17,84.9,-,0.0031
1991-01-17,83.37,83.9,84.08,83.26,-,-0.0204
1991-01-18,82.77,83.69,83.73,82.76,-,-0.0072
1991-01-21,82.45,82.97,83.01,82.43,-,-0.0039000000000000003
1991-01-22,82.79,82.36,82.91,82.28,-,0.0040999999999999995
1991-01-23,82.22,82.89,82.96,82.21,-,-0.0069
1991-01-24,82.42,82.25,82.5,82.08,-,0.0024
1991-01-25,82.73,82.26,82.76,82.21,-,0.0038
1991-01-28,82.39,82.46,82.55,82.35,-,-0.0040999999999999995
1991-01-29,82.72,82.16,82.77,82.14,-,0.004
1991-01-30,82.48,82.62,82.93,82.3,-,-0.0029
1991-01-31,82.0,82.24,82.4,81.91,-,-0.0058
1991-02-01,81.64,82.18,82.18,81.55,-,-0.0044
1991-02-04,81.38,81.2,81.77,81.13,-,-0.0032
1991-02-05,81.03,81.32,81.42,81.01,-,-0.0043
1991-02-06,80.52,80.86,81.04,80.48,-,-0.0063
1991-02-07,80.89,80.75,80.9,80.47,-,0.0046
1991-02-08,80.84,80.95,81.09,80.81,-,-0.0006
1991-02-11,80.49,80.79,80.82,80.34,-,-0.0043
1991-02-12,80.89,80.87,80.91,80.65,-,0.005
1991-02-13,81.23,80.91,81.35,80.79,-,0.0042
1991-02-14,81.38,81.28,81.54,81.16,-,0.0018
1991-02-15,81.92,81.8,82.04,81.64,-,0.006600000000000001
1991-02-18,81.92,81.8,82.04,81.64,-,0.0
1991-02-19,82.61,82.47,82.72,82.25,-,0.0084
1991-02-20,82.67,82.53,82.87,82.46,-,0.0007000000000000001
1991-02-21,82.48,82.45,82.66,82.24,-,-0.0023
1991-02-22,83.13,82.5,83.19,82.42,-,0.0079
1991-02-25,83.86,83.52,83.99,83.43,-,0.0088
1991-02-26,83.93,84.07,84.23,83.77,-,0.0008
1991-02-27,83.87,83.93,84.05,83.63,-,-0.0007000000000000001
1991-02-28,84.08,83.8,84.23,83.73,-,0.0025
1991-03-01,84.84,84.71,84.84,84.42,-,0.009000000000000001
1991-03-04,84.71,84.85,84.95,84.64,-,-0.0015
1991-03-05,85.05,84.42,85.13,84.23,-,0.004
1991-03-06,84.94,85.23,85.55,84.93,-,-0.0013000000000000002
1991-03-07,85.24,85.16,85.41,85.06,-,0.0034999999999999996
1991-03-08,86.31,85.75,86.34,85.62,-,0.0126
1991-03-11,86.9,86.49,87.09,86.45,-,0.0068000000000000005
1991-03-12,86.21,86.15,86.51,86.1,-,-0.0079
1991-03-13,86.35,86.47,86.72,86.25,-,0.0016
1991-03-14,86.72,86.38,86.86,86.3,-,0.0043
1991-03-15,87.9,86.94,88.03,86.87,-,0.013600000000000001
1991-03-18,88.91,88.32,89.2,88.27,-,0.0115
1991-03-19,89.64,88.99,90.62,88.66,-,0.008199999999999999
1991-03-20,89.41,90.24,90.4,89.32,-,-0.0026000000000000003
1991-03-21,88.87,88.89,89.25,88.73,-,-0.006
1991-03-22,89.47,89.42,89.64,89.08,-,0.0068000000000000005
1991-03-25,91.08,90.56,91.13,90.24,-,0.018000000000000002
1991-03-26,91.04,91.2,91.56,91.0,-,-0.0004
1991-03-27,91.87,91.97,92.26,91.44,-,0.0091
1991-03-28,92.02,92.35,92.46,91.9,-,0.0016
1991-03-29,92.02,92.35,92.46,91.9,-,0.0
1991-04-01,90.81,91.32,91.5,90.53,-,-0.0131
1991-04-02,90.35,91.3,91.44,90.09,-,-0.0051
1991-04-03,90.46,90.31,90.52,89.96,-,0.0012
1991-04-04,89.92,90.53,90.54,89.56,-,-0.006
1991-04-05,90.63,89.91,90.68,89.29,-,0.0079
1991-04-08,90.95,90.7,90.98,90.61,-,0.0034999999999999996
1991-04-09,89.62,90.31,90.41,89.6,-,-0.0146
1991-04-10,90.52,89.81,90.77,89.77,-,0.01
1991-04-11,89.94,90.37,90.62,89.62,-,-0.0064
1991-04-12,90.36,89.9,90.67,89.69,-,0.0047
1991-04-15,89.64,90.02,90.12,89.47,-,-0.008
1991-04-16,89.57,89.45,89.85,89.34,-,-0.0008
1991-04-17,89.84,89.66,90.07,89.6,-,0.003
1991-04-18,91.3,90.58,91.45,90.19,-,0.0163
1991-04-19,92.71,92.17,92.78,91.8,-,0.0154
1991-04-22,93.81,93.82,94.12,93.44,-,0.011899999999999999
1991-04-23,92.93,93.56,93.74,92.82,-,-0.0094
1991-04-24,93.15,92.66,93.56,92.6,-,0.0024
1991-04-25,93.26,93.64,93.79,93.15,-,0.0012
1991-04-26,93.46,93.38,93.63,93.19,-,0.0021
1991-04-29,93.31,94.21,94.46,93.21,-,-0.0016
1991-04-30,91.54,92.6,92.72,91.46,-,-0.019
1991-05-01,91.91,91.17,92.11,91.07,-,0.004
1991-05-02,92.27,92.53,92.64,92.16,-,0.0039000000000000003
1991-05-03,93.44,91.93,93.58,91.88,-,0.012700000000000001
1991-05-06,92.69,93.18,93.4,92.47,-,-0.008
1991-05-07,92.07,92.44,92.67,92.02,-,-0.0067
1991-05-08,92.6,92.64,92.74,92.44,-,0.0058
1991-05-09,92.51,93.03,93.3,92.48,-,-0.001
1991-05-10,92.38,92.75,92.9,92.26,-,-0.0014000000000000002
1991-05-13,92.01,92.42,92.49,91.78,-,-0.004
1991-05-14,91.29,92.07,92.37,91.14,-,-0.0078000000000000005
1991-05-15,90.79,91.27,91.28,90.74,-,-0.0055000000000000005
1991-05-16,91.15,91.02,91.3,90.89,-,0.004
1991-05-17,92.95,91.56,93.01,91.3,-,0.0197
1991-05-20,92.72,92.98,93.18,92.47,-,-0.0025
1991-05-21,91.82,91.96,92.16,91.68,-,-0.0097
1991-05-22,92.26,92.01,92.39,91.93,-,0.0048
1991-05-23,91.9,92.59,92.71,91.83,-,-0.0039000000000000003
1991-05-24,91.74,91.68,91.98,91.66,-,-0.0017000000000000001
1991-05-27,91.74,91.68,91.98,91.66,-,0.0
1991-05-28,91.16,91.89,91.95,91.11,-,-0.0063
1991-05-29,92.02,91.21,92.15,91.05,-,0.0094
1991-05-30,92.18,91.94,92.37,91.68,-,0.0017000000000000001
1991-05-31,93.13,92.47,93.2,92.39,-,0.0103
1991-06-03,93.44,93.73,93.82,93.28,-,0.0033000000000000004
1991-06-04,93.29,93.58,93.66,93.02,-,-0.0016
1991-06-05,93.48,93.58,93.84,93.3,-,0.002
1991-06-06,93.7,93.57,93.86,93.52,-,0.0024
1991-06-07,94.56,94.01,94.71,93.94,-,0.0092
1991-06-10,94.56,94.7,94.79,94.5,-,0.0
1991-06-11,94.86,94.73,94.9,94.57,-,0.0032
1991-06-12,95.56,95.16,95.73,95.1,-,0.0074
1991-06-13,95.91,96.1,96.35,95.55,-,0.0037
1991-06-14,95.79,96.06,96.12,95.36,-,-0.0013000000000000002
1991-06-17,95.78,96.02,96.16,95.75,-,-0.0001
1991-06-18,96.73,96.64,96.75,96.32,-,0.0099
1991-06-19,95.55,96.47,96.49,95.44,-,-0.0122
1991-06-20,95.39,95.54,95.73,95.21,-,-0.0017000000000000001
1991-06-21,95.81,95.66,96.03,95.66,-,0.0044
1991-06-24,95.05,95.72,95.83,94.97,-,-0.0079
1991-06-25,95.55,95.61,95.89,95.42,-,0.0053
1991-06-26,95.3,95.58,95.64,95.05,-,-0.0026000000000000003
1991-06-27,95.51,95.75,95.86,95.32,-,0.0022
1991-06-28,96.06,96.2,96.29,95.87,-,0.0058
